participant_id,extraversion,agreeableness,conscientiousness,neuroticism,openness
1,3.75,4,3.5,3,4
2,2.25,3.25,3.75,3.75,4.75
3,3.25,4.25,2.5,1.25,3.5
4,3.75,4.25,4.5,2,2.5
5,3.25,4,3.25,1.75,3
6,4.25,4.25,5,3.5,2.75
7,4.5,4.25,3.75,4,3.25
8,1.75,4,4.5,2.25,4
9,2.25,3,2,2.5,4.5
10,3,3.75,3.25,2.75,5
11,3.5,4.75,2,2.25,4.75
12,4.25,4.5,2.25,2.75,4.25
13,2.25,4.25,2.75,3.25,2
14,2.5,4.25,4,2,4.25
15,3.25,4.75,4.25,2.75,3.25
16,3.25,3.5,3.25,2.25,4
17,2,4.25,4,2.5,3
18,3.5,3,3.5,2.5,3
19,2.5,4,4.75,2.5,2.75
20,4,4.75,5,2.75,4.5
21,3.75,5,4,3.25,2
22,2.25,4.25,3.5,3.25,4
23,2.5,3.25,2.75,2.25,3.5
24,4,2.5,4.25,3.5,4
25,2.25,2.25,3.75,2.25,4.75
26,1.75,3.75,4,2,3.75
27,3,3.25,4.5,1.5,3.5
28,3.25,4,3.75,3.25,4
29,2.75,4,2.75,3.75,4.5
30,4.5,4.25,2.25,2.75,3.25
31,3.5,4.5,3,2.25,4.75
32,3,3,2.75,2,4
33,4,5,4.25,3.25,4
34,4.5,4,1.25,2.25,5
35,4.5,4.5,3,2.75,5
36,3,3.5,3,2.75,2.5
37,4,4.75,4.75,3.25,3.75
38,4.5,4.5,3,2.25,4
39,3,4.5,4,3.75,4.25
40,3.75,3.75,2,1.75,3.25
41,3.25,4,2.75,2.5,3.25
42,2.5,3.5,3,2.25,3.25
43,3,3.75,1.25,3,3.25
44,4,3.5,3.5,3,4
