participant_id,PS0 ,PS1 ,PS2 ,PS3 ,PS4 ,PS5 ,PS6 ,PS7 ,PS8 ,PS9 ,PS10 ,PS11 ,PS12 ,PS13 ,PS14
1,3,2,2,3,3,2,3,3,2,3,3,4,3,2,3
2,5,1,3,2,4,2,2,4,5,4,5,4,5,2,1
3,4,1,2,4,1,1,1,5,5,2,5,1,3,2,1
4,4,2,2,4,4,2,4,2,2,2,2,3,3,3,2
5,1,2,3,3,2,2,4,1,1,4,1,5,2,1,1
6,5,2,4,4,5,2,3,4,2,4,2,4,2,2,1
7,1,1,2,3,3,1,1,1,1,5,1,5,2,1,1
8,5,1,5,2,4,1,3,4,3,4,5,2,3,5,5
9,2,1,2,2,3,2,2,4,4,5,4,4,2,2,2
10,1,2,3,4,1,1,3,1,2,2,2,4,2,2,3
11,3,4,5,3,4,3,4,5,5,1,5,4,5,5,2
12,5,2,4,3,3,1,2,4,1,2,4,2,3,3,3
13,5,3,4,3,4,3,2,4,2,2,3,4,4,3,2
14,2,4,4,2,2,2,4,2,1,3,1,4,5,5,2
15,2,1,3,2,4,1,3,2,4,3,3,2,2,4,2
16,4,3,2,3,3,2,2,4,3,4,4,4,4,2,2
17,5,4,2,4,4,1,2,2,1,2,2,5,2,1,2
18,4,2,4,3,3,4,2,3,4,3,4,4,4,3,3
19,1,3,2,5,4,4,4,3,4,4,1,5,4,2,1
20,1,5,5,1,1,1,1,5,5,5,5,5,2,1,1
21,5,1,5,3,4,2,2,3,1,1,3,4,4,1,1
22,2,2,2,4,2,2,3,5,4,4,4,5,2,2,1
23,1,1,4,5,3,2,2,4,1,2,4,5,5,3,2
24,4,2,2,4,4,1,4,3,4,4,3,4,4,4,2
25,1,1,4,5,5,4,2,2,1,3,2,4,2,2,2
26,2,2,2,4,4,2,2,3,2,4,4,4,3,1,1
27,5,5,4,2,2,2,4,4,5,5,4,5,5,5,4
28,4,2,3,2,3,2,2,3,2,4,4,5,4,2,4
29,5,2,3,4,2,1,3,4,4,4,4,4,3,4,4
30,5,5,5,2,3,2,4,4,5,2,3,3,4,2,2
31,5,2,3,4,4,2,3,3,2,4,4,4,4,2,2
32,4,2,2,4,4,2,4,1,1,2,1,2,1,2,2
33,3,2,2,4,2,1,4,2,1,1,1,3,1,3,2
34,5,3,2,4,4,1,3,4,4,3,3,4,4,3,1
35,5,3,2,4,4,1,4,2,2,3,3,3,4,3,2
36,2,2,4,3,3,3,2,4,3,3,2,4,3,2,2
37,5,1,4,3,2,1,2,4,2,5,4,4,2,5,1
38,3,1,4,3,3,1,4,5,4,4,2,4,2,5,4
39,5,1,2,5,3,1,3,1,1,2,2,3,2,2,1
40,1,2,3,4,5,1,4,3,2,1,2,4,2,3,2
41,5,2,5,1,1,1,1,3,1,2,2,5,1,2,2
42,1,2,3,1,1,1,5,3,3,2,2,4,3,4,2
43,5,2,2,5,5,2,4,2,1,3,2,5,4,3,2
44,2,2,3,4,3,2,4,4,4,4,2,4,3,3,2
