"term","estimate","std.error","statistic","group"
"(Intercept)",0.0872304695519027,0.0895797557400735,0.973774362647432,"fixed"
"var_moodhigh",-0.571070428418094,0.105705870929681,-5.40244759723882,"fixed"
"var_tempohigh",0.249786638525985,0.104093580383722,2.39963538198218,"fixed"
"level_extremenot_extreme",0.00830526754321022,0.130323239331166,0.0637282159792362,"fixed"
"var_moodhigh:level_extremenot_extreme",0.460505299991001,0.154084778342295,2.98864887852842,"fixed"
"var_tempohigh:level_extremenot_extreme",-0.362730905957453,0.149359725987213,-2.42857238495809,"fixed"
"var_moodlow:companionship",0.113304399484189,0.053380129457069,2.12259506742699,"fixed"
"var_moodhigh:companionship",-0.0680241593234766,0.0660451026626726,-1.0299652295328,"fixed"
"sd_(Intercept).participant_id",0.20760263813989,NA,NA,"participant_id"
"sd_Observation.Residual",0.936842223453494,NA,NA,"Residual"
