"term","estimate","std.error","statistic","group"
"(Intercept)",0.0955357370951134,0.0922485445578358,1.03563408564367,"fixed"
"var_moodhigh",-0.110565128427094,0.108867246698746,-1.01559589114112,"fixed"
"var_tempohigh",-0.112944267431468,0.107111410549347,-1.05445598048056,"fixed"
"relevel(level_extreme, ""not_extreme"")extreme",-0.00830526754321091,0.130323239331344,-0.0637282159791544,"fixed"
"var_moodhigh:relevel(level_extreme, ""not_extreme"")extreme",-0.460505299991,0.15408477834228,-2.9886488785287,"fixed"
"var_tempohigh:relevel(level_extreme, ""not_extreme"")extreme",0.362730905957453,0.149359725987198,2.42857238495833,"fixed"
"var_moodlow:companionship",0.113304399484189,0.05338012945718,2.12259506742258,"fixed"
"var_moodhigh:companionship",-0.0680241593234766,0.0660451026627601,-1.02996522953143,"fixed"
"sd_(Intercept).participant_id",0.207602638140834,NA,NA,"participant_id"
"sd_Observation.Residual",0.936842223453402,NA,NA,"Residual"
