participant_id,1st_playlist,2nd_playlist,3rd_playlist,age,gender,hours_spotify,hours_spotify_coded,most_enjoyable_playlist
1,2,1,3,28,0,2,-2,1
2,2,3,1,28,1,16,2,3
3,4B,5B,6B,43,1,0,-3,5B
4,4B,6B,5B,42,1,1,-2,5B
5,5,4,6,24,1,10,0,4
6,4,5,6,23,1,20,2,5
7,1,3,2,26,0,10,0,3
8,5B,4B,6B,16,0,10,0,4B
9,2,1,3,31,0,5,-1,1
10,5,6,4,25,0,1,-2,4
11,1,3,2,25,0,40,3,1
12,5B,6B,4B,15,0,18,2,6B
13,5,4,6,24,1,10,0,4
14,4B,5B,6B,62,1,2,-2,5B
15,4B,6B,5B,40,1,5,-1,6B
16,4,5,6,26,0,20,2,5
17,4,5,6,24,0,20,2,5
18,6,4,5,47,1,0,-3,5
19,4,6,5,25,0,40,3,4
20,6,5,4,59,1,0,-3,5
21,6,5,4,47,1,3,-2,4
22,2,3,1,24,0,8,0,3
23,5B,4B,6B,46,0,6,-1,5B
24,6,4,5,46,1,10,0,5
25,4,6,5,23,0,7,0,6
26,6,4,5,47,0,10,0,5
27,6B,4B,5B,51,1,0,-3,5B
28,1,2,3,37,0,8,0,1
29,5,6,4,23,0,0,-3,4
30,5B,4B,6B,15,1,15,1,4B
31,1,2,3,29,0,3,-2,1
32,4,6,5,27,0,7,0,4
33,6,5,4,37,1,0,-3,4
34,2,1,3,24,0,24,3,1
35,4B,5B,6B,25,1,20,2,6B
36,5B,6B,4B,43,1,4,-1,6B
37,6B,5B,4B,16,1,0,-3,6B
38,6B,5B,4B,13,0,8,0,6B
39,6B,5B,4B,50,1,0,-3,5B
40,6B,4B,5B,19,1,14,1,6B
41,5B,6B,4B,15,0,4,-1,5B
42,6B,4B,5B,18,1,0,-3,6B
43,5,6,4,17,0,2,-2,5
44,6,5,4,49,0,0,-3,5
