participant_id,msi_F1,msi_F2,msi_F3,msi_F4,msi_F5,msi_FG,SUM_msi
1,24,35,6,29,14,34,142
2,51,52,20,39,29,81,272
3,32,32,17,30,13,49,173
4,25,41,14,29,13,42,164
5,13,40,6,30,22,37,148
6,33,46,9,28,25,48,189
7,27,41,21,30,29,54,202
8,35,51,6,29,24,59,204
9,40,44,17,35,26,70,232
10,28,54,31,26,37,81,257
11,50,59,39,40,47,109,344
12,42,44,7,30,36,73,232
13,40,33,11,29,19,50,182
14,15,41,8,22,14,36,136
15,32,36,8,31,23,53,183
16,38,42,21,33,22,69,225
17,28,42,19,26,20,56,191
18,49,44,14,32,32,71,242
19,36,55,9,34,10,43,187
20,38,50,24,32,24,70,238
21,26,47,6,36,21,50,186
22,35,47,20,33,20,62,217
23,39,49,6,34,28,67,223
24,50,42,10,37,28,64,231
25,20,52,21,35,27,63,218
26,39,43,11,30,27,57,207
27,33,46,7,33,28,55,202
28,25,41,9,34,27,51,187
29,50,39,23,38,36,82,268
30,42,42,19,32,29,71,235
31,46,53,29,35,36,96,295
32,18,43,30,27,23,59,200
33,25,34,19,34,31,59,202
34,35,41,32,40,27,80,255
35,35,42,14,30,34,68,223
36,30,37,13,29,30,65,204
37,43,51,11,31,31,59,226
38,38,45,13,27,32,65,220
39,33,35,9,26,31,52,186
40,38,43,15,28,28,57,209
41,29,54,8,24,22,51,188
42,30,41,11,28,20,40,170
43,17,41,10,25,32,53,178
44,34,44,20,26,29,68,221
