participant_id,1st_playlist,2nd_playlist,3rd_playlist,age,gender,hours_spotify,hours_spotify_coded,most_enjoyable_playlist
3,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,43,1,0,-3,low_mood_high_tempo_not_extr
4,low_mood_low_tempo_not_extr,high_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,42,1,1,-2,low_mood_high_tempo_not_extr
5,low_mood_high_tempo_extr,low_mood_low_tempo_extr,high_mood_low_tempo_extr,24,1,10,0,low_mood_low_tempo_extr
6,low_mood_low_tempo_extr,low_mood_high_tempo_extr,high_mood_low_tempo_extr,23,1,20,2,low_mood_high_tempo_extr
8,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,high_mood_low_tempo_not_extr,16,0,10,0,low_mood_low_tempo_not_extr
10,low_mood_high_tempo_extr,high_mood_low_tempo_extr,low_mood_low_tempo_extr,25,0,1,-2,low_mood_low_tempo_extr
12,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,15,0,18,2,high_mood_low_tempo_not_extr
13,low_mood_high_tempo_extr,low_mood_low_tempo_extr,high_mood_low_tempo_extr,24,1,10,0,low_mood_low_tempo_extr
14,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,62,1,2,-2,low_mood_high_tempo_not_extr
15,low_mood_low_tempo_not_extr,high_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,40,1,5,-1,high_mood_low_tempo_not_extr
16,low_mood_low_tempo_extr,low_mood_high_tempo_extr,high_mood_low_tempo_extr,26,0,20,2,low_mood_high_tempo_extr
17,low_mood_low_tempo_extr,low_mood_high_tempo_extr,high_mood_low_tempo_extr,24,0,20,2,low_mood_high_tempo_extr
18,high_mood_low_tempo_extr,low_mood_low_tempo_extr,low_mood_high_tempo_extr,47,1,0,-3,low_mood_high_tempo_extr
19,low_mood_low_tempo_extr,high_mood_low_tempo_extr,low_mood_high_tempo_extr,25,0,40,3,low_mood_low_tempo_extr
20,high_mood_low_tempo_extr,low_mood_high_tempo_extr,low_mood_low_tempo_extr,59,1,0,-3,low_mood_high_tempo_extr
21,high_mood_low_tempo_extr,low_mood_high_tempo_extr,low_mood_low_tempo_extr,47,1,3,-2,low_mood_low_tempo_extr
23,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,high_mood_low_tempo_not_extr,46,0,6,-1,low_mood_high_tempo_not_extr
24,high_mood_low_tempo_extr,low_mood_low_tempo_extr,low_mood_high_tempo_extr,46,1,10,0,low_mood_high_tempo_extr
25,low_mood_low_tempo_extr,high_mood_low_tempo_extr,low_mood_high_tempo_extr,23,0,7,0,high_mood_low_tempo_extr
26,high_mood_low_tempo_extr,low_mood_low_tempo_extr,low_mood_high_tempo_extr,47,0,10,0,low_mood_high_tempo_extr
27,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,51,1,0,-3,low_mood_high_tempo_not_extr
29,low_mood_high_tempo_extr,high_mood_low_tempo_extr,low_mood_low_tempo_extr,23,0,0,-3,low_mood_low_tempo_extr
30,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,high_mood_low_tempo_not_extr,15,1,15,1,low_mood_low_tempo_not_extr
32,low_mood_low_tempo_extr,high_mood_low_tempo_extr,low_mood_high_tempo_extr,27,0,7,0,low_mood_low_tempo_extr
33,high_mood_low_tempo_extr,low_mood_high_tempo_extr,low_mood_low_tempo_extr,37,1,0,-3,low_mood_low_tempo_extr
35,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,25,1,20,2,high_mood_low_tempo_not_extr
36,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,43,1,4,-1,high_mood_low_tempo_not_extr
37,high_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,16,1,0,-3,high_mood_low_tempo_not_extr
38,high_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,13,0,8,0,high_mood_low_tempo_not_extr
39,high_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,50,1,0,-3,low_mood_high_tempo_not_extr
40,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,19,1,14,1,high_mood_low_tempo_not_extr
41,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,15,0,4,-1,low_mood_high_tempo_not_extr
42,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,18,1,0,-3,high_mood_low_tempo_not_extr
43,low_mood_high_tempo_extr,high_mood_low_tempo_extr,low_mood_low_tempo_extr,17,0,2,-2,low_mood_high_tempo_extr
44,high_mood_low_tempo_extr,low_mood_high_tempo_extr,low_mood_low_tempo_extr,49,0,0,-3,low_mood_high_tempo_extr
