participant_id,playlist,avg_flow_score,is_track_known,is_participant_favorite
3,low_low_not_extreme,0.46,1,0
3,low_high_not_extreme,0.49,1,1
3,high_low_not_extreme,0.58,1,0
4,low_low_not_extreme,0.6,0,0
4,high_low_not_extreme,0.47,1,0
4,low_high_not_extreme,0.55,1,1
5,low_high_extreme,0.55,0,0
5,low_low_extreme,0.45,1,1
5,high_low_extreme,0.36,1,0
6,low_low_extreme,0.46,1,0
6,low_high_extreme,0.49,1,1
6,high_low_extreme,0.21,1,0
8,low_high_not_extreme,0.43,1,0
8,low_low_not_extreme,0.44,1,1
8,high_low_not_extreme,0.52,1,0
10,low_high_extreme,0.54,0,0
10,high_low_extreme,0.28,1,0
10,low_low_extreme,0.32,0,1
12,low_high_not_extreme,0.44,1,0
12,high_low_not_extreme,0.34,1,1
12,low_low_not_extreme,0.41,1,0
13,low_high_extreme,0.46,0,0
13,low_low_extreme,0.39,1,1
13,high_low_extreme,0.38,1,0
14,low_low_not_extreme,0.54,0,0
14,low_high_not_extreme,0.56,0,1
14,high_low_not_extreme,0.58,0,0
15,low_low_not_extreme,0.4,1,0
15,high_low_not_extreme,0.39,1,1
15,low_high_not_extreme,0.23,1,0
16,low_low_extreme,0.54,1,0
16,low_high_extreme,0.45,0,1
16,high_low_extreme,0.27,1,0
17,low_low_extreme,0.41,0,0
17,low_high_extreme,0.58,1,1
17,high_low_extreme,0.22,1,0
18,high_low_extreme,0.35,1,0
18,low_low_extreme,0.28,1,0
18,low_high_extreme,0.36,1,1
19,low_low_extreme,0.56,0,1
19,high_low_extreme,0.42,1,0
19,low_high_extreme,0.66,0,0
20,high_low_extreme,0.49,0,0
20,low_high_extreme,0.52,0,1
20,low_low_extreme,0.55,1,0
21,high_low_extreme,0.45,1,0
21,low_high_extreme,0.72,0,0
21,low_low_extreme,0.68,1,1
23,low_high_not_extreme,0.24,1,1
23,low_low_not_extreme,0.56,1,0
23,high_low_not_extreme,0.37,1,0
24,high_low_extreme,0.32,1,0
24,low_low_extreme,0.41,0,0
24,low_high_extreme,0.62,0,1
25,low_low_extreme,0.66,0,0
25,high_low_extreme,0.3,1,1
25,low_high_extreme,0.56,1,0
26,high_low_extreme,0.35,1,0
26,low_low_extreme,0.51,1,0
26,low_high_extreme,0.6,0,1
27,high_low_not_extreme,0.43,1,0
27,low_low_not_extreme,0.38,1,0
27,low_high_not_extreme,0.41,1,1
29,low_high_extreme,0.48,0,0
29,high_low_extreme,0.41,1,0
29,low_low_extreme,0.62,0,1
30,low_high_not_extreme,0.61,1,0
30,low_low_not_extreme,0.58,1,1
30,high_low_not_extreme,0.52,1,0
32,low_low_extreme,0.42,1,1
32,high_low_extreme,0.36,1,0
32,low_high_extreme,0.64,0,0
33,high_low_extreme,0.39,1,0
33,low_high_extreme,0.73,1,0
33,low_low_extreme,0.73,1,1
35,low_low_not_extreme,0.5,1,0
35,low_high_not_extreme,0.45,1,0
35,high_low_not_extreme,0.62,1,1
36,low_high_not_extreme,0.45,1,0
36,high_low_not_extreme,0.42,1,1
36,low_low_not_extreme,0.57,1,0
37,high_low_not_extreme,0.43,1,1
37,low_high_not_extreme,0.48,1,0
37,low_low_not_extreme,0.47,1,0
38,high_low_not_extreme,0.45,1,1
38,low_high_not_extreme,0.45,1,0
38,low_low_not_extreme,0.42,1,0
39,high_low_not_extreme,0.5,1,0
39,low_high_not_extreme,0.6,1,1
39,low_low_not_extreme,0.47,1,0
40,high_low_not_extreme,0.48,1,1
40,low_low_not_extreme,0.53,1,0
40,low_high_not_extreme,0.48,1,0
41,low_high_not_extreme,0.39,1,1
41,high_low_not_extreme,0.46,1,0
41,low_low_not_extreme,0.44,1,0
42,high_low_not_extreme,0.38,1,1
42,low_low_not_extreme,0.45,1,0
42,low_high_not_extreme,0.43,1,0
43,low_high_extreme,0.55,1,1
43,high_low_extreme,0.1,1,0
43,low_low_extreme,0.57,1,0
44,high_low_extreme,0.43,1,0
44,low_high_extreme,0.56,0,1
44,low_low_extreme,0.39,1,0
