category,playlist_id,playlist_name
arab,37i9dQZF1DX5cO1uP1XC1g,Yalla يلا
arab,37i9dQZF1DX38snDqzaVVW,Eid Mubarak
arab,37i9dQZF1DX1SGz4XfZKy2,Stargazer
arab,37i9dQZF1DWWkrGNlIHxPl,Arab X
arab,37i9dQZF1DXd43GfSFAeHA,Arab Hip Hop
arab,37i9dQZF1DWUxHPh2rEiHr,Global X
arab,37i9dQZF1DWUQM3rmTXpBR,Arab Indie
arab,37i9dQZF1DWZQ6UgJlQibR,Tarab
arab,37i9dQZF1DXchFDa0CQ44k,Dabke
arab,37i9dQZF1DX8SE5tIsUWTD,Funk & Disco Zamaan
arab,37i9dQZF1DXdfYLmYuBPaf,Arab Reggae
arab,37i9dQZF1DX7Gwi28HhdBP,Egyptian Shaabi
arab,37i9dQZF1DX4qF0846GNk8,Mahraganat
arab,37i9dQZF1DWYCFWZy4Gz9M,Gnawa Music
arab,37i9dQZF1DXb7WmotStdsj,Raï راي
arab,37i9dQZF1DXcC6YLqj8ET8,Arabic Trap
arab,37i9dQZF1DXaqykGqi6KX8,Arab Metal
arab,37i9dQZF1DWWQRKXabpuS2,Khaleeji Sounds
arab,37i9dQZF1DWVSIz2AGspV4,Iraq Sounds
arab,37i9dQZF1DX9HeUXWsJonl,Tunisia Sounds
arab,37i9dQZF1DWUyqO4fBh3ob,Syria Sounds
arab,37i9dQZF1DWUlTJaFU1ddx,Jordan Sounds
arab,37i9dQZF1DX4NdDHVFmygr,Morocco Sounds
arab,37i9dQZF1DXaywRlmHaP59,Lebanon Sounds
arab,37i9dQZF1DX15iTqq2X8NE,Sudan Sounds
arab,37i9dQZF1DX2LJXoyg2yd7,Yemen Sounds
arab,37i9dQZF1DX7ZqKP81pHlu,Algeria Sounds
arab,37i9dQZF1DWXJnW46G73SM,Egypt Sounds
arab,37i9dQZF1DX6qjeIoR93rs,Palestine Sounds
arab,37i9dQZF1DXe3aCmUoBd8n,Today's Top Sharqi Hits
arab,37i9dQZF1DWYHO8PTSQ9fM,Today's Top Maghreb Hits
arab,37i9dQZF1DXd3AhRYJnfcl,Today's Top Egyptian Hits
arab,37i9dQZF1DWU486KSiznWZ,Today's Top Khaleeji Hits
