category,playlist_id,playlist_name
blues,37i9dQZF1DXdkAbM8agIbA,From the Delta to Chicago
blues,37i9dQZF1DXbkKnGZHv1kf,Blues Origins
blues,37i9dQZF1DX2iUghHXGIjj,Acoustic Blues
blues,37i9dQZF1DX9stbPFTxeaB,"Funky, Heavy, Bluesy"
blues,37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock
blues,37i9dQZF1DXcnkReojaCnV,In the Name of the Blues
blues,37i9dQZF1DX7Y7BqFok9IQ,Feeling Blue
blues,37i9dQZF1DXcFk5r8uS3l2,Blues Roots
blues,37i9dQZF1DXaOWYud3Cg4V,The Birth of Rhythm & Blues
blues,37i9dQZF1DX8QB9Ys2nV17,Women of the Blues
blues,37i9dQZF1DX4rGCw5bMNp1,Chicago Blues
blues,37i9dQZF1DX5AuRugisweW,Crossroad Blues
blues,37i9dQZF1DWT1RLff7HxDm,Live & Loud
blues,37i9dQZF1DWXbxDw7wBcIC,Scratchy Back Porch Blues
blues,37i9dQZF1DXb3MZdETGqKB,Nu-Blue
