category,playlist_id,playlist_name
country,37i9dQZF1DWTkxQvqMy4WW,Chillin' on a Dirt Road
country,37i9dQZF1DX1lVhptIYRda,Hot Country
country,37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse
country,37i9dQZF1DX6P1Nsk3wSZX,Hot Country - Top Tracks of 2018
country,37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love
country,37i9dQZF1DX7CGYgLhqwu5,Country's Greatest Hits:  The '60s
country,37i9dQZF1DWYnwbYQ5HnZU,Country Gold
country,37i9dQZF1DWWH0izG4erma,Country Rocks
country,37i9dQZF1DX7aUUBCKwo4Y,Nashville's Worldwide Hot 50
country,37i9dQZF1DX6RCydf9ytsj,Country's Greatest Hits:  The '80s
country,37i9dQZF1DXaiEFNvQPZrM,Country's Greatest Hits:  The '90s
country,37i9dQZF1DWWnpcjfCqaW0,Country's Greatest Hits:  The '50s
country,37i9dQZF1DXbDjX0hus3Iu,Southern Rock 101
country,37i9dQZF1DWYP5PUsVbso9,Country's Greatest Hits:  The '70's
country,37i9dQZF1DWSCp8Clax7tf,Legendary Women of Country
country,37i9dQZF1DWUgBy0IJPlHq,Back Porch
country,37i9dQZF1DWVpjAJGB70vU,90's Country
country,37i9dQZF1DX0vVAWnG6fKT,Country's Greatest Hits:  The '40's
country,37i9dQZF1DXdgnLr18vPvu,Tailgate Party
country,37i9dQZF1DX3ph0alWhOXm,Drunk and Hung Over
country,37i9dQZF1DX5mB2C8gBeUM,Wild Country
country,37i9dQZF1DXdXh4ecan7Hh,Spotify Singles: Nashville
country,37i9dQZF1DX9hWdQ46pHPo,Forever Country
country,37i9dQZF1DX8S0uQvJ4gaa,New Boots
country,37i9dQZF1DX2ViysbCzMHO,Nashville Stripped
country,37i9dQZF1DWXU4C3nPzApC,Very Nearly Nashville
country,37i9dQZF1DX24Kh15JFQJ0,New Traditions: Country Heroes
country,37i9dQZF1DWW7RgkOJG32Y,Breakout Country
country,37i9dQZF1DX3Ee0ngF5ZVQ,Texas Music Now
country,37i9dQZF1DWXi7h4mmmkzD,Country Nights
country,64FJj5HaUHR6KrKSsU8KPx,From Beginning To End:  Johnny Cash
country,37i9dQZF1DWVn8zvR5ROMB,New Music Nashville
country,37i9dQZF1DX1qlqn9QC3h1,Songwriters of Nashville with Charles Esten
country,37i9dQZF1DX9nWj0Ba73K5,Songwriters
country,37i9dQZF1DX5iKSDtVcf7Q,Heartland Country
country,37i9dQZF1DX0bUGQdz5BJG,Next From Nashville
country,37i9dQZF1DXadasIcsfbqh,Pop-Co
country,37i9dQZF1DX6HIvDVo75RY,Spotify at Ole Red 2019
country,37i9dQZF1DX6rVyqO2FaN8,Still Hot
