category,playlist_id,playlist_name
decades,37i9dQZF1DX4o1oenSJRJd,All Out 00s
decades,37i9dQZF1DX4UtSsGT1Sbe,All Out 80s
decades,37i9dQZF1DXbTxeAdrVG2l,All Out 90s
decades,37i9dQZF1DX5Ejj0EkURtP,All Out 10s
decades,37i9dQZF1DX6l1fwN15uV5,Easy 80s
decades,37i9dQZF1DWTJ7xPn4vNaz,All Out 70s
decades,37i9dQZF1DX1rVvRgjX59F,90s Rock Anthems
decades,37i9dQZF1DWV8xrpik0esU,Easy 90s
decades,37i9dQZF1DX0Ew6u9sRtTY,One-Hit Wonders
decades,37i9dQZF1DWZg863fGtALu,Summer Throwbacks
decades,37i9dQZF1DWSWNiyXQAvbl,Easy 70s
decades,37i9dQZF1DX8j4KHUVrE2f,Easy 00s
decades,37i9dQZF1DX8a1tdzq5tbM,Dance Classics
decades,37i9dQZF1DXaKIA8E7WcJj,All Out 60s
decades,37i9dQZF1DXb9LIXaj5WhL,90s Acoustic
decades,37i9dQZF1DXc3KygMa1OE7,80s Love Songs
decades,37i9dQZF1DWUH2AzNQzWua,Acoustic Hits: Oldies but Goodies
decades,37i9dQZF1DX3oM43CtKnRV,00s Rock Anthems
decades,37i9dQZF1DWSV3Tk4GO2fq,All Out 50s
decades,37i9dQZF1DXaLI8a395lse,Alternative 90s
decades,2f6tXtN0XesjONxicAzMIw,2000s Smash Hits
decades,37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock
decades,37i9dQZF1DX1spT6G94GFC,80s Rock Anthems
decades,37i9dQZF1DX2EL5xVfMy3h,Unwind 90s
decades,37i9dQZF1DWWwzidNQX6jx,70s Rock Anthems
decades,37i9dQZF1DXbB7yFaZiAQX,The '80s All Lined Up
decades,37i9dQZF1DX94QVAxB7Dum,The Black Power Mixtape 1967–1975
decades,37i9dQZF1DXdTCdwCKzXwo,Early Alternative
decades,19PgP2QSGPcm6Ve8VhbtpG,80s Smash Hits
decades,37i9dQZF1DWWzBc3TOlaAV,60s Rock Anthems
decades,37i9dQZF1DX99DRG9N39X3,10s Rock Anthems
decades,37i9dQZF1DWTSKFpOdYF1r,Alternative 80s
decades,37i9dQZF1DX7CGYgLhqwu5,Country's Greatest Hits:  The '60s
decades,37i9dQZF1DX873GaRGUmPl,Alternative 10s
decades,37i9dQZF1DX3Gj7nguS95W,Is it New Wave?
decades,37i9dQZF1DX3YMp9n8fkNx,'90s Pop Rock Essentials
decades,37i9dQZF1DX6RCydf9ytsj,Country's Greatest Hits:  The '80s
decades,134BrsErnfQSw0kgArfYCW,Jaren 90
decades,37i9dQZF1DXaiEFNvQPZrM,Country's Greatest Hits:  The '90s
decades,37i9dQZF1DWWnpcjfCqaW0,Country's Greatest Hits:  The '50s
decades,37i9dQZF1DX5qNE4zrflL7,Alternative 60s
decades,37i9dQZF1DX0YKekzl0blG,Alternative 00s
decades,37i9dQZF1DWYP5PUsVbso9,Country's Greatest Hits:  The '70's
decades,37i9dQZF1DWZXHVUlGM9Wp,I Love My 80's Rollerdisco
decades,37i9dQZF1DXaOWYud3Cg4V,The Birth of Rhythm & Blues
decades,37i9dQZF1DXb3ZjVksUlfu,Alternative 70s
decades,37i9dQZF1DX0vVAWnG6fKT,Country's Greatest Hits:  The '40's
decades,37i9dQZF1DX695EFn59me7,Rahman Retrospective
