category,playlist_id,playlist_name
desi,37i9dQZF1DWTwzVdyRpXm1,Desi Hits
desi,37i9dQZF1DX2nX8HgBDmgL,Bridge to Bombay
desi,37i9dQZF1DX8DbV65q7h3u,Taaza Tunes
desi,37i9dQZF1DXdcRZAcc2QFU,Gold Spot
desi,37i9dQZF1DX4lrR2M7pz8g,Diwali Party
desi,37i9dQZF1DWUxHPh2rEiHr,Global X
desi,37i9dQZF1DWYKzhEkKdUkK,Bollywood Blast
desi,37i9dQZF1DXaAyr9CT9VJj,Bollywood Romance
desi,37i9dQZF1DWTUfv2yzHEe7,Bollywood Party
desi,37i9dQZF1DWSxaFwRXIXnt,King Khan: The Best of SRK
desi,37i9dQZF1DWYRTlrhMB12D,Old is Gold
desi,37i9dQZF1DWZNJXX2UeBij,Millennium Masti
desi,37i9dQZF1DWZIQCYtfr3hh,Asli Aishwarya
desi,37i9dQZF1DXdsiL9gD4vAA,Golden Ghazals
desi,37i9dQZF1DWU2tlzlUMZTA,Bollyhood
desi,37i9dQZF1DX9ZinQt3Ddkj,Bachchan's Best
desi,37i9dQZF1DXaq7lvg1a3j6,Shaadi Season
desi,37i9dQZF1DX4PMbm7GPN1x,Disco Deewane
desi,37i9dQZF1DX6WjBAV6orkC,This Is A.R. Rahman
desi,37i9dQZF1EjOyDXZC8RLms,Starring Ranveer Singh
desi,37i9dQZF1DWYztMONFqfvX,This Is Arijit Singh
desi,37i9dQZF1EjL1TLZNl2o1c,Starring Kajol
desi,37i9dQZF1DXc0BeAqkMlJ0,This Is Shreya Ghoshal
desi,37i9dQZF1EjLCZv80Z4gsX,Starring Priyanka Chopra
desi,37i9dQZF1DX654XADbS8bL,This Is Pritam
desi,37i9dQZF1EjKwYOpjr5V01,Starring Emraan Hashmi
desi,37i9dQZF1DWWaVVA0KKQMp,This Is Alka Yagnik
desi,37i9dQZF1EjNr3GSpSrTJ0,Starring Salman Khan
desi,37i9dQZF1DX5hlePrkMwGp,This Is Anirudh Ravichander
desi,37i9dQZF1EjOV5cyvaQ1hD,Starring Amitabh Bachchan
desi,37i9dQZF1DX4Y3BGcCFrIX,This Is Lata Mangeshkar
desi,37i9dQZF1EjPd0nf7dYEpM,Starring Aishwarya Rai Bachchan
desi,37i9dQZF1DX0GO2iStOATx,This Is Diljit Dosanjh
desi,37i9dQZF1EjLMdK5L7OtR9,Starring Aamir Khan
desi,37i9dQZF1DXcaxFdaLtowG,This Is Asha Bhosle
desi,37i9dQZF1EjO1bmgT77TAo,Starring Shah Rukh Khan
desi,37i9dQZF1DWTSjoMyJoVXv,This Is Shankar-Ehsaan-Loy
desi,37i9dQZF1DX3VNFqEPdDGw,Bhangra Bangers
desi,37i9dQZF1DWSKoG4oVafMt,Punjabi Pyar
desi,37i9dQZF1DXc4SqyiYXF2n,UK Bhangra Classics
desi,37i9dQZF1DX5lHBoCtADgQ,Folk Punjabi
desi,37i9dQZF1DWYvgG8eEwPaP,Punjabi Boliyan
desi,37i9dQZF1DX5q67ZpWyRrZ,Indie India
desi,37i9dQZF1DXdMbUSbTOEeW,mint India
desi,37i9dQZF1DX2RahGIyQXcJ,Desi Hip-Hop
desi,37i9dQZF1DWZP9WRe4vE2t,Indie-an Rock
desi,37i9dQZF1DX8RXxAW8DgJV,Top Tamil
desi,37i9dQZF1DWYfvJNWU1bKi,Tamil Romance
desi,37i9dQZF1DXc6qgnxonYgp,Tamil Hip-Hop
desi,37i9dQZF1DX0nA91dV2ts4,Tamil Party Time
desi,37i9dQZF1DX442zFw7L5ce,Telugu Time
desi,37i9dQZF1DWTt3gMo0DLxA,Telugu Romance
desi,37i9dQZF1DX14rZPczlTBh,Telugu Party Time
desi,37i9dQZF1DWUptwB9dhZvQ,Telugu Mass
desi,37i9dQZF1DWTZ3p56HpBDG,No Borders
desi,37i9dQZF1DWVr1Mv0HkuSR,Asian Underground
desi,37i9dQZF1DWWXmRdYIgq8J,Pass The Chutney
desi,37i9dQZF1DXaG4uAlLVoiJ,Diasporap!
desi,37i9dQZF1DX3LrQBSMX6aK,Indian Classical
desi,37i9dQZF1DX6QsiGlwQqfw,Hindustani Instrumental
desi,37i9dQZF1DX1VHgGvdVgaZ,Carnatic Instrumental
desi,37i9dQZF1DX6EUcyVKIE73,Hindustani Classical
desi,37i9dQZF1DWZqTcNLmb3sH,Carnatic Classical
