category,playlist_id,playlist_name
dinner,37i9dQZF1DX4xuWVBs4FgJ,Dinner with Friends
dinner,37i9dQZF1DX2FsCLsHeMrM,Kitchen Swagger
dinner,37i9dQZF1DXbm6HfkbMtFZ,Feel Good Dinner
dinner,37i9dQZF1DWX2Y4jtvVshZ,Soul Cuisine
dinner,37i9dQZF1DXatMjChPKgBk,Dinner Music
dinner,37i9dQZF1DWTALrdBtcXjw,Jazzy Dinner
dinner,37i9dQZF1DX2zAr9vdmFlU,Latin Dinner
dinner,37i9dQZF1DWZVU32KsYGUK,Piano Dinner
dinner,37i9dQZF1DWTJNOeepZTGy,Wine & Dine
dinner,37i9dQZF1DX6kz6Kli3wib,Dinner Lounge
dinner,37i9dQZF1DWT1R6bXL4dyW,The Perfect Italian Dinner
dinner,37i9dQZF1DXbvE0SE0Cczh,Jukebox Joint
dinner,37i9dQZF1DWZMxqlsEB7BT,Chips and Salsa
dinner,37i9dQZF1DX3Wg1wJi3ACH,Eats & Beats
dinner,37i9dQZF1DX4kJGZhtnOIh,Mellow Dinner
dinner,37i9dQZF1DX44AF5xq04Oh,Reggae BBQ
dinner,37i9dQZF1DXdaMkR2m2cl5,Folk Feast
dinner,37i9dQZF1DXab8DipvnuNU,The Cookout
dinner,37i9dQZF1DX1FuwERxHNIM,Classical Feast
dinner,37i9dQZF1DX5kUFcXez8kt,Classical Intimate Dinner
