category,playlist_id,playlist_name
dutch,37i9dQZF1DXdKMCnEhDnDL,Beste van NL
dutch,37i9dQZF1DWUX3x84bv557,Je Moerstaal
dutch,37i9dQZF1DXa6nwj9J2RnE,Troubadour
dutch,37i9dQZF1DX3fVDvRBemdr,Liever Hollands
dutch,37i9dQZF1DX9Tf5mgUdt7y,This Is Anouk
dutch,37i9dQZF1DX6qIXfRoO10v,Dit Is Marco Borsato
dutch,37i9dQZF1DX004P2xXH1eu,This Is De Jeugd Van Tegenwoordig
dutch,37i9dQZF1DXcgc0dqAGEyX,This Is Ilse DeLange
dutch,37i9dQZF1DXancNd9cvbeG,This Is Douwe Bob
dutch,37i9dQZF1DX3ZcwTzDwdTm,This Is Jacqueline Govaert
dutch,37i9dQZF1DX8o8BrYZtb6m,This Is Guus Meeuwis
dutch,37i9dQZF1DWUvTimZVf0pb,This Is Kensington
dutch,37i9dQZF1DX0yzHRldl45G,This Is Nielson
dutch,37i9dQZF1DX9E94EtA5BNB,This Is Johan
dutch,37i9dQZF1DX5Swqc6162GQ,This Is Racoon
dutch,37i9dQZF1DWWqHzjmtCnWh,This Is BLØF
dutch,37i9dQZF1DX4KTDtlHffLY,This Is Waylon
dutch,37i9dQZF1DWVCFqzSS1Ad0,This Is André Hazes
dutch,37i9dQZF1DX1qN5Fp73Dav,This Is Golden Earring
dutch,37i9dQZF1DWXzgjzLV3gLW,This Is Spinvis
dutch,37i9dQZF1DX4Gco04SOojD,Dit Is Nick & Simon
dutch,37i9dQZF1DXdHR6qWRd5nB,This Is Trijntje Oosterhuis
dutch,37i9dQZF1DWZ5h8s083lyA,Dit Is Frans Bauer
dutch,37i9dQZF1DX4JU3wdG1dVE,This Is Nits
dutch,37i9dQZF1DWXITunTkur7X,10's Beste NL-talig
dutch,37i9dQZF1DX6oMvmbu4tmz,10's Allerbeste
dutch,37i9dQZF1DX93o46FXcdsk,00's Beste NL-talig
dutch,37i9dQZF1DWTWyjhmsGhtF,This Is Kraantje Pappie
dutch,37i9dQZF1DXdBWH75SXNRU,10's Beste van NL
dutch,37i9dQZF1DX24qPmFcsLjy,80's Allerbeste
dutch,37i9dQZF1DXddFXwrHAcsz,80's Beste NL-talig
dutch,37i9dQZF1DWWu1NXpHyPJK,90's Allerbeste
dutch,37i9dQZF1DXaQpIUzyByme,90's Beste NL-talig
dutch,37i9dQZF1DXdvqwwMRhV5l,00's Allerbeste
dutch,37i9dQZF1DXa1MfHDvNcsZ,This Is Chef'Special
dutch,37i9dQZF1DWVXT3RJ6KlMl,70's Beste NL-talig
dutch,37i9dQZF1DX8d3Ihz5Pyfp,This Is Krezip
dutch,37i9dQZF1DX27pyaOBBFp6,60's Beste NL-talig
