category,playlist_id,playlist_name
edm_dance,37i9dQZF1DWTwCImwcYjDL,360 Dance
edm_dance,37i9dQZF1DWWrJKwf0q9nn,Hot New Dance
edm_dance,37i9dQZF1DX0pH2SQMRXnC,Hardstyle Bangers
edm_dance,37i9dQZF1DX6J5NfMJS675,Techno Bunker
edm_dance,37i9dQZF1DXa8NOEUWPn9W,Housewerk
edm_dance,37i9dQZF1DX0AMssoUKCz7,Tropical House
edm_dance,37i9dQZF1DXaXB8fQg7xif,Dance Party
edm_dance,37i9dQZF1DX6VdMW310YC7,Chill Tracks
edm_dance,37i9dQZF1DX8a1tdzq5tbM,Dance Classics
edm_dance,37i9dQZF1DX5xiztvBdlUf,Truly Deeply House
edm_dance,37i9dQZF1DX4dyzvuaRJ0n,mint
edm_dance,37i9dQZF1DX0r3x8OtiwEM,Lowkey Tech
edm_dance,37i9dQZF1DXcZDD7cfEKhW,Pop Remix
edm_dance,37i9dQZF1DX0BcQWzuB7ZO,Dance Rewind
edm_dance,37i9dQZF1DX2pprEpa9URZ,Orgánica
edm_dance,37i9dQZF1DWSlskcBvOTt0,Tiki Torch
edm_dance,37i9dQZF1DWVY4eLfA3XFQ,Swag House
edm_dance,37i9dQZF1DWUq3wF0JVtEy,Shuffle Syndrome
edm_dance,37i9dQZF1DWUbycBFSWTh7,Deep Delight
edm_dance,37i9dQZF1DX91oIci4su1D,Trance Mission
edm_dance,37i9dQZF1DX8tZsk68tuDw,Dance Rising
edm_dance,37i9dQZF1DX0hvSv9Rf41p,Bass Arcade
edm_dance,37i9dQZF1DX7ZUug1ANKRP,Main Stage
edm_dance,37i9dQZF1DX0AZ24QB6TCx,Afterhours
edm_dance,37i9dQZF1DX7NhGf24haor,Adrenaline!
edm_dance,37i9dQZF1DWXWbLEOaHnU3,Psytrance Supernova
edm_dance,37i9dQZF1DXbXD9pMSZomS,Lo-fi House
edm_dance,37i9dQZF1DWVCHIm2MEeIy,Electronic Circus
edm_dance,37i9dQZF1DX8AliSIsGeKd,Electronic Rising
edm_dance,37i9dQZF1DX6GJXiuZRisr,Night Rider
edm_dance,37i9dQZF1DX3FNkD0kDpDV,Maceo Plex Guest Mix
edm_dance,37i9dQZF1DX3ND264N08pv,Rage Beats
edm_dance,37i9dQZF1DX5wDmLW735Yd,Massive Drum & Bass
edm_dance,37i9dQZF1DX5Q27plkaOQ3,Dubstep Don
edm_dance,37i9dQZF1DX9cbNxuNYT3d,French Touch All-Star
edm_dance,37i9dQZF1DXa41CMuUARjl,Friday Cratediggers
edm_dance,37i9dQZF1DX2W6AhhHuQN4,In a Past Life
edm_dance,37i9dQZF1DWUraJYejk11q,Genre Glitch
edm_dance,37i9dQZF1DX1OIMC8iDi74,Trap Mojito
edm_dance,37i9dQZF1DWYzMfRQj22Nd,Stepping Out
edm_dance,37i9dQZF1DX5GiUwx1edLZ,mint Acoustic
edm_dance,37i9dQZF1DX2VvACCrgjrt,Nasty Bits
edm_dance,37i9dQZF1DWZtGWF9Ltb0N,Sub Low
edm_dance,5CrMdCjnCYxAwKyTrmi7pN,Dance Essentials
edm_dance,37i9dQZF1DX4pbGJDhTXK3,Space Disco
edm_dance,37i9dQZF1DX8CopunbDxgW,Metropolis
edm_dance,3PCZEuLpGKpsEHeaQ6cKEN,Armada Music Top 100
edm_dance,37i9dQZF1DWTU3Zl0elDUa,90s House Classics
edm_dance,37i9dQZF1DX13R6rBZEpj7,Bassline Bangers
edm_dance,37i9dQZF1DX2JKi7oFC6Jv,UK Funky House
edm_dance,37i9dQZF1DWTfrr8pte1rT,Emotron
edm_dance,37i9dQZF1DX5YyEO1dtgbR,Electronic Avant-Garde
edm_dance,37i9dQZF1DX6bBjHfdRnza,Fresh Finds: Basement
edm_dance,37i9dQZF1DX3XjJqhm9fqD,Haitian Heat
edm_dance,1CIOSwnWdVJXoEL9MPir0Y,In My Opinion by Orjan Nilsen
edm_dance,6I8loORO8VgcOOjMloC4bM,Claude VonStroke Presents THE BIRDHOUSE
edm_dance,37i9dQZF1DX4fxf4OrMhXb,Noises After Dark
edm_dance,3E0EO3HuXl7wVXkNcaF2Qv,#HDYNATION RADIO
edm_dance,0071idoY4ZYD9QOHEHCVhP,Papi's Picks
