category,playlist_id,playlist_name
funk,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
funk,37i9dQZF1DX1MUPbVKMgJE,Disco Forever
funk,37i9dQZF1DX6drTZKzZwSo,Funky Jams
funk,37i9dQZF1DXcAiMO5AYxE8,Soulful Disco
funk,37i9dQZF1DWUS3jbm4YExP,Global Funk
funk,37i9dQZF1DX4WgZiuR77Ef,All Funked Up
funk,37i9dQZF1DX70TzPK5buVf,Funk Outta Here
funk,37i9dQZF1DWZgauS5j6pMv,Funk Evolution
funk,37i9dQZF1DX23YPJntYMnh,Funk Rock
funk,37i9dQZF1DX8f5qTGj8FYl,Instrumental Funk
funk,37i9dQZF1DX48ZHftL4a1N,Push Button Funk
funk,37i9dQZF1DX0N8QTiMHLoT,Bottoms Up
funk,37i9dQZF1DXdJyxIBq7Xdy,Queens of Disco
