category,playlist_id,playlist_name
gaming,37i9dQZF1DWTyiBJ6yEqeu,Top Gaming Tracks
gaming,37i9dQZF1DX0hvSv9Rf41p,Bass Arcade
gaming,37i9dQZF1DXdLEN7aqioXM,RetroWave / Outrun
gaming,37i9dQZF1DX6RSJAsEDz7H,Grand Theft Auto
gaming,37i9dQZF1DWY2kRx09S3yf,Need for Speed
gaming,37i9dQZF1DWUraJYejk11q,Genre Glitch
gaming,37i9dQZF1DWYnY33e7En9e,Retro Gaming
gaming,37i9dQZF1DWZjmJmeiazwd,Rock Gaming
gaming,7EnyqmmhFgfhicejZiVV13,KINGDOM HEARTS
gaming,37i9dQZF1DXcOYQJYGaYjk,Heavy Gamer
gaming,4nB4fvVxAwib7vbudP6FS4,Venom Exclusive Playlist
gaming,5M15IK3uaAH6CLDguztuW1,Star Wars Battlefront II
gaming,4LxMQfqRLRWrkLb89mDuMp,Uncharted: The Lost Legacy
