category,playlist_id,playlist_name
hiphop,37i9dQZF1DX19xRtMyA5LM,Woordenschat
hiphop,37i9dQZF1DX07sewTBuMpX,Urban Hits NL
hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
hiphop,37i9dQZF1DWWmG4xgoLORa,It's lit
hiphop,37i9dQZF1DX7INdDhuhzXd,Domme Jeugd
hiphop,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
hiphop,37i9dQZF1DX3TZP21TXsN6,Fresh Flows
hiphop,37i9dQZF1DX0MQyr3f5fHy,101Barz Sessies
hiphop,37i9dQZF1DX6PKX5dyBKeq,Rap UK
hiphop,37i9dQZF1DWY4xHQp97fN6,Get Turnt
hiphop,37i9dQZF1DX8Xe7pyFsYj1,Slow Movement
hiphop,37i9dQZF1DX8Kgdykz6OKj,Jazz Rap
hiphop,37i9dQZF1DWT6MhXz0jw61,Mellow Bars
hiphop,37i9dQZF1DWX3387IZmjNa,"Love, Sex, & Water"
hiphop,37i9dQZF1DWVA1Gq4XHa6U,Gold School
hiphop,37i9dQZF1DX2RxBh64BHjQ,Most Necessary
hiphop,37i9dQZF1DX2A29LI7xHn1,Signed XOXO
hiphop,37i9dQZF1DX5hR0J49CmXC,Mind Right
hiphop,37i9dQZF1DWSOkubnsDCSS,Grime Shutdown
hiphop,37i9dQZF1DX8d6nUbucouc,Grondleggers
hiphop,37i9dQZF1DX0lXAdOWCamA,"Noah's Ark 12,5 Jaar!"
hiphop,37i9dQZF1DX36Xw4IJIVKA,Lofi Hip-Hop
hiphop,37i9dQZF1DXc8kgYqQLMfH,Lush Lofi
hiphop,37i9dQZF1DX5jNEiuvPyWr,Cloud Rap
hiphop,37i9dQZF1DX6rJpshxuzGT,Top Urban 2018 NL
hiphop,61a8colyhK2jPzWTioZ7Rt,Nederlandse Rap
hiphop,37i9dQZF1DX2XmsXL2WBQd,I Love My '80s Hip-Hop
hiphop,37i9dQZF1DX1eh709zIoRH,Certi
hiphop,37i9dQZF1DXcA6dRp8rwj6,Beats & Rhymes
hiphop,37i9dQZF1DX5l9rcXWdrth,Women of Hip-Hop
hiphop,37i9dQZF1DXaxIqwkEGFEh,Off The Strength
hiphop,73Q6MSAPXNTKts7AuR5GQU,Top Notch Classics
hiphop,37i9dQZF1DX0Tkc6ltcBfU,The Realest Down South
hiphop,37i9dQZF1DX58UlVHNJFai,Ill Lyricist
hiphop,37i9dQZF1DWSvKsRPPnv5o,Cali Fire
hiphop,37i9dQZF1DWSTeI2WWFaia,Spilled Ink
hiphop,4JbtV5SJHOtVB6T8CL0uUI,Blessed
hiphop,37i9dQZF1DX83ZswDLVXae,G.O.O.D. Music
hiphop,37i9dQZF1DXadhN5awWZtL,Code 32
hiphop,37i9dQZF1DWVNQeZtY2TDM,Chinese Hip Hop Stars
hiphop,7qL4HZM7rPmXvanMZzbNYB,De Straat
hiphop,37i9dQZF1DWW3mVKqVYIFi,El Bloque
hiphop,37i9dQZF1DXcWxeqLvgOCi,If It Wasn't For Gucci
hiphop,37i9dQZF1DX05ZENzZuWVW,Grime Instrumentals
hiphop,5RobJ7MkNsQb40pwwwVMv7,Hard & Vuur
hiphop,37i9dQZF1DWW4igXXl2Qkp,Fresh Finds: Fire Emoji
hiphop,5HYnMEFnXw6j9Xj8DIth0f,Rep The Set
hiphop,37i9dQZF1DX2r0FByV5U4C,Black History Salute
