category,playlist_id,playlist_name
indie_alt,37i9dQZF1DX6MUrG3NBYtM,Alternative All Lined Up
indie_alt,37i9dQZF1DX39Q9ceUSQK1,New Alternative
indie_alt,37i9dQZF1DXbBKF9yWSvWR,A Shot Of Indie
indie_alt,37i9dQZF1DXb1cKZ3eM1zf,Pinkpop 50 jaar
indie_alt,37i9dQZF1DXaLI8a395lse,Alternative 90s
indie_alt,37i9dQZF1DWSQScAbo5nGF,Indie Roadtrip
indie_alt,37i9dQZF1DWTujiC7wfofZ,Indie Party
indie_alt,37i9dQZF1DXdTCdwCKzXwo,Early Alternative
indie_alt,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
indie_alt,37i9dQZF1DWTSKFpOdYF1r,Alternative 80s
indie_alt,37i9dQZF1DXdQvOLqzNHSW,Late Night Vibes
indie_alt,37i9dQZF1DX873GaRGUmPl,Alternative 10s
indie_alt,37i9dQZF1DXdbXrPNafg9d,All New Indie
indie_alt,37i9dQZF1DX2Nc3B70tvx0,Ultimate Indie
indie_alt,37i9dQZF1DX8gDIpdqp1XJ,Modern Psychedelia
indie_alt,37i9dQZF1DXaVgr4Tx5kRF,"Britpop, Etc."
indie_alt,37i9dQZF1DXbMYUPb05hjJ,Garage Rock Revival
indie_alt,37i9dQZF1DX5qNE4zrflL7,Alternative 60s
indie_alt,37i9dQZF1DX0YKekzl0blG,Alternative 00s
indie_alt,37i9dQZF1DWSrj7tqQ9IOu,French Indie Pop
indie_alt,37i9dQZF1DX2Wvd8VINtcF,Believe The Hype
indie_alt,37i9dQZF1DXdwmD5Q7Gxah,Left of Center
indie_alt,37i9dQZF1DX0CIO5EOSHeD,Lo-fi Indie
indie_alt,37i9dQZF1DX6uhsAfngvaD,Dreampop
indie_alt,37i9dQZF1DXb3ZjVksUlfu,Alternative 70s
indie_alt,37i9dQZF1DX30HHrCAl4ZG,Underground Hits
indie_alt,37i9dQZF1DX6ujZpAN0v9r,Dreamy & Distorted
indie_alt,37i9dQZF1DWSC6j2ECVXu5,This Is Blaudzun
indie_alt,37i9dQZF1DXb67OkZ6150Z,Indie Covers
indie_alt,37i9dQZF1DX91UQmVbQYyN,Women of Indie
indie_alt,37i9dQZF1DX2I7Ykltk83m,Badass Women
indie_alt,37i9dQZF1DX98f0uoU1Pcs,Garage Jams
indie_alt,37i9dQZF1DXazOBCyyv15E,The Other List
indie_alt,37i9dQZF1DXdTb8AG95jne,K-Indie Picks
indie_alt,37i9dQZF1DWUQM3rmTXpBR,Arab Indie
indie_alt,37i9dQZF1DX9E94EtA5BNB,This Is Johan
indie_alt,37i9dQZF1DX670mqw6YyS4,Chinese Indie Picks
indie_alt,37i9dQZF1DX8C585qnMYHP,Fresh Finds: Cyclone
indie_alt,37i9dQZF1DWT0upuUFtT7o,Fresh Finds: Index
indie_alt,6vl8O4bFSthC4KsAJDv35m,New Indie Index
indie_alt,6M82ABacdYBOnXdWwYUqBr,Alternative
indie_alt,2nSEYi9ueqDn2wxo1Tmceg,Domino Sound System
indie_alt,37i9dQZF1DWZJmo7mlltU6,Global Indie
