category,playlist_id,playlist_name
jazz,37i9dQZF1DXbITWG1ZJKYt,Jazz Classics
jazz,37i9dQZF1DX4wta20PHgwo,Late Night Jazz
jazz,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
jazz,37i9dQZF1DX7YCknf2jT6s,State of Jazz
jazz,37i9dQZF1DWTR4ZOXTfd9K,Jazz Classics Blue Note Edition
jazz,37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes
jazz,37i9dQZF1DX8Kgdykz6OKj,Jazz Rap
jazz,37i9dQZF1DWUHVrXD4BTQT,North Sea Jazz Festival 2019
jazz,37i9dQZF1DWTbzY5gOVvKd,Jazzy Romance
jazz,37i9dQZF1DX2vYju3i0lNX,Chilled Jazz
jazz,37i9dQZF1DX71VcjjnyaBQ,Good Morning Jazz
jazz,37i9dQZF1DXardnHdSkglX,Bossa Nova Covers
jazz,37i9dQZF1DWVzZlRWgqAGH,Butter
jazz,37i9dQZF1DX5OepaGriAIm,Women of Jazz
jazz,37i9dQZF1DX3jqDAfxnk9U,North Sea Jazz Best Of
jazz,37i9dQZF1DX55dNU0PWnO5,Jazztronica
jazz,37i9dQZF1DXdwTUxmGKrdN,Smooth Jazz
jazz,37i9dQZF1DX661EjJOj3Tu,Latin Jazz
jazz,37i9dQZF1DX6G7arXBXa3A,Big Band
jazz,37i9dQZF1DWY3X53lmPYk9,Peaceful Piano: American Songbook
jazz,37i9dQZF1DXdDe8IDhRIo5,Gypsy Swing
jazz,37i9dQZF1DXbLsFIeybF20,New Orleans Brass
jazz,37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings
jazz,37i9dQZF1DWYgA6FKKHSd6,Sax and the City
jazz,37i9dQZF1DXbHcQpOiXk1D,Jazz UK
jazz,37i9dQZF1DX0aSJooo0zWR,Fusion Fest
jazz,37i9dQZF1DX5Lf3LZ6Czqu,String Theory
