category,playlist_id,playlist_name
kpop,37i9dQZF1DX4RDXswvP6Mj,K-Party Dance Mix
kpop,37i9dQZF1DX9tPFwDMOaN1,K-Pop Daebak
kpop,37i9dQZF1DX4FcAKI5Nhzq,K-Pop Rising
kpop,37i9dQZF1DX14fiWYoe7Oh,Essential K-Pop
kpop,37i9dQZF1DX6Cy4Vr7Hu2y,Women of K-Pop
kpop,37i9dQZF1DXbirtHQBuwCo,Sexiest K-Grooves
kpop,37i9dQZF1DX4IDaXtVjL83,K-Pop X-Overs
kpop,37i9dQZF1DX2ohL85TE8TI,Korean OSTs
kpop,37i9dQZF1DWTTHy0vndijk,Bubblegum K-Pop
kpop,37i9dQZF1DX1gjl24GAQC0,Hallyu Boy Bands
kpop,37i9dQZF1DX5CHqBODmn2c,Best of 2018: K-Pop
kpop,37i9dQZF1DX5g856aiKiDS,Dalkom Cafe
kpop,37i9dQZF1DXdTb8AG95jne,K-Indie Picks
kpop,37i9dQZF1DX8eqay1FtdMm,K-Power Vocals
kpop,37i9dQZF1DXdR77H5Z8MIM,K-Pop Weekend!
kpop,37i9dQZF1DX1wdZM1FEz79,K-Pop Acoustics
kpop,37i9dQZF1DX6HNmsqZ1nyc,Best of 2018: Korean OSTs
kpop,37i9dQZF1DWZYjbSZYSpu6,K-Pop Duets
kpop,37i9dQZF1DX5eq3AONkaho,Workday K-Pop
kpop,37i9dQZF1DX3sCx6B9EAOr,K-Pop Commute
kpop,37i9dQZF1DX1lU51fgoMhF,Spring K-Pop
