category,playlist_id,playlist_name
latin,37i9dQZF1DWXHyhanaNMoy,La Vida Loca
latin,37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!
latin,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
latin,37i9dQZF1DX7MTlMMRl0MD,Bachata Lovers
latin,37i9dQZF1DX4qKWGR9z0LI,Salsa Nation
latin,37i9dQZF1DX8sljIJzI0oo,Fuego
latin,37i9dQZF1DWVcbzTgVpNRm,Latin Party Anthems
latin,37i9dQZF1DX3omIq8ziEt6,Esenciales
latin,37i9dQZF1DWYey22ryYM8U,¡Qué Sabor! - Tropical Hits
latin,37i9dQZF1DX8SfyqmSFDwe,Reggaeton Classics
latin,37i9dQZF1DWZJIhAWlsiOv,50 Latin Classics
latin,37i9dQZF1DWZoF06RIo9el,Radar Latino
latin,37i9dQZF1DX7cmFV9rWM0u,Zumba® Beats
latin,37i9dQZF1DX6ThddIjWuGT,Latin Pop Classics
latin,37i9dQZF1DWZIYtHhVF9LO,This Is Shakira
latin,37i9dQZF1DWXmQEAjlxGhi,Latin Cardio
latin,37i9dQZF1DX1hVRardJ30X,New Music Friday Latin
latin,37i9dQZF1DWVSSKiqqNKSC,Salsa Cubana
latin,37i9dQZF1DX65py6HnnlE1,Bachata Classics
latin,37i9dQZF1DXa3NnZWk6Z3T,Café con Leche
latin,37i9dQZF1DWX5ZOsG2Ogi1,Puro Perreo
latin,37i9dQZF1DX2zAr9vdmFlU,Latin Dinner
latin,37i9dQZF1DWVAa4Dwc5f7L,Merengue Mania
latin,37i9dQZF1DWVtNGBlJrHWR,This Is Jennifer Lopez
latin,37i9dQZF1DXaR954ExpGKR,EuroLatino
latin,37i9dQZF1DX82VmYBD0zVC,Latin Urban Queens
latin,37i9dQZF1DX2apWzyECwyZ,This Is Bad Bunny
latin,37i9dQZF1DXbHrLkblwdd2,Slay The Weights
latin,37i9dQZF1DXde9tuMHuIsj,Trap Land
latin,37i9dQZF1DX0ERdy9Swdy5,Salsa Hits: Los 90s
latin,37i9dQZF1DWV5sGFwUJeqR,¡Guajira!
latin,37i9dQZF1DX661EjJOj3Tu,Latin Jazz
latin,37i9dQZF1DWUoGbRYcteyC,Amor Amor
latin,37i9dQZF1DX8yLfjPY8emY,100% Cumbia
latin,37i9dQZF1DX4OjfOteYnH8,Flow Selecto
latin,37i9dQZF1DWZMxqlsEB7BT,Chips and Salsa
latin,37i9dQZF1DX4Xv3b1fFYlX,This Is: Anuel Aa
latin,37i9dQZF1DXcbGhAooTSJy,Narcos Mexico Soundtrack
latin,37i9dQZF1DXbqgzgKwCf4q,This Is: CNCO
latin,37i9dQZF1DX8womvTyUjrN,Latin Pop Rising
latin,37i9dQZF1DWTyvco9C4Og0,Mariachi
latin,37i9dQZF1DWWMMY2y10lFp,This Is: Gente De Zona
latin,37i9dQZF1DX3fXJqxGjuEP,Vibra Tropical
latin,37i9dQZF1DXbdcjV20fthI,Bachata Rising
latin,37i9dQZF1DWZdsS73T1ogG,Nuevo Flow
latin,37i9dQZF1DWWWpEY2WZLnS,Baila Dembow
latin,37i9dQZF1DX1dwn4H0X3oa,This Is: Elvis Crespo
latin,37i9dQZF1DWWAKGqD5yOCl,This Is Carlos Vives
latin,37i9dQZF1DWXD0Co2WHfQv,This Is Wisin & Yandel
latin,37i9dQZF1DX7JVsTTEkyUT,This Is: Karol G
latin,37i9dQZF1DX07X8UDWKEwP,Onda Tropical Nuevos Sabores
latin,37i9dQZF1DXcCT9tm6fRIV,Tangos y Milongas
latin,37i9dQZF1DXcyPBAlQvdpJ,Mother Funk
latin,37i9dQZF1DWWM5o62BfFWh,Cubatón
latin,37i9dQZF1DWTgSTuHRv7LV,Mucho Rap
latin,37i9dQZF1DX0TCjzkFbc38,This Is: Gilberto Santa Rosa
latin,37i9dQZF1DWY3wGocULdzX,Mambo Classics
latin,37i9dQZF1DX53wq0WYtg5L,¡Viva México!
latin,37i9dQZF1DWVVUv0h4s4e1,Trap Queenz
latin,37i9dQZF1DX7rqPov2ZRCB,Merengue Típico
latin,37i9dQZF1DWWdqmyKhfIrN,Billboard Latin Music Awards
latin,37i9dQZF1DX5AVYhCeISA6,Latin Divas
latin,37i9dQZF1DXcWxfOAOwuqj,This Is Calle 13
latin,37i9dQZF1DXbhJUauOxZ5a,This Is Arcangel
latin,37i9dQZF1DXacNXCQqbCEI,Eléctrica Selvática
latin,37i9dQZF1DWYl3xONiBhif,This Is El Alfa
