category,playlist_id,playlist_name
metal,37i9dQZF1DWTcqUzwhNmKv,Kickass Metal
metal,37i9dQZF1DX5J7FIl4q56G,New Metal Tracks
metal,37i9dQZF1DWXIcbzpLauPS,New Core
metal,37i9dQZF1DX2LTcinqsO68,Old School Metal
metal,37i9dQZF1DX1kydukZhLms,Metal Ballads
metal,37i9dQZF1DWWOaP4H0w5b0,Metal Essentials
metal,37i9dQZF1DXe6bgV3TmZOL,Adrenaline Workout
metal,37i9dQZF1DXdF699XuZIvg,Hot Road Trip
metal,37i9dQZF1DX9qNs32fujYe,Heavy Metal
metal,37i9dQZF1DXcfZ6moR6J0G,Nu Metal Generation
metal,37i9dQZF1DX08jcQJXDnEQ,90s Metal Classics
metal,37i9dQZF1DX4jCqmsDQR1i,Metal Empire
metal,37i9dQZF1DXdpVGstUksUC,Stoner Rock
metal,37i9dQZF1DX1X7WV84927n,Hard Rock
metal,37i9dQZF1DWXDJDWnzE39E,Heavy Queens
metal,37i9dQZF1DX37bXS7EGI3f,Epic & Melodic
metal,37i9dQZF1DWY3PJWG3ogmJ,Extreme Metal Workout
metal,37i9dQZF1DWXNFSTtym834,00s Metal Classics
metal,37i9dQZF1DWXhcuQw7KIeM,Northern Spirits
metal,37i9dQZF1DWT9SRKhOEUYj,Death Metal & Beyond
metal,37i9dQZF1DX29LQDcJ6Xy7,Industrial Metal
metal,37i9dQZF1DWXHwQpcoF2cC,Ultimate Metal
metal,37i9dQZF1DX5wgKYQVRARv,Progressive Metal
metal,37i9dQZF1DWZdFtcHGe8ED,Thrashers
metal,37i9dQZF1DX1cJWWyylDuw,Deathcore
metal,37i9dQZF1DWUk47CLxI4Uo,Instrumental Madness
metal,37i9dQZF1DX6P51sFpSo2r,Metalcore Classics
metal,37i9dQZF1DX6GRSnGELn7L,Got Djent?
metal,37i9dQZF1DXbl9rMxGEmRC,Black & Dark Metal
metal,37i9dQZF1DX5dWVbnmtiDv,Death & Grind Classics
metal,37i9dQZF1DWY5ai7gxfuaS,Metal Xplorer
metal,37i9dQZF1DXdiUbJTV2anj,New Blood
metal,37i9dQZF1DXaqykGqi6KX8,Arab Metal
metal,37i9dQZF1DX01pnDyBSEgS,Doom & Sludge
metal,37i9dQZF1DX4Woqxy7tpda,Metal Talks | Mark Morton & Lamb of God
