category,playlist_id,playlist_name
mood,37i9dQZF1DWYPwGkJoztcR,'t Koffiehuis
mood,37i9dQZF1DX9u7XXOp0l5L,Happy Tunes
mood,37i9dQZF1DWSqmBTGDYngZ,Songs to Sing in the Shower
mood,37i9dQZF1DXdPec7aLTmlC,Happy Hits!
mood,37i9dQZF1DX7KNKjOK0o75,Have a Great Day!
mood,37i9dQZF1DX843Qf4lrFtZ,"Young, Wild & Free"
mood,37i9dQZF1DX5dJCW6dyCUe,Morning Tea
mood,37i9dQZF1DX3rxVfibe1L0,Mood Booster
mood,37i9dQZF1DX6l1fwN15uV5,Easy 80s
mood,37i9dQZF1DX79N7YUDFu8f,Easy On Saturday
mood,37i9dQZF1DX3YSRoSdA634,Life Sucks
mood,37i9dQZF1DX4je779Ww5L2,Acoustic Summer
mood,37i9dQZF1DWUAZoWydCivZ,Positive Vibes
mood,37i9dQZF1DX5vd6FCn1mLx,Déjà Vu
mood,37i9dQZF1DX79UF7ALECl7,Coffee Club
mood,37i9dQZF1DWX83CujKHHOn,Alone Again
mood,37i9dQZF1DX4fpCWaHOned,Confidence Boost
mood,37i9dQZF1DX9XIFQuFvzM4,Feelin' Good
mood,37i9dQZF1DWV8xrpik0esU,Easy 90s
mood,37i9dQZF1DXbsnOYq8Gbrp,'n Goede Bui
mood,37i9dQZF1DX2czWA9hqErK,Easy
mood,37i9dQZF1DWSf2RDTDayIx,Happy Beats
mood,37i9dQZF1DWSWNiyXQAvbl,Easy 70s
mood,37i9dQZF1DX8j4KHUVrE2f,Easy 00s
mood,37i9dQZF1DX9TriA5Rm2k8,We Be Vibin'
mood,37i9dQZF1DWWeNODNe68OF,"Feeling Good, Feeling Great"
mood,37i9dQZF1DX6ziVCJnEm59,Your Favorite Coffeehouse
mood,37i9dQZF1DXcxacyAXkQDu,Wake Up and Smell the Coffee
mood,37i9dQZF1DX0UrRvztWcAU,Wake Up Happy
mood,37i9dQZF1DWYMvTygsLWlG,Love Ballads
mood,7g0V4gerBRwKlNuUcqqrg0,Lazy Sunday Music
mood,37i9dQZF1DX1tW4VlEfDSS,Groove Theory
mood,37i9dQZF1DX1tyCD9QhIWF,Walk Like A Badass
mood,37i9dQZF1DX7gIoKXt0gmx,All The Feels
mood,37i9dQZF1DX9ZCIIDxo8NM,Summer Breeze
mood,37i9dQZF1DWYBO1MoTDhZI,Good Vibes
mood,2GLCGGRrBFuIBmcgNISczd,Rustige Muziek 🎧 Rustige Liedjes
mood,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday
mood,37i9dQZF1DXaOO2GjFtdA0,Factor Happy
mood,37i9dQZF1DWSRc3WJklgBs,Heart Beats
mood,37i9dQZF1DX9Z3vMB2b8im,The Most Beautiful Songs in the World
mood,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
mood,37i9dQZF1DWUxUko6rcfsK,Beautiful Day
mood,37i9dQZF1DX47uat5buwl0,The Slaylist
mood,37i9dQZF1DWZLcGGC0HJbc,A Walk Alone
mood,37i9dQZF1DWSlw12ofHcMM,Swagger
mood,37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse
mood,37i9dQZF1DWVEerxa93vDU,Piano Comfort
mood,37i9dQZF1DWUvQoIOFMFUT,The Stress Buster
mood,37i9dQZF1DWVu0D7Y8cYcs,Just Smile
mood,37i9dQZF1DX1OY2Lp0bIPp,Monday Motivation
mood,6dm9jZ2p8iGGTLre7nY4hf,Breakup Songs
mood,37i9dQZF1DX5Q5wA1hY6bS,Stay Wild
mood,37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock
mood,1zheweB7elTEnOrFuPOgIJ,Lazy Music for Lazy Days
mood,37i9dQZF1DXardnHdSkglX,Bossa Nova Covers
mood,37i9dQZF1DXaXDsfv6nvZ5,Soul Coffee
mood,37i9dQZF1DX3ND264N08pv,Rage Beats
mood,37i9dQZF1DXa3NnZWk6Z3T,Café con Leche
mood,37i9dQZF1DWTtTyjgd08yp,Deep Dark Indie
mood,37i9dQZF1DXca8AyWK6Y7g,Young & Free
mood,37i9dQZF1DX2Psgy8H1wu7,Friday Funday
mood,37i9dQZF1DX2pSTOxoPbx9,Dark & Stormy
mood,37i9dQZF1DWVrtsSlLKzro,Sad Beats
mood,37i9dQZF1DX4E3UdUs7fUx,Afternoon Acoustic
mood,37i9dQZF1DX2hL79MX8oXQ,Weekends + Friends
mood,37i9dQZF1DX0IyMQV27EGn,Femme Fatale
mood,37i9dQZF1DX3ohNxI5tB79,Morning Rhythm
mood,37i9dQZF1DWVV27DiNWxkR,Sad Indie
mood,3gQhUOuiuhF6Rrz6NkAWxT,Arbeidsvitaminen
mood,37i9dQZF1DXarebqD2nAVg,Tender
mood,37i9dQZF1DX2SK4ytI2KAZ,It's ALT Good!
mood,37i9dQZF1DWWjGdmeTyeJ6,Fresh Finds
mood,37i9dQZF1DWSiZVO2J6WeI,Dreamy Vibes
mood,37i9dQZF1DXb5Mq0JeBbIw,Soft Morning
mood,37i9dQZF1DWSSBwgXMlrMk,Sunday Stroll
mood,37i9dQZF1DXa2PsvJSPnPf,Front Porch
mood,37i9dQZF1DWUwgBNPWP4WY,Melancholic Melodies
mood,37i9dQZF1DWSEMER0I7qzl,The PMS Playlist
mood,37i9dQZF1DX4ALYsOGumV8,Organic Experimental
mood,37i9dQZF1DX1uG5byNIgDA,Morning K-Pop!
mood,37i9dQZF1DX56qfiUZBncF,Creativity Boost
mood,37i9dQZF1DWVxpHBekDUXK,Coping With Loss
mood,37i9dQZF1DX6FpuSJJgdDF,Smooth Morning
mood,23aHtS7UNRpvoo9u6SIvFh,Mijn Koffie Corner
mood,37i9dQZF1DX4H7FFUM2osB,Winter Sounds
mood,37i9dQZF1DWYckg2NJborB,The Writer's Playlist
mood,37i9dQZF1DX9pryhDLql25,Mimosas
mood,37i9dQZF1DX1DiO5GYVoOw,Almost Home
