category,playlist_id,playlist_name
party,37i9dQZF1DX7CfwQr5vk7g,Weakend!
party,37i9dQZF1DWXHyhanaNMoy,La Vida Loca
party,37i9dQZF1DX7F6T2n2fegs,Throwback Party
party,37i9dQZF1DX0IlCGIUGBsA,Ultimate Party Classics
party,37i9dQZF1DX8EyMj5jl6Tz,The Remix Party
party,37i9dQZF1DX68x6hand0cN,Shisha Lounge
party,5WZ951CGTTuOeay4c7jMsb,Fissa
party,37i9dQZF1DXaXB8fQg7xif,Dance Party
party,3ismULUbSO3WkcbV1D7jn8,Meezingers
party,37i9dQZF1DXcRXFNfZr7Tp,TGIF
party,37i9dQZF1DX0Uv9tZ47pWo,Girls' Night
party,37i9dQZF1DX8a1tdzq5tbM,Dance Classics
party,37i9dQZF1DX30w0JtSIv4j,Old School Hip Hop House Party
party,37i9dQZF1DX8FwnYE6PRvL,Rock Party
party,37i9dQZF1DWVcbzTgVpNRm,Latin Party Anthems
party,7IhvzGm0jgasz9yJfKtXFq,Feel Good Music
party,37i9dQZF1DXauOWFg72pbl,Beer & Wings
party,37i9dQZF1DWVY4eLfA3XFQ,Swag House
party,37i9dQZF1DWUq3wF0JVtEy,Shuffle Syndrome
party,37i9dQZF1DXd5DCuoVuFY3,House Party
party,37i9dQZF1DWTujiC7wfofZ,Indie Party
party,37i9dQZF1DXbNxO0uJPyJ9,"12"" Classics"
party,37i9dQZF1DWYtQSOiZF6hj,Happy Birthday
party,37i9dQZF1DX4Y4RhrZqHhr,Beach Party
party,2PV3FWt2NEerKSgs3t2MpE,Twerk It!
party,1ZV5KQP9n81oexu6dOST7q,Weekend Vibes
party,37i9dQZF1DX3FNkD0kDpDV,Maceo Plex Guest Mix
party,37i9dQZF1DXd1MXcE8WTXq,Summer Throwback
party,37i9dQZF1DX030FFx0YCXp,Backyard BBQ
party,37i9dQZF1DX0nBLMN0XzSQ,After-Ski Classics
party,37i9dQZF1DX0011TOiJEnw,Retro Party
party,37i9dQZF1DX4RDXswvP6Mj,K-Party Dance Mix
party,37i9dQZF1DX2W6AhhHuQN4,In a Past Life
party,37i9dQZF1DX0rM1NjYKMJa,Carnival
party,37i9dQZF1DWTLrNDPW5co2,In Electric Dreams
party,37i9dQZF1DX6MOpsDRQkA4,Acoustic Party
party,37i9dQZF1DX2pto11EMGQc,The Bachelor Party!
party,37i9dQZF1DXdgnLr18vPvu,Tailgate Party
party,37i9dQZF1DX3lPnCj14MCY,Rainbow Mix
party,37i9dQZF1DX3ph0alWhOXm,Drunk and Hung Over
party,37i9dQZF1DWWWpEY2WZLnS,Baila Dembow
