category,playlist_id,playlist_name
reggae,37i9dQZF1DXbSbnqxMTGx9,Reggae Classics
reggae,37i9dQZF1DWSiyIBdVQrkk,One Love
reggae,37i9dQZF1DWYtKpmml7moA,Chilled Reggae
reggae,37i9dQZF1DX0cNYCfLOrsu,Dancehall Queen
reggae,37i9dQZF1DXbwoaqxaoAVr,Sunshine Reggae
reggae,37i9dQZF1DXan38dNVDdl4,Dancehall Official
reggae,37i9dQZF1DWWDLvD3P5wOG,Dancehall King
reggae,37i9dQZF1DX3mvx0imueXo,Island Reggae
reggae,37i9dQZF1DX0rM1NjYKMJa,Carnival
reggae,37i9dQZF1DWSkkUxEhrBdF,Reggae Infusions
reggae,37i9dQZF1DX9udeSemCofA,Heavy Dub
reggae,37i9dQZF1DXcYHsRTcIw5a,Rocksteady
reggae,37i9dQZF1DX6u62UVrRdZV,Dub On The Beach
reggae,37i9dQZF1DWW7BONj8RiqI,Massive Soca Hits
reggae,37i9dQZF1DXdfYLmYuBPaf,Arab Reggae
reggae,37i9dQZF1DX2HC3xQbIKZ8,"NZ Reggae, Roots & Dub"
