category,playlist_id,playlist_name
rnb,37i9dQZF1DX2UgsUIg75Vg,Chilled R&B
rnb,37i9dQZF1DX2BCjruDQhfl,Vibes
rnb,37i9dQZF1DX4SBhb3fqCJd,Are & Be
rnb,37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B
rnb,37i9dQZF1DX6VDO8a6cQME,I Love My '90s R&B
rnb,37i9dQZF1DX8Xe7pyFsYj1,Slow Movement
rnb,37i9dQZF1DX4a0nQYnltiQ,This Is How We Do
rnb,37i9dQZF1DWXnexX7CktaI,Gold Edition
rnb,37i9dQZF1DX62Nfha2yFhL,Soul Lounge
rnb,37i9dQZF1DWVEvzGeX3eRs,'90s Baby Makers
rnb,37i9dQZF1DX4y8h9WqDPAE,Channel X
rnb,37i9dQZF1DWUzFXarNiofw,The Newness
rnb,37i9dQZF1DX0H8hDpv38Ju,’80s Jam Session
rnb,3TxV2QhbF6JZxAxeWINOpA,R&B Room
rnb,37i9dQZF1DX7OIddoQVdRt,Spread the Gospel
rnb,37i9dQZF1DWSfMe9z89s9B,Alternative R&B
rnb,37i9dQZF1DX70TzPK5buVf,Funk Outta Here
rnb,37i9dQZF1DX2Ma8k80RiMN,The Sweet Suite
rnb,37i9dQZF1DWY12BqhkMFW2,Soul Revived
rnb,37i9dQZF1DWSIO2QWRavWZ,Queen
rnb,1cG2IGjdenrOFTx5kwTYUW,Buzzin' RnB
rnb,37i9dQZF1DXab8DipvnuNU,The Cookout
rnb,37i9dQZF1DXaX7xgI3f7y8,Evening Groove
rnb,37i9dQZF1DWUFAJPVM3HTX,Fresh Finds: The Wave
