category,playlist_id,playlist_name
romance,37i9dQZF1DWXqpDKK4ed9O,90s Love Songs
romance,37i9dQZF1DXbrUpGvoi3TS,Broken Heart
romance,4QuJ2DbcTe7R8lzqfNXz7v,Love Songs & Chill
romance,37i9dQZF1DX5IDTimEWoTd,Warm Fuzzy Feeling
romance,37i9dQZF1DX0QKpU3cGsyb,Bedroom Jams
romance,37i9dQZF1DXc3KygMa1OE7,80s Love Songs
romance,37i9dQZF1DX1aA8os1ylFZ,BAE
romance,37i9dQZF1DWViiUS7TyGN3,Ballad Uurtjes
romance,37i9dQZF1DX7gIoKXt0gmx,All The Feels
romance,37i9dQZF1DX3tuWZaHjp5y,Romantic Ballads
romance,37i9dQZF1DWXb9I5xoXLjp,50 Shades of Love
romance,37i9dQZF1DWSRc3WJklgBs,Heart Beats
romance,37i9dQZF1DWY373eEGlSj4,70s Love Songs
romance,37i9dQZF1DWX3387IZmjNa,"Love, Sex, & Water"
romance,37i9dQZF1DWTbzY5gOVvKd,Jazzy Romance
romance,37i9dQZF1DWSlwBojgQEcN,Acoustic Love
romance,37i9dQZF1DX19jOGJFjAzV,Couples in Love
romance,37i9dQZF1DX7rOY2tZUw1k,Timeless Love Songs
romance,37i9dQZF1DWVEvzGeX3eRs,'90s Baby Makers
romance,37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love
romance,37i9dQZF1DWVf1Phr4ZVgO,An Elegant Affair
romance,37i9dQZF1DWTtOKhkK5Mem,In The Arms Of A Woman
romance,37i9dQZF1DX1cC4JrF1e4o,In Love with the Crooners
romance,37i9dQZF1DWZIQpJDqCc10,Alternative Love Songs
romance,37i9dQZF1DX1BGjF5N5O7F,Sexy as Folk
romance,37i9dQZF1DX4s3V2rTswzO,Classical Romance
romance,37i9dQZF1DX78MXU50Cn2J,Sex Beats
romance,37i9dQZF1DWUoGbRYcteyC,Amor Amor
romance,37i9dQZF1DXawcx4otNoU1,Spooning
romance,37i9dQZF1DX2Ma8k80RiMN,The Sweet Suite
romance,37i9dQZF1DX3Z99viCDp7Q,Wedding Songs
romance,37i9dQZF1DX4pAtJteyweQ,Valentine's Day Love
romance,37i9dQZF1DWYhr4P5Boce5,Going Together
romance,37i9dQZF1DXaUvpePTXR1D,Rustic Romance
romance,37i9dQZF1DWZYjbSZYSpu6,K-Pop Duets
romance,37i9dQZF1DXd7HsD5ls3P5,Summer Kaadhal
