category,playlist_id,playlist_name
roots,37i9dQZF1DWYV7OOaGhoH0,Roots Rising
roots,37i9dQZF1DX6z20IXmBjWI,Infinite Acoustic
roots,37i9dQZF1DXaUDcU6KDCj4,Fresh Folk
roots,37i9dQZF1DWXJyjYpHunCf,Folk Pop
roots,37i9dQZF1DX9crXQ0wuuXE,Roots Revival
roots,37i9dQZF1DWSkMjlBZAZ07,Happy Folk
roots,37i9dQZF1DWSlw12ofHcMM,Swagger
roots,37i9dQZF1DX5Q5wA1hY6bS,Stay Wild
roots,37i9dQZF1DX79Y9Kr2M2tM,Lush + Atmospheric
roots,37i9dQZF1DX6ziVCJnEm59,Your Favorite Coffeehouse
roots,37i9dQZF1DWUNIrSzKgQbP,Summer Acoustic
roots,37i9dQZF1DWU0ScTcjJBdj,Relax & Unwind
roots,37i9dQZF1DXdd3gw5QVjt9,Morning Acoustic
roots,37i9dQZF1DX4E3UdUs7fUx,Afternoon Acoustic
roots,37i9dQZF1DXcWBRiUaG3o5,Evening Acoustic
roots,37i9dQZF1DX35oM5SPECmN,Run Wild
roots,37i9dQZF1DWSlwBojgQEcN,Acoustic Love
roots,37i9dQZF1DWU6Vfrf87eTG,Indie Folk for Focus
roots,37i9dQZF1DWVl5gPCRkquk,Chill as Folk
roots,37i9dQZF1DX1BGjF5N5O7F,Sexy as Folk
roots,37i9dQZF1DWZ0OzPeadl0h,Evening Chill
roots,37i9dQZF1DXbvABJXBIyiY,Rainy Day
roots,37i9dQZF1DX2pSTOxoPbx9,Dark & Stormy
roots,37i9dQZF1DX1adpUbAHocs,Mountain Drive
roots,37i9dQZF1DX0IyMQV27EGn,Femme Fatale
roots,37i9dQZF1DX9pryhDLql25,Mimosas
roots,37i9dQZF1DXbvE0SE0Cczh,Jukebox Joint
roots,37i9dQZF1DXdaMkR2m2cl5,Folk Feast
roots,37i9dQZF1DXa2PsvJSPnPf,Front Porch
roots,37i9dQZF1DWXmlLSKkfdAk,Acoustic Covers
roots,37i9dQZF1DXe5Q8muTQked,Ultimate Covers
roots,37i9dQZF1DX56crgoe4TG3,Bluegrass Covers
roots,37i9dQZF1DXcDxnC0UqHJa,Folksy Covers
roots,37i9dQZF1DWXnscMH24yOc,Chill Covers
roots,37i9dQZF1DX0q1RHoDiZBg,Bob Dylan: Covered
roots,37i9dQZF1DWX8N4beMj76D,Leonard Cohen: Covered
roots,37i9dQZF1DX4nb8GbLLOhT,Throwback Covers '70s & '80s
roots,37i9dQZF1DXd4hrw8K7Pxm,Ballads Forever
roots,37i9dQZF1DWTVIaV4KJYuq,Classic Covers
roots,37i9dQZF1DXcFk5r8uS3l2,Blues Roots
roots,37i9dQZF1DXat5j4Lk8UEj,Folk Rock Faves
roots,37i9dQZF1DX2taNm7KfjOX,Infinite Indie Folk
roots,37i9dQZF1DX9LT7r8qPxfa,Noir
roots,37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock
roots,37i9dQZF1DWV5vqkTng2MA,The New Retro
roots,37i9dQZF1DX0yL7UvjSKZT,Indie Bluegrass
roots,37i9dQZF1DX28npkgy2RE4,Modern Eclectic
roots,37i9dQZF1DX58NJL8iVBGW,Southern Gothic
roots,37i9dQZF1DX6dvuioZhoLo,Vintage Vibes
roots,37i9dQZF1DXaiAJKcabR16,Acoustic Grit
roots,37i9dQZF1DX0611i4oGheJ,Soft + Slow
roots,37i9dQZF1DX8gLrc0tlHvS,Stomp & Holler
roots,37i9dQZF1DWUDoJcM4v6Tm,Indie Acoustic Chill
roots,37i9dQZF1DWZyQUsU1vj4x,Indie Western
roots,37i9dQZF1DX2FJ4E5eMYdk,Psych & Groove
roots,37i9dQZF1DWUgBy0IJPlHq,Back Porch
roots,37i9dQZF1DX571ttkrxAeN,Acoustic Cafe International
roots,37i9dQZF1DX9HwI3Crikcm,Irish Folk: Jigs & Reels
roots,37i9dQZF1DX2ULa1Ss8vbo,Irish Folk - Ballads
roots,37i9dQZF1DXaERaPeATJvJ,Indofolk
roots,37i9dQZF1DXcWcRIYY41Ix,Cancionistas: Nuevos Autores
roots,37i9dQZF1DWXBG5kM768S1,Norske viser
roots,37i9dQZF1DX4jUyNIMkj6N,Nordic Folk
roots,37i9dQZF1DX7Y2xcY13mN1,Trad Folk
roots,37i9dQZF1DX5eku7F05o6O,Tout doux
roots,37i9dQZF1DX7C2YzRKS41S,Folk Brasileiro
roots,37i9dQZF1DX3Fzl4v4w9Zp,The Pulse of Americana
roots,37i9dQZF1DXcgNXUHsZlwX,Café montréalais
roots,37i9dQZF1DXa2HpTqP3clz,Grass Roots
roots,37i9dQZF1DWU1owuN89XHr,Esenciales Trova
roots,37i9dQZF1DXa5zM0UrfG4s,Fest på lokalet
roots,1wacVSB3FrZeNul2HfqqXO,Türk Halk Müziği
roots,37i9dQZF1DWVmps5U8gHNv,Essential Folk
roots,37i9dQZF1DX504r1DvyvxG,Classic Acoustic
roots,37i9dQZF1DWSIcimvN18p3,Women of Folk
roots,37i9dQZF1DX5AuRugisweW,Crossroad Blues
roots,37i9dQZF1DXa19sXUAHiO1,Good Times: Great Oldies
roots,37i9dQZF1DXb9LIXaj5WhL,90s Acoustic
roots,37i9dQZF1DX0JKUIfwQSJh,70s & 80s Acoustic
roots,37i9dQZF1DX1nqy6pUAoUv,Contemporary Folk
roots,37i9dQZF1DX7tfbjVrTPnV,Americana Icons
roots,37i9dQZF1DX8f6VxHEcGCN,This Is Bob Dylan
roots,37i9dQZF1DXdxZQJxjFMLO,This Is The Lumineers
roots,37i9dQZF1DWVzMOBac4fUJ,This Is: Vance Joy
roots,37i9dQZF1DWWlQuz77tGe5,This is Of Monsters and Men
roots,37i9dQZF1DX0hImzzXX6Mw,This Is: Angus & Julia Stone
roots,37i9dQZF1DX41xCOSePXnM,This Is Odetta
roots,37i9dQZF1DWSMzsi7xJUqJ,This Is First Aid Kit
roots,37i9dQZF1DWT6VDwxLyl0W,This Is Neil Young
roots,37i9dQZF1DX94esvuBEVw6,This Is Joni Mitchell
roots,37i9dQZF1DWSRWLBFM7Ydi,This Is: Passenger
roots,37i9dQZF1DX50ihgd9HUcT,This is Valerie June
roots,37i9dQZF1DWTMS5dxv72g0,This Is: Iron & Wine
roots,37i9dQZF1DWWpEiFt0w46m,This Is: Fleet Foxes
roots,37i9dQZF1DX8kcxLFdICLh,This Is Emmylou Harris
roots,37i9dQZF1DX6UeaeNdzizB,This Is: The Head and the Heart
roots,37i9dQZF1DX3BGNfdmZK0t,This Is Rhiannon Giddens
roots,37i9dQZF1DXe1eE6Gj3EKS,This Is: Jack Johnson
roots,37i9dQZF1DX0ylvIHUvZdj,This Is Joan Baez
roots,37i9dQZF1DX5IsxYrftjp3,This is Brandi Carlile
roots,37i9dQZF1DX3Y4Bt8VdicW,This Is Father John Misty
roots,37i9dQZF1DWUifRttnt99X,This Is: Gillian Welch
roots,37i9dQZF1DX8N0xov3IdrH,This is Jerry Garcia
