category,playlist_id,playlist_name
sleep,37i9dQZF1DX4sWSpwq3LiO,Peaceful Piano
sleep,37i9dQZF1DWZd79rJ6a7lp,Sleep
sleep,37i9dQZF1DWYcDQ1hSjOpY,Deep Sleep
sleep,37i9dQZF1DXbcPC6Vvqudd,Night Rain
sleep,37i9dQZF1DX0bQY35v8q9S,Nachtklanken
sleep,37i9dQZF1DWSUFOo47GEsI,Sleep Tight
sleep,37i9dQZF1DXdJ5OFSzWeCS,"Sleep, Baby Sleep"
sleep,37i9dQZF1DWUAeTOoyNaqm,ASMR Sleep Sounds
sleep,37i9dQZF1DX4TnpT6vw5rE,Atmospheric Calm
sleep,37i9dQZF1DWUZ5bk6qqDSy,White Noise
sleep,37i9dQZF1DWUKPeBypcpcP,Nature Noise
sleep,37i9dQZF1DX1n9whBbBKoL,Floating Through Space
sleep,37i9dQZF1DX7T277XorTyv,ASMR Trigger Sounds
sleep,37i9dQZF1DX5FuBDzVtEFX,Hawaiian Dreams
sleep,37i9dQZF1DX8h3zQNo57xG,Binaural Beats: Sleep
sleep,37i9dQZF1DWWtqHeytOZ8f,Lava Lamp
sleep,37i9dQZF1DXaw68inx4UiN,Sounds of the Rain Forest
sleep,37i9dQZF1DWZeS4XzRgJG0,'Truste
sleep,37i9dQZF1DX2mFmJUZg4Mp,Gentle Rains
sleep,37i9dQZF1DXabJG3i5q2yk,Sleep: Into the Ocean
sleep,37i9dQZF1DX9if5QDLdzCa,Ocean Escapes
sleep,6CxabYLzWb2JcKHTrJlURb,Sweet Dreams
sleep,37i9dQZF1DWXzR2GKEiHgT,The Sleep Machine: Waterscapes
sleep,37i9dQZF1DWZhzMp90Opmn,Pink Noise
sleep,37i9dQZF1DX9NmDLwNQnXE,A Sudden Rainstorm
sleep,37i9dQZF1DX1SGz4XfZKy2,Stargazer
sleep,37i9dQZF1DWWSads6V2oIk,The Sleep Machine: Rainforest
sleep,37i9dQZF1DX0gdPaTnsXKL,Binaural Beats: Delta Brainwaves
