category,playlist_id,playlist_name
soul,37i9dQZF1DXbcgQ8d7s0A0,Sweet Soul Chillout
soul,37i9dQZF1DWSXWSaQmvWOB,Soul 'n' the City
soul,37i9dQZF1DWWvhKV4FBciw,Funk & Soul Classics
soul,37i9dQZF1DWULEW2RfoSCi,35 Soul Classics 1970–1975
soul,37i9dQZF1DX9loJQLuEvap,50 Great Female Voices
soul,37i9dQZF1DWX2Y4jtvVshZ,Soul Cuisine
soul,37i9dQZF1DX2UgsUIg75Vg,Chilled R&B
soul,37i9dQZF1DX4SBhb3fqCJd,Are & Be
soul,37i9dQZF1DX6VDO8a6cQME,I Love My '90s R&B
soul,37i9dQZF1DX8Xe7pyFsYj1,Slow Movement
soul,37i9dQZF1DWTx0xog3gN3q,Uplifting Soul Classics
soul,37i9dQZF1DWUHVrXD4BTQT,North Sea Jazz Festival 2019
soul,37i9dQZF1DX0kJBemL6xsN,Ladies of Soul
soul,37i9dQZF1DXcAiMO5AYxE8,Soulful Disco
soul,37i9dQZF1DX62Nfha2yFhL,Soul Lounge
soul,37i9dQZF1DXdc0DUqaW3MZ,Soultronic
soul,37i9dQZF1DWVEvzGeX3eRs,'90s Baby Makers
soul,37i9dQZF1DX5lDysu4GbKR,Acoustic Soul
soul,37i9dQZF1DX3jqDAfxnk9U,North Sea Jazz Best Of
soul,37i9dQZF1DX0H8hDpv38Ju,’80s Jam Session
soul,37i9dQZF1DX44dZ4p5QLf4,I Love My Neo-Soul
soul,37i9dQZF1DX70TzPK5buVf,Funk Outta Here
soul,37i9dQZF1DX2Ma8k80RiMN,The Sweet Suite
soul,37i9dQZF1DXea80XwOJRgD,The Midnight Hour
soul,37i9dQZF1DX1QPV0AbEqvm,Crate Diggers Anonymous
soul,37i9dQZF1DX4GMJS146m00,Workday: Soul
soul,37i9dQZF1DWZ4dtFEnppbd,Songs of Salvation
