category,playlist_id,playlist_name
summer,37i9dQZF1DXcx1szy2g67M,Summer '19
summer,37i9dQZF1DX4je779Ww5L2,Acoustic Summer
summer,37i9dQZF1DWVAArCxuIRGQ,Summer BBQ
summer,37i9dQZF1DWZg863fGtALu,Summer Throwbacks
summer,37i9dQZF1DX9ZCIIDxo8NM,Summer Breeze
summer,37i9dQZF1DWWxQEAB6whFb,Route Du Soleil
summer,37i9dQZF1DWUxUko6rcfsK,Beautiful Day
summer,37i9dQZF1DXaSYtampkg5n,Pure Sunshine
summer,37i9dQZF1DX5Ozry5U6G0d,Summer Party
summer,37i9dQZF1DXbwoaqxaoAVr,Sunshine Reggae
summer,37i9dQZF1DWVsh2vXzlKFb,Summer Indie
summer,37i9dQZF1DX83I5je4W4rP,Beach Vibes
summer,37i9dQZF1DWX1UA045EoPG,Summer Heat
summer,37i9dQZF1DX9FIMhEujaK6,Ibiza Sunset
summer,37i9dQZF1DX6ALfRKlHn1t,Soak Up the Sun
summer,37i9dQZF1DWSvfPiFfb8Mi,Poolside Disco
summer,37i9dQZF1DXbSbnqxMTGx9,Reggae Classics
summer,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
summer,37i9dQZF1DWVcbzTgVpNRm,Latin Party Anthems
summer,37i9dQZF1DXbKpCeB6bby3,Bali Lounge
summer,37i9dQZF1DX05r4Oy3Ln97,Summer House!
summer,37i9dQZF1DWX0o6sD1a6P5,Afro Hits
summer,37i9dQZF1DWZZA4G4jVRXy,The Hawaiian Party
summer,37i9dQZF1DWZqbnP2e1SEM,Island Anthems
