category,playlist_id,playlist_name
toplists,37i9dQZF1DWSBi5svWQ9Nk,Top Hits NL
toplists,37i9dQZF1DX19xRtMyA5LM,Woordenschat
toplists,37i9dQZF1DWTwCImwcYjDL,360 Dance
toplists,37i9dQZF1DXb5BKLTO7ULa,New Music Friday NL
toplists,37i9dQZF1DX4dyzvuaRJ0n,mint
toplists,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
toplists,37i9dQZF1DXcF6B6QPhFDv,Rock This
toplists,37i9dQZF1DX4SBhb3fqCJd,Are & Be
toplists,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits
toplists,37i9dQZF1DX44t7uCdkV1A,Viral Hits
toplists,37i9dQZF1DXdbXrPNafg9d,All New Indie
toplists,37i9dQZF1DWWjGdmeTyeJ6,Fresh Finds
toplists,37i9dQZEVXbKCF6dqVpDkS,Netherlands Top 50
toplists,37i9dQZEVXbMDoHDwVN2tF,Global Top 50
toplists,37i9dQZEVXbLiRSasKsNU9,Global Viral 50
toplists,37i9dQZEVXbMQaPQjt027d,Netherlands Viral 50
toplists,37i9dQZF1DX6P1Nsk3wSZX,Hot Country - Top Tracks of 2018
