category,playlist_id,playlist_name
travel,37i9dQZF1DWWMOmoXKqHTD,Songs to Sing in the Car
travel,37i9dQZF1DX9wC1KY45plY,Classic Road Trip Songs
travel,37i9dQZF1DWWiDhnQ2IIru,70s Road Trip
travel,37i9dQZF1DWU13kKnk03AP,Daily Lift
travel,37i9dQZF1DXdj82GcM2wq2,70s FM Radio Rider
travel,37i9dQZF1DWSQScAbo5nGF,Indie Roadtrip
travel,37i9dQZF1DWTlgzqHpWg4m,California Rock State
travel,37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip
travel,37i9dQZF1DXdF699XuZIvg,Hot Road Trip
travel,37i9dQZF1DWTJ0ewkTmTo2,Family Road Trip
travel,37i9dQZF1DX8XxBtyUnC7B,Souvenirs
travel,37i9dQZF1DX1adpUbAHocs,Mountain Drive
travel,37i9dQZF1DWV8IND7NkP2W,Road Trip To Tokyo
travel,37i9dQZF1DXa9XlH8nDPns,Happy Campers
travel,37i9dQZF1DX40RZ67r0X8p,Rock Roadtrip
travel,64vXWJdPsUit0xXnoibl9p,Onderweg
travel,37i9dQZF1DX3bSdu6sAEDF,Evening Commute
travel,37i9dQZF1DX7k3T9O9bscd,Neo-Psychedelic Rock
travel,37i9dQZF1DX8MbMfAHb8U0,Afternoon Train Ride
travel,37i9dQZF1DWTyunZbUcqFL,Road Trip To Kyoto
travel,37i9dQZF1DWX9u2doQ8Q2L,Tokyo Rising
travel,37i9dQZF1DWUd3ZuqnOlqa,Bandi Beats
travel,37i9dQZF1DX3sCx6B9EAOr,K-Pop Commute
