category,playlist_id,playlist_name
workout,37i9dQZF1DX73EtbU4jEcn,Top Hits Workout
workout,37i9dQZF1DX76Wlfdnj7AP,Beast Mode
workout,37i9dQZF1DXdxcBWuJkbcy,Motivation Mix
workout,37i9dQZF1DX76t638V6CA8,Rap Workout
workout,37i9dQZF1DX70RN3TfWWJh,Workout
workout,37i9dQZF1DX9uKNf5jGX6m,Yoga & Meditation
workout,37i9dQZF1DXadOVCgGhS7j,Fun Run 150–165 BPM
workout,37i9dQZF1DX32NsLKyzScr,Power Hour
workout,37i9dQZF1DX61fc6zAraeo,Power Up!
workout,37i9dQZF1DWUVpAXiEPK8P,Power Workout
workout,37i9dQZF1DWTl4y3vgJOXW,Locked In
workout,37i9dQZF1DWUSyphfcc6aL,Workout Beats
workout,37i9dQZF1DX4eRPd9frC1m,Hype
workout,37i9dQZF1DWWPcvnOpPG3x,Run This Town 150–165 BPM
workout,37i9dQZF1DX1gcrZ1xC96D,You Can Do It
workout,37i9dQZF1DWUX4dHd4gmc7,Pull Up Pull Up
workout,37i9dQZF1DWSJHnPb1f0X3,Cardio
workout,37i9dQZF1DX7cmFV9rWM0u,Zumba® Beats
workout,37i9dQZF1DX8jnAPF7Iiqp,Run 'N' Bass 170-175 BPM
workout,37i9dQZF1DX0HRj9P7NxeE,Workout Twerkout
workout,37i9dQZF1DXe6bgV3TmZOL,Adrenaline Workout
workout,37i9dQZF1DWXmQEAjlxGhi,Latin Cardio
workout,37i9dQZF1DX35oM5SPECmN,Run Wild
workout,37i9dQZF1DWVhQ5d3I6DeF,Fast Pop Run 180 BPM
workout,37i9dQZF1DX5OUjSS1OMgV,One More Rep
workout,37i9dQZF1DX0hWmn8d5pRe,Born To Run 150 BPM
workout,37i9dQZF1DWZYWNM3NfvzJ,Pumping Iron
workout,37i9dQZF1DX4FJyIpen2Yf,Hip-Hop Yoga
workout,37i9dQZF1DWZUTt0fNaCPB,Running to Rock 170-190 BPM
workout,37i9dQZF1DX4osfY3zybD2,Runner's Club 160 BPM
workout,37i9dQZF1DXdURFimg6Blm,Raising the Bar
workout,37i9dQZF1DWXUtxBFupUW9,Body & Soul
workout,37i9dQZF1DWUxdwkOJZYCJ,Power Run 145 BPM
workout,37i9dQZF1DWSTc9FdySHtz,Tropical House Run 190 BPM
workout,37i9dQZF1DX8E1Op3UZWf0,Morning Run 150–165 BPM
workout,37i9dQZF1DXbHrLkblwdd2,Slay The Weights
workout,12R8HZh3GHUw1c4sgPtu6x,Workout Mix
workout,37i9dQZF1DXc7KgLAqOCoC,Eat Sleep Run Repeat 140 BPM
workout,37i9dQZF1DWXx3Txis2L4x,Rock 'n' Run 160-165 BPM
workout,37i9dQZF1DX06VUQ1GoKge,Metal Charge 180 BPM
workout,37i9dQZF1DXcCEH5EfTtzp,Lactic Acid Run 175 BPM
workout,37i9dQZF1DWZq91oLsHZvy,Indie Kicks 150–155 BPM
workout,37i9dQZF1DWUI1rlvkdQnb,Cool Down
workout,37i9dQZF1DWY3PJWG3ogmJ,Extreme Metal Workout
workout,13thjkLTYZmZvjdz4u6kxh,Nike Running Tempo Mix
workout,37i9dQZF1DX9BXb6GsGCLl,Powerwalk!
workout,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout
workout,37i9dQZF1DWV3VLITCZusq,The Climb 170-175 BPM
workout,37i9dQZF1DX0wiundViT27,Rock Me UP!
workout,37i9dQZF1DXbFRZSqP41al,Rock Your Body
workout,37i9dQZF1DWU4orVyfiwi3,Warrior Workout
workout,37i9dQZF1DWZvpVE2NxPV2,Hatha Yoga
workout,37i9dQZF1DX8gmkqVvLjKg,Endorphin Rush
workout,0yfTPCk6Cnhm9wtoEaXXlo,NTC: High Intensity Training Tracks
workout,37i9dQZF1DXaRL7xbcDl7X,Indie Workout
workout,2pNA6gLgyMaduWk1KUSVN7,NIKE RUNNING FASTEST MILE
workout,37i9dQZF1DWXTcPFeNCMUP,Ultimate Pump Up
workout,1a2zOYlRzTVUs2lKYU3rgE,NTC: Gym Strong
workout,7fzFQUIVM4TumzRWo5UFP2,NTC: Studio Sounds
workout,1gZ3R6dudnw5e6W5uOX2kv,Skylar Diggins' Training Mix
workout,37i9dQZF1DXbcCmWfoUaw2,Just Get Going! 155 BPM
workout,37i9dQZF1DWT6anPZiHuxz,Energetic Run 160-165 BPM
workout,37i9dQZF1DX3PIAZMcbo2T,Pop Warmup 130 BPM
workout,37i9dQZF1DXbLSzx0CLgOw,"Run Punk, Run! 160 BPM"
