category_id,playlist_name,playlist_id,track_id,track_uri,track_preview_url,track_name,track_popularity,artist_name,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
country,Legendary Women of Country,37i9dQZF1DWSCp8Clax7tf,2jOkuPweyFcDBBBF8ZW8Zr,spotify:track:2jOkuPweyFcDBBBF8ZW8Zr,https://p.scdn.co/mp3-preview/ea29b1a927073805bfcef9877f158644d1144f88?cid=63a77ff40e794a12ae216a18befde98c,Independence Day,53,Martina McBride,Greatest Hits,0.275,0.693,206093,0.6829999999999999,0.000101,9,0.0954,-4.575,1,0.0292,118.38799999999999,0.748
country,Legendary Women of Country,37i9dQZF1DWSCp8Clax7tf,0j3Ly6UYhwEgAiXeCERVJM,spotify:track:0j3Ly6UYhwEgAiXeCERVJM,,It's A Little Too Late,29,Tanya Tucker,Greatest Hits 1990-1992,0.21,0.5870000000000001,159067,0.708,0.0,8,0.35600000000000004,-10.193,1,0.0452,142.385,0.833
country,Legendary Women of Country,37i9dQZF1DWSCp8Clax7tf,0788TdvEjGtjFVb6CTFdJH,spotify:track:0788TdvEjGtjFVb6CTFdJH,,Tennessee Waltz,21,Patti Page,Golden Hits,0.971,0.475,185000,0.139,0.000173,5,0.128,-12.619000000000002,1,0.0333,86.156,0.374
country,Legendary Women of Country,37i9dQZF1DWSCp8Clax7tf,65B1tEOv5W294uCKbmEcFV,spotify:track:65B1tEOv5W294uCKbmEcFV,,I Hope You Dance,62,Lee Ann Womack,I Hope You Dance,0.0524,0.41600000000000004,294533,0.446,0.0,7,0.0891,-9.557,0,0.0291,151.328,0.278
country,Legendary Women of Country,37i9dQZF1DWSCp8Clax7tf,0TQHF7xgJ8B8H1MF599sBA,spotify:track:0TQHF7xgJ8B8H1MF599sBA,,One's On The Way,26,Loretta Lynn,All Time Greatest Hits,0.89,0.685,158693,0.285,0.00147,1,0.0829,-12.915999999999999,1,0.0523,137.257,0.83
country,Legendary Women of Country,37i9dQZF1DWSCp8Clax7tf,3zxklD2EGecZre9MjEEvIU,spotify:track:3zxklD2EGecZre9MjEEvIU,https://p.scdn.co/mp3-preview/39e75b889270d3606818260816b95456dcd938bc?cid=63a77ff40e794a12ae216a18befde98c,Blue Bayou,61,Linda Ronstadt,Simple Dreams,0.7390000000000001,0.732,239400,0.161,0.000379,11,0.105,-12.817,1,0.0306,95.21,0.5
country,Legendary Women of Country,37i9dQZF1DWSCp8Clax7tf,6BkK5Dsu1kTne7Cn6EyYex,spotify:track:6BkK5Dsu1kTne7Cn6EyYex,https://p.scdn.co/mp3-preview/0c98ca202412c8cf8bb7ccb7b2eed642a01be360?cid=63a77ff40e794a12ae216a18befde98c,Why Not Me,51,The Judds,Why Not Me,0.502,0.732,211267,0.667,4.07e-06,10,0.0524,-9.277999999999999,1,0.0278,125.6,0.727
country,Legendary Women of Country,37i9dQZF1DWSCp8Clax7tf,0i0katW8NnCcCSchmhQUzg,spotify:track:0i0katW8NnCcCSchmhQUzg,https://p.scdn.co/mp3-preview/50af072b95193a881c731a17e2703d0449c20b00?cid=63a77ff40e794a12ae216a18befde98c,A Girl's Gotta Do (What A Girl's Gotta Do),34,Mindy McCready,Ten Thousand Angels,0.16899999999999998,0.674,159800,0.8859999999999999,1.12e-05,6,0.314,-5.553999999999999,1,0.0425,119.821,0.696
country,Legendary Women of Country,37i9dQZF1DWSCp8Clax7tf,2JqxrHRAtnrkczEZEzAKV2,spotify:track:2JqxrHRAtnrkczEZEzAKV2,,Texas (When I Die),39,Tanya Tucker,20th Century Masters: The Millennium Collection: Best Of Tanya Tucker,0.0544,0.5660000000000001,290240,0.693,0.0,10,0.0427,-10.481,1,0.0336,77.873,0.82
country,Legendary Women of Country,37i9dQZF1DWSCp8Clax7tf,5YwgJ6lpZ3SiAQwBEpjqey,spotify:track:5YwgJ6lpZ3SiAQwBEpjqey,https://p.scdn.co/mp3-preview/3fc2cae0b71d339fd2580fb98c953d3d4ff0f844?cid=63a77ff40e794a12ae216a18befde98c,Rose Garden - Single Version,53,Lynn Anderson,Rose Garden,0.168,0.589,175867,0.501,0.0,0,0.0741,-11.665,1,0.031,131.064,0.9690000000000001
