category_id,playlist_name,playlist_id,track_id,track_uri,track_preview_url,track_name,track_popularity,artist_name,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,78RAfPGFpTUqnPSTV0LcmT,spotify:track:78RAfPGFpTUqnPSTV0LcmT,https://p.scdn.co/mp3-preview/da5183d80936ed5bdb98ca16c47f18f899c7b3f6?cid=63a77ff40e794a12ae216a18befde98c,Easy Living,55,Massimo Faraò Trio,How My Heart Sings,0.609,0.523,293253,0.188,0.597,5,0.285,-14.700999999999999,1,0.0345,112.09200000000001,0.0744
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,79MOPpvNSagTPcwnx4Ct2b,spotify:track:79MOPpvNSagTPcwnx4Ct2b,https://p.scdn.co/mp3-preview/296604f507aae63b866b6c39ece299129bb820bf?cid=63a77ff40e794a12ae216a18befde98c,That's All,50,Jimmy Forrest,Pick Yourself Up,0.953,0.406,293933,0.175,0.92,3,0.0841,-17.018,1,0.0525,180.707,0.436
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,2ncnr8AuzqAabOGEIoA863,spotify:track:2ncnr8AuzqAabOGEIoA863,https://p.scdn.co/mp3-preview/e1648d99ee7dbf0270581891510dd02053bea4e2?cid=63a77ff40e794a12ae216a18befde98c,Young and Foolish,57,"Scott Hamilton,Dena DeRose,Ignasi González,Jo Krause",Moon Mist,0.965,0.456,330615,0.276,0.0525,5,0.0775,-7.419,1,0.0316,103.335,0.157
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,5FXIXX9FniNJfHd9DJrOop,spotify:track:5FXIXX9FniNJfHd9DJrOop,https://p.scdn.co/mp3-preview/5a74d97c4be5e21e01faba7ab7966d42fd9d0880?cid=63a77ff40e794a12ae216a18befde98c,Polka Dots And Moonbeams,59,"Chet Baker,John Horler,Jim Richardson,Tony Mann",Polka Dots and Moonbeams,0.9890000000000001,0.47600000000000003,588760,0.19,0.733,2,0.588,-17.266,0,0.0432,109.795,0.249
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,4oU07qd2sv9NxW61Op66Jh,spotify:track:4oU07qd2sv9NxW61Op66Jh,https://p.scdn.co/mp3-preview/b85dbe59b8c3d76a8679de74308b2a78b38a608d?cid=63a77ff40e794a12ae216a18befde98c,The Silence of Your Heart,55,"Paolo Fresu,Dino Rubino,Marco Bardoscia",Tempo Di Chet,0.9840000000000001,0.439,261415,0.0554,0.0038200000000000005,3,0.111,-15.183,1,0.0349,101.015,0.17800000000000002
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,6g6U5Ip7Tvm1xsctpflOuk,spotify:track:6g6U5Ip7Tvm1xsctpflOuk,https://p.scdn.co/mp3-preview/4a20e0e584c8daf99afc11205ee150fbde6c94ae?cid=63a77ff40e794a12ae216a18befde98c,Uphill,54,"Karin Hammar,Karin Hammar Fab 4",Circles,0.9890000000000001,0.42700000000000005,241200,0.0445,0.902,8,0.11199999999999999,-18.994,1,0.0381,117.815,0.153
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,5adNkxFBgFYu3N6m8J6muG,spotify:track:5adNkxFBgFYu3N6m8J6muG,https://p.scdn.co/mp3-preview/3e8f4bd2a43472bd5806d6228c16c8d59460f25e?cid=63a77ff40e794a12ae216a18befde98c,Summertime,53,"Denis Solee,The Beegie Adair Trio,The Jeff Steinberg Orchestra",Gershwin on Sax,0.92,0.326,292444,0.156,0.6759999999999999,2,0.171,-14.116,0,0.0307,75.458,0.159
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,7dWzkzCjOVVkJDTEeWrCZ0,spotify:track:7dWzkzCjOVVkJDTEeWrCZ0,https://p.scdn.co/mp3-preview/712b43781b5d8048c809daf0d0a6f9ee3aad021d?cid=63a77ff40e794a12ae216a18befde98c,When You Are Near,55,Aaron Goldberg,At the Edge of the World,0.9520000000000001,0.409,502620,0.0777,0.866,9,0.0979,-23.493000000000002,0,0.0408,106.333,0.08800000000000001
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,2r3dQilQpgjPbRomN7GAvD,spotify:track:2r3dQilQpgjPbRomN7GAvD,https://p.scdn.co/mp3-preview/b9fc8a1e5995d7b244bd0a0f4310ff6027ca51eb?cid=63a77ff40e794a12ae216a18befde98c,After All,50,"Yuri Honing Acoustic Quartet,Joost Lijbaart,Wolfert Brederode,Gulli Gudmundsson",After All,0.9209999999999999,0.433,322080,0.217,0.7140000000000001,9,0.096,-13.799000000000001,1,0.0343,105.96,0.179
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,3LZ0GUgBO1XXW6jKK5A2lJ,spotify:track:3LZ0GUgBO1XXW6jKK5A2lJ,https://p.scdn.co/mp3-preview/bedfb393b2a40df8b89333fef9818427dba7ab2f?cid=63a77ff40e794a12ae216a18befde98c,Sad Tune,53,European Jazz Trio,West Village,0.9,0.518,375094,0.0493,0.879,9,0.349,-26.565,0,0.0346,61.908,0.16
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,6BMmyctJWWdbTHKpXkrja0,spotify:track:6BMmyctJWWdbTHKpXkrja0,,Romaria,53,Andy Sheppard Quartet,Romaria,0.9640000000000001,0.38,311480,0.054000000000000006,0.687,7,0.151,-21.941,1,0.037000000000000005,134.17600000000002,0.18100000000000002
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,3MU1qPFFyJQy1RbmpLH0mb,spotify:track:3MU1qPFFyJQy1RbmpLH0mb,https://p.scdn.co/mp3-preview/de86f1c2001c6cc3974cc2f25552b400c2a0c8cc?cid=63a77ff40e794a12ae216a18befde98c,Sweetness,52,"Roger Kellaway,Jay Leonhart,Peter Erskine",New Jazz Standards Vol 3,0.917,0.337,419853,0.162,0.5760000000000001,8,0.152,-18.070999999999998,1,0.0345,82.256,0.0887
focus,Pure Mellow Jazz,37i9dQZF1DWSBRKlyNxSuy,2yuDexdINZo3jxbFHf5fLw,spotify:track:2yuDexdINZo3jxbFHf5fLw,https://p.scdn.co/mp3-preview/57da46382b8881a676080d9c5f6af976ce0ab869?cid=63a77ff40e794a12ae216a18befde98c,For the Love of Freedom,53,Marcus Miller,Marshall (Original Motion Picture Soundtrack),0.9670000000000001,0.5379999999999999,152107,0.0687,0.461,2,0.0854,-17.993,0,0.0371,103.80799999999999,0.132
