category_id,playlist_name,playlist_id,track_id,track_uri,track_preview_url,track_name,track_popularity,artist_name,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,6EV7iIhdW9VBjphqZNGSfM,spotify:track:6EV7iIhdW9VBjphqZNGSfM,https://p.scdn.co/mp3-preview/ea0a2bd7964e90737237deea54890d6cb01d6534?cid=63a77ff40e794a12ae216a18befde98c,Evan Finds the Third Room,56,Khruangbin,Con Todo El Mundo,0.0101,0.7809999999999999,240743,0.385,0.5870000000000001,10,0.166,-9.976,0,0.0789,105.81200000000001,0.8420000000000001
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,3taJAycdmAmTzRtuDiEZ0C,spotify:track:3taJAycdmAmTzRtuDiEZ0C,https://p.scdn.co/mp3-preview/056df77ca884e7fc69e650a74dd32a6b197cafbe?cid=63a77ff40e794a12ae216a18befde98c,Milligan (The Ocean),34,"Anthony Joseph,Ella Andall",People of the Sun,0.07400000000000001,0.647,506175,0.7120000000000001,0.00396,6,0.247,-6.059,0,0.10400000000000001,94.76,0.632
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,5GBdFdFGxuOuPpH7hHGWF8,spotify:track:5GBdFdFGxuOuPpH7hHGWF8,https://p.scdn.co/mp3-preview/26279babb6d9e4dc84708d04dc155478a10f05c4?cid=63a77ff40e794a12ae216a18befde98c,The Sweetest Meditation,41,"Lord Echo,Mara TK",The Sweetest Meditation (Remixes),0.122,0.789,351939,0.75,0.0835,11,0.09,-8.599,0,0.0479,114.904,0.669
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,4h6c7Q9EC30R6S726vBPUe,spotify:track:4h6c7Q9EC30R6S726vBPUe,,Baiana - Wolf Mueller's Drum Drop,36,"Barbatuques,Wolf Mueller",Baianá (Brasingles Vol. 2),0.0201,0.735,298944,0.7829999999999999,0.0767,10,0.0667,-8.051,0,0.0813,94.994,0.48100000000000004
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,3Y8l0qFXpHlY0Nk8QnBDjt,spotify:track:3Y8l0qFXpHlY0Nk8QnBDjt,https://p.scdn.co/mp3-preview/5fe34f70cdec2dd4c67b446de5dfd541dd73557e?cid=63a77ff40e794a12ae216a18befde98c,Jose Chicago,36,Shawn Lee & The Soul Surfers,Shawn Lee & The Soul Surfers,0.00836,0.653,201507,0.8240000000000001,0.8420000000000001,4,0.0755,-4.906000000000001,0,0.0328,125.811,0.722
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,10XSi81nmCjpWUY0D5bo2S,spotify:track:10XSi81nmCjpWUY0D5bo2S,https://p.scdn.co/mp3-preview/4cf8db7c261cfd8c3690df7036cdd14e27b731b0?cid=63a77ff40e794a12ae216a18befde98c,Crockett Theme,43,Bacao Rhythm & Steel Band,The Serpent's Mouth,0.0533,0.706,231807,0.547,0.861,10,0.0827,-7.763,1,0.0629,189.52700000000002,0.794
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,5SldP0fpEqqYLitSbLypio,spotify:track:5SldP0fpEqqYLitSbLypio,https://p.scdn.co/mp3-preview/79d712ace9b47a9c859f0a020acd5799e785b8f3?cid=63a77ff40e794a12ae216a18befde98c,Isaac Washington,35,Cotonete,Isaac Washington,0.00023799999999999998,0.722,368453,0.374,0.873,10,0.133,-13.669,0,0.0435,120.00299999999999,0.7609999999999999
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,03UbWRPCCdMAytHTsp3H5D,spotify:track:03UbWRPCCdMAytHTsp3H5D,https://p.scdn.co/mp3-preview/0c9cc2c2317e4134a40bd333fb831da38830260d?cid=63a77ff40e794a12ae216a18befde98c,Short Shrift,36,The So Ons,Tej b/w Short Shrift,0.0149,0.6859999999999999,182808,0.578,0.81,0,0.0838,-11.74,1,0.0319,102.405,0.62
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,2qJrhIwk58tTBSLI85VCJe,spotify:track:2qJrhIwk58tTBSLI85VCJe,https://p.scdn.co/mp3-preview/bc66854118b84536711e20b65889032e87f96dfb?cid=63a77ff40e794a12ae216a18befde98c,Atlantic Oscillations,50,Quantic,Atlantic Oscillations,0.008329999999999999,0.7020000000000001,351147,0.8270000000000001,0.86,7,0.0884,-8.882,1,0.068,121.00399999999999,0.857
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,6Mvb8vVYbBlYn7lkTciTd6,spotify:track:6Mvb8vVYbBlYn7lkTciTd6,https://p.scdn.co/mp3-preview/e85de50455b819b278515909987dc547943a9212?cid=63a77ff40e794a12ae216a18befde98c,Abusey Junction,58,KOKOROKO,We out Here,0.851,0.72,429093,0.34600000000000003,0.938,8,0.11199999999999999,-12.008,0,0.0605,83.75200000000001,0.38299999999999995
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,1ijV5N3fvoaTO1BXqKH9Kq,spotify:track:1ijV5N3fvoaTO1BXqKH9Kq,,"Afro Golden Line (feat. Sefi Zisling, Uzi Ramirez & Rejoicer)",29,"Amir Bresler,Sefi Zisling,Uzi Ramirez,Rejoicer",Afro Golden Line,0.29,0.5579999999999999,239398,0.613,0.93,4,0.154,-8.988,0,0.0352,90.87700000000001,0.7959999999999999
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,1xkOg49ZxldiM1ioIudwUS,spotify:track:1xkOg49ZxldiM1ioIudwUS,https://p.scdn.co/mp3-preview/a4ce3ec7b22678466c14151a41c7328a8fbd433c?cid=63a77ff40e794a12ae216a18befde98c,Could Heaven Ever Be Like This,54,Idris Muhammad,Turn This Mutha Out,0.38799999999999996,0.755,516587,0.8420000000000001,0.541,2,0.105,-7.292999999999999,0,0.129,123.20299999999999,0.7979999999999999
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,32gtSO10v6vgTl0CvikODe,spotify:track:32gtSO10v6vgTl0CvikODe,https://p.scdn.co/mp3-preview/aadf8f23983452c15b7b016d36469e9fe33226c2?cid=63a77ff40e794a12ae216a18befde98c,Dog eat dog,48,The Souljazz Orchestra,Under Burning Skies,0.0917,0.725,425529,0.818,0.000763,0,0.0881,-7.272,0,0.0299,116.0,0.872
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,6cCjkGOjdA2F3C3ZShdm40,spotify:track:6cCjkGOjdA2F3C3ZShdm40,https://p.scdn.co/mp3-preview/373b3c9ee2cf8816277517b11df6e404b4c7eedd?cid=63a77ff40e794a12ae216a18befde98c,Enjoy Your Life,46,Oby Onyioha,"Doing It in Lagos: Boogie, Pop & Disco in 1980's Nigeria",0.0339,0.87,376973,0.68,0.00758,5,0.0691,-8.201,0,0.055,115.369,0.873
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,7KgzTAMQ7u7V16S187rGWV,spotify:track:7KgzTAMQ7u7V16S187rGWV,https://p.scdn.co/mp3-preview/4b53883329fbd19eb658e38d71a7a91b8c34b347?cid=63a77ff40e794a12ae216a18befde98c,Layla,35,Cotonete,Layla - EP,0.213,0.331,536440,0.575,0.746,9,0.0981,-13.577,0,0.0369,112.949,0.0675
funk,Global Funk,37i9dQZF1DWUS3jbm4YExP,7nCFH82KnSe9lhz6iREtkv,spotify:track:7nCFH82KnSe9lhz6iREtkv,https://p.scdn.co/mp3-preview/f80e6a0b7cc8a7b83b5854eae73c7c30d4291d2f?cid=63a77ff40e794a12ae216a18befde98c,Meet Me on the Corner - Crazy P Remix Radio Edit,39,"Honeyfeet,Crazy P",Meet Me on the Corner (Remixes),0.0104,0.7390000000000001,242000,0.87,0.047,0,0.0712,-6.5520000000000005,1,0.0371,115.00299999999999,0.894
