category_id,playlist_name,playlist_id,track_id,track_uri,track_preview_url,track_name,track_popularity,artist_name,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,6Ecwy66SsqlfXVdsMWF6IJ,spotify:track:6Ecwy66SsqlfXVdsMWF6IJ,https://p.scdn.co/mp3-preview/0982425760f15c73b9b669f761f4750330696fcf?cid=63a77ff40e794a12ae216a18befde98c,Melody of Love - Edit,52,Hot Chip,Melody of Love,0.0878,0.544,211959,0.748,0.0,4,0.132,-5.6979999999999995,0,0.0379,129.963,0.295
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,6RoEAOdh3MLrChpSf2zIUB,spotify:track:6RoEAOdh3MLrChpSf2zIUB,https://p.scdn.co/mp3-preview/a863c4168f980750a4e21e5e00713eb683f62f54?cid=63a77ff40e794a12ae216a18befde98c,Future Love,33,Ride,Future Love,2.26e-05,0.39799999999999996,218653,0.91,0.12300000000000001,10,0.121,-4.333,1,0.0434,149.97799999999998,0.5379999999999999
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,31adJKil1HVhgheaVgJOso,spotify:track:31adJKil1HVhgheaVgJOso,https://p.scdn.co/mp3-preview/aa9dd8dcf2639573dcbf5ee1fa04cb4e7182b185?cid=63a77ff40e794a12ae216a18befde98c,Big Softy,38,Middle Kids,New Songs For Old Problems,0.0035,0.312,239766,0.8059999999999999,0.0,3,0.0915,-3.252,1,0.0334,172.12599999999998,0.233
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,72DFvuAeypjiT6wjYP0bq2,spotify:track:72DFvuAeypjiT6wjYP0bq2,https://p.scdn.co/mp3-preview/b71c40cdec4e4090a2b53d5e68312072afdbcafe?cid=63a77ff40e794a12ae216a18befde98c,Frontier,46,Holly Herndon,PROTO,0.00253,0.467,269079,0.575,6.94e-05,5,0.354,-6.694,0,0.0429,140.047,0.16699999999999998
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,4h9J8acEWU4ArtPxW18VKn,spotify:track:4h9J8acEWU4ArtPxW18VKn,https://p.scdn.co/mp3-preview/3e0de83c4bd7792b2da476b05d0bc7f83802c635?cid=63a77ff40e794a12ae216a18befde98c,Earthly Needs,41,Hayden Thorpe,Earthly Needs,0.317,0.657,253924,0.36,0.21899999999999997,6,0.121,-12.604000000000001,0,0.0291,137.019,0.179
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,15KS1teMEOiDKW1z2D371D,spotify:track:15KS1teMEOiDKW1z2D371D,https://p.scdn.co/mp3-preview/e8ca782896066b854a9dcdd51f08fa8ff6acab6d?cid=63a77ff40e794a12ae216a18befde98c,Talking Heads,49,black midi,Talking Heads,0.00107,0.522,184907,0.8240000000000001,0.00231,2,0.0786,-6.7170000000000005,1,0.125,99.18,0.8190000000000001
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,69hESgAOaRAfX41jASh0Rk,spotify:track:69hESgAOaRAfX41jASh0Rk,https://p.scdn.co/mp3-preview/b660f8ca2360b65a1ffbd8209135ee8ea8f653a8?cid=63a77ff40e794a12ae216a18befde98c,Bring It Up,26,W. H. Lung,Incidental Music,0.00135,0.563,246504,0.875,0.711,11,0.0891,-6.737,1,0.035,149.995,0.884
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,3dIT6C8CZ9ojEwIRgjhJAS,spotify:track:3dIT6C8CZ9ojEwIRgjhJAS,https://p.scdn.co/mp3-preview/4a2d0955371588473e972f49a76cc405efa40828?cid=63a77ff40e794a12ae216a18befde98c,Ecstacy Is On Maple Mountain,38,Nathan Micay,Ecstacy Is On Maple Mountain,0.0017399999999999998,0.662,338624,0.805,0.75,7,0.0426,-7.638,1,0.0594,125.96,0.313
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,39vWcep5Mh6NEGnXLkvm42,spotify:track:39vWcep5Mh6NEGnXLkvm42,https://p.scdn.co/mp3-preview/2fefb556319f156cbb2d81b68d140636837d7829?cid=63a77ff40e794a12ae216a18befde98c,The Things Themselves,42,"Holy Hive,Mary Lattimore,SASAMI",The Things Themselves,0.65,0.74,209464,0.47600000000000003,0.0141,6,0.0895,-6.513999999999999,0,0.0295,91.90799999999999,0.6629999999999999
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,4vMkz7EaxyFoXLW3Z45Ney,spotify:track:4vMkz7EaxyFoXLW3Z45Ney,https://p.scdn.co/mp3-preview/413cbd5bdd70c751e2e4591b60cfa394be710e42?cid=63a77ff40e794a12ae216a18befde98c,This Love,42,Arlo Day,This Love,0.6829999999999999,0.44,268040,0.23,4.77e-05,9,0.11900000000000001,-10.600999999999999,0,0.0354,142.114,0.076
indie_alt,Domino Sound System,2nSEYi9ueqDn2wxo1Tmceg,2XjRIFpALuD2lgQVxVUKwS,spotify:track:2XjRIFpALuD2lgQVxVUKwS,https://p.scdn.co/mp3-preview/ac8cc62133df20417df116a9123989f4533b8df0?cid=63a77ff40e794a12ae216a18befde98c,Pink & Blue,54,"Tycho,Saint Sinner",Pink & Blue,0.0948,0.6709999999999999,259166,0.546,0.205,0,0.259,-10.9,1,0.0388,118.00299999999999,0.384
