category_id,playlist_name,playlist_id,track_id,track_uri,track_preview_url,track_name,track_popularity,artist_name,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,1wIpio4Lb8FHbn0BDVQFTZ,spotify:track:1wIpio4Lb8FHbn0BDVQFTZ,,But Beautiful,42,Gregory Porter,"Nat ""King"" Cole & Me (Deluxe)",0.889,0.124,271413,0.0693,0.0064,5,0.0635,-16.416,1,0.0365,58.472,0.046
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,6d3m5JM3OgVPI7GD7T5MYR,spotify:track:6d3m5JM3OgVPI7GD7T5MYR,https://p.scdn.co/mp3-preview/efc81eed4715db206a96b28c78c113c739e1e987?cid=63a77ff40e794a12ae216a18befde98c,My One and Only Love,53,Karen Souza,Ain't No Sunshine / My One and Only Love,0.787,0.669,280707,0.297,0.0462,9,0.11699999999999999,-12.294,1,0.0284,107.961,0.22899999999999998
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,3azuowB4mADwvYCumctRrs,spotify:track:3azuowB4mADwvYCumctRrs,https://p.scdn.co/mp3-preview/25cd313bc2e876dda42dcab5d215a2cf82ba6524?cid=63a77ff40e794a12ae216a18befde98c,Moon River,52,Nicole Henry,Moon River,0.89,0.299,310827,0.226,0.00023500000000000002,6,0.12,-12.411,1,0.0329,52.467,0.235
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,76UAKQQF3AylDr39Sm9uY6,spotify:track:76UAKQQF3AylDr39Sm9uY6,https://p.scdn.co/mp3-preview/ae855c5b4970131b91708f0eb9c6f643042a8151?cid=63a77ff40e794a12ae216a18befde98c,That’s My Desire,48,"Beegie Adair,Ray Stevens",Grover's Hat Project,0.8290000000000001,0.43700000000000006,296587,0.20199999999999999,3.15e-06,0,0.12300000000000001,-12.311,1,0.0306,70.122,0.275
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,5ShdF7P8hl40IhvhoTnVyx,spotify:track:5ShdF7P8hl40IhvhoTnVyx,,La vie en rose,56,Laura Fygi,Jazz Love,0.94,0.49700000000000005,227953,0.20600000000000002,1.27e-06,3,0.10400000000000001,-12.637,1,0.031,81.63,0.18100000000000002
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,3hMtwMsTU2H3iD5mu0cpiE,spotify:track:3hMtwMsTU2H3iD5mu0cpiE,https://p.scdn.co/mp3-preview/a26c01a5f9a973bc336ad23e974b91f8a3e7b2f6?cid=63a77ff40e794a12ae216a18befde98c,Unforgettable,47,"Sachal Vasandani,Eric Harland,Reuben Rogers,Taylor Eigsti",Unforgettable,0.847,0.539,176495,0.188,0.00815,0,0.109,-11.862,0,0.0408,103.98100000000001,0.275
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,0yKhFtDzzxV1t0VpM37uLp,spotify:track:0yKhFtDzzxV1t0VpM37uLp,https://p.scdn.co/mp3-preview/03924eb51ab87686aabb2f8a8a655e65c64db010?cid=63a77ff40e794a12ae216a18befde98c,Photograph,55,Stacey Kent,I Know I Dream : The Orchestral Sessions (Deluxe Version),0.889,0.35700000000000004,367213,0.28800000000000003,0.0253,7,0.0968,-14.014000000000001,1,0.0272,82.825,0.131
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,7IUYvQDgywrHpTehfaHOvc,spotify:track:7IUYvQDgywrHpTehfaHOvc,https://p.scdn.co/mp3-preview/069fed4ddd655a034548db09b6f03157651cdaf2?cid=63a77ff40e794a12ae216a18befde98c,You Belong to My Heart - Solamente Una Vez,50,Flora Martínez,You Belong to My Heart - Solamente Una Vez,0.953,0.643,163043,0.14400000000000002,0.000487,7,0.109,-16.097,1,0.0513,115.101,0.426
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,5gSYmTVASekarEoK4puiRD,spotify:track:5gSYmTVASekarEoK4puiRD,,Night And Day,61,Diana Krall,Turn Up The Quiet,0.872,0.49,278293,0.121,0.0808,5,0.122,-18.532,1,0.028999999999999998,103.68299999999999,0.256
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,6XmN8QIxuZt8ljcnaPmhOM,spotify:track:6XmN8QIxuZt8ljcnaPmhOM,https://p.scdn.co/mp3-preview/c09fc2719fd0b4be5c73a3d347816fa5ef14f60a?cid=63a77ff40e794a12ae216a18befde98c,Sunday Kind of Love,57,Steve Tyrell,A Song For You,0.836,0.579,211360,0.33799999999999997,7.83e-06,10,0.154,-12.014000000000001,1,0.0333,113.12899999999999,0.436
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,4fT0kbU0e5AxBgCt84qOzC,spotify:track:4fT0kbU0e5AxBgCt84qOzC,https://p.scdn.co/mp3-preview/ff9e36d68a3b4fce725aacbaa3fb2c309bc10cdc?cid=63a77ff40e794a12ae216a18befde98c,I'll Be Seeing You,48,Ellen Andersson Quartet,I'll Be Seeing You,0.818,0.598,367453,0.29100000000000004,5.22e-05,1,0.107,-10.748,1,0.0412,115.351,0.36
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,226aNk2hiOlW3joJHIvSVe,spotify:track:226aNk2hiOlW3joJHIvSVe,https://p.scdn.co/mp3-preview/95f5e196813e40730e5612b55dab51b789128444?cid=63a77ff40e794a12ae216a18befde98c,Loving You,47,Cyrille Aimee,Move On: A Sondheim Adventure,0.8220000000000001,0.621,171949,0.188,0.000859,1,0.124,-16.328,0,0.0503,133.708,0.47600000000000003
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,0pbEgA27VE15Y7uKOQzzfF,spotify:track:0pbEgA27VE15Y7uKOQzzfF,,L-O-V-E,12,Gregory Porter,L-O-V-E,0.727,0.607,128520,0.275,2.38e-06,11,0.125,-14.122,0,0.0925,108.696,0.517
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,7d5WHGfv4DqTWtjQGHrwij,spotify:track:7d5WHGfv4DqTWtjQGHrwij,https://p.scdn.co/mp3-preview/5eb78aebff2cdb90b887304e305a26acdd122e28?cid=63a77ff40e794a12ae216a18befde98c,People Will Say We're In Love,48,Kat Gang,Come Closer,0.8240000000000001,0.473,178427,0.20199999999999999,0.0018,0,0.115,-11.29,1,0.0322,143.858,0.223
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,0Kp6wskdOWA5U74pbtZ3qQ,spotify:track:0Kp6wskdOWA5U74pbtZ3qQ,https://p.scdn.co/mp3-preview/4fd18c293c81c2d3f46cb4d5c96ee32f0b35c87f?cid=63a77ff40e794a12ae216a18befde98c,I've Got a Crush On You,58,Steve Tyrell,This Guy's In Love,0.535,0.568,152000,0.375,0.00010700000000000001,7,0.10300000000000001,-9.167,1,0.0319,79.09,0.231
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,0ULm3rFCZSbIZcdFUOrgSm,spotify:track:0ULm3rFCZSbIZcdFUOrgSm,,My Funny Valentine,38,Seal,Standards,0.875,0.34600000000000003,272085,0.22,0.000254,0,0.12300000000000001,-10.502,0,0.0386,141.017,0.23399999999999999
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,4y8icjzu6fZP503Mg31Tpn,spotify:track:4y8icjzu6fZP503Mg31Tpn,,My Romance,53,Ella Fitzgerald,Ella Fitzgerald Sings The Rodgers And Hart Song Book,0.88,0.188,224227,0.307,0.0008320000000000001,7,0.307,-12.212,1,0.0305,89.10700000000001,0.165
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,4OPXzKlS84fnRcZI3Kv5S6,spotify:track:4OPXzKlS84fnRcZI3Kv5S6,https://p.scdn.co/mp3-preview/ec84bc570f4789b5899172a8dd8c2bf762de7d29?cid=63a77ff40e794a12ae216a18befde98c,All the Way,51,Katharine McPhee,I Fall in Love Too Easily,0.8959999999999999,0.478,235867,0.18,0.0,6,0.125,-12.138,0,0.0442,76.02,0.23399999999999999
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,3lxhuJetgOct3FN47LvZmO,spotify:track:3lxhuJetgOct3FN47LvZmO,https://p.scdn.co/mp3-preview/e47bdb8eda3a7854f51e284379532d832c23b05c?cid=63a77ff40e794a12ae216a18befde98c,I Can't Give You Anything,45,Anthony Strong,Me and My Radio,0.57,0.588,318981,0.396,0.00066,1,0.174,-9.113,1,0.0249,102.22,0.20600000000000002
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,4oXcpRZGwElyGPcIxLwvBC,spotify:track:4oXcpRZGwElyGPcIxLwvBC,https://p.scdn.co/mp3-preview/0a4a5c37323fd35d67f63445a0b1b2741fec3685?cid=63a77ff40e794a12ae216a18befde98c,My True Love Is You,45,Sarah McKenzie,Secrets of My Heart,0.9590000000000001,0.32299999999999995,192531,0.0397,6.07e-06,7,0.109,-18.642,0,0.043,169.822,0.14800000000000002
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,3CPhIqN93yTKFdAKSo3FXh,spotify:track:3CPhIqN93yTKFdAKSo3FXh,,Smile,12,Gregory Porter,Smile,0.857,0.157,257533,0.198,0.00020800000000000001,3,0.162,-15.099,1,0.0322,102.488,0.061
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,0eyAeKA9YPiuzsgm2fiYIp,spotify:track:0eyAeKA9YPiuzsgm2fiYIp,,Little Paradise,14,Eliane Elias,Little Paradise,0.887,0.382,299533,0.276,0.6920000000000001,5,0.114,-15.46,0,0.0404,79.846,0.114
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,1yvDZeqobR7Pv6ZRVHtT9j,spotify:track:1yvDZeqobR7Pv6ZRVHtT9j,https://p.scdn.co/mp3-preview/6c460ab36614a615721baae630a97812b651fa35?cid=63a77ff40e794a12ae216a18befde98c,There Is No Greater Love,51,Lyambiko,Love Letters,0.457,0.608,327000,0.33299999999999996,4.970000000000001e-05,0,0.124,-12.1,1,0.0796,105.833,0.256
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,0yU5Oa00MqxV6GvVQ0CQu6,spotify:track:0yU5Oa00MqxV6GvVQ0CQu6,https://p.scdn.co/mp3-preview/456032d81f21e8dabc4cb4760be1ca8703e18ef5?cid=63a77ff40e794a12ae216a18befde98c,Don't Take Your Love from Me,42,Catherine Russell,Harlem on My Mind,0.894,0.379,292288,0.142,0.000202,8,0.14,-11.13,1,0.0359,179.27700000000002,0.17800000000000002
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,1BuHbtYFgSaV99PFPBZEkW,spotify:track:1BuHbtYFgSaV99PFPBZEkW,,Our Love Is Here To Stay,36,Natalie Cole,Unforgettable: With Love,0.867,0.39,209960,0.0968,3.58e-06,0,0.0715,-14.966,1,0.0285,68.768,0.135
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,2Um1CzJYNjxvNZZWHiMXtA,spotify:track:2Um1CzJYNjxvNZZWHiMXtA,https://p.scdn.co/mp3-preview/10d452b13b196ace7d322ac9915b213556b5e0ae?cid=63a77ff40e794a12ae216a18befde98c,First Time,39,Macy Gray,Stripped,0.888,0.494,251000,0.0644,0.0,7,0.11199999999999999,-19.065,1,0.0409,115.089,0.0958
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,7C7KLdwjjIvCWcxPwmgvaV,spotify:track:7C7KLdwjjIvCWcxPwmgvaV,https://p.scdn.co/mp3-preview/d2a45a7e4a096377f1c51eca2af3e0abf0333f7d?cid=63a77ff40e794a12ae216a18befde98c,I Will Wait For You,47,Nicki Parrott,From New York To Paris,0.951,0.46,330747,0.179,0.21600000000000003,3,0.132,-14.034,0,0.0346,93.271,0.24100000000000002
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,1ULuglVRXbgfd5LlzSkegz,spotify:track:1ULuglVRXbgfd5LlzSkegz,,Dream,12,Diana Krall,Dream,0.858,0.47,243507,0.0943,0.0016699999999999998,0,0.0899,-18.749000000000002,1,0.0296,68.235,0.209
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,0MaUUswNytVFfcYYXfvpRQ,spotify:track:0MaUUswNytVFfcYYXfvpRQ,,One Step Ahead,11,Cécile McLorin Salvant,One Step Ahead - Single,0.987,0.483,129128,0.0967,2.09e-05,0,0.124,-16.268,0,0.0369,85.09700000000001,0.706
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,3WKcw4BjJjHxQlXXc9Izgn,spotify:track:3WKcw4BjJjHxQlXXc9Izgn,https://p.scdn.co/mp3-preview/1326b1a1cbec18dc17245e52ff7dd99774ff96a5?cid=63a77ff40e794a12ae216a18befde98c,In the Wee Small Hours of the Morning,49,Stacey Kent,Tenderly,0.978,0.47200000000000003,206000,0.044000000000000004,0.00016999999999999999,7,0.11900000000000001,-17.557000000000002,1,0.0408,125.676,0.149
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,7FWEDbQYuQtR1DhATgXxRg,spotify:track:7FWEDbQYuQtR1DhATgXxRg,https://p.scdn.co/mp3-preview/41689d4d67f378fa35da2342a833a1d7ccc74922?cid=63a77ff40e794a12ae216a18befde98c,Are You Lonesome Tonight?,51,"Chris Botti,Paul Buchanan",To Love Again,0.927,0.34600000000000003,240120,0.051,0.00013000000000000002,7,0.111,-17.526,1,0.037000000000000005,111.321,0.128
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,6YCIFKFWx0pxMEUl8Vko6l,spotify:track:6YCIFKFWx0pxMEUl8Vko6l,,Let’s Fall In Love,50,Kristin Chenoweth,The Art Of Elegance,0.778,0.539,189360,0.389,3.28e-05,1,0.149,-9.146,1,0.0361,118.03399999999999,0.431
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,5Q8vFGe2wgjD50TzkHWAkp,spotify:track:5Q8vFGe2wgjD50TzkHWAkp,https://p.scdn.co/mp3-preview/e7f29bc86c2c5d4056fe482e4d25a33542ca8eee?cid=63a77ff40e794a12ae216a18befde98c,The Nearness Of You,48,Nancy Wilson,Precious & Rare: Nancy Wilson,0.98,0.44,178960,0.0492,0.0253,1,0.0936,-15.265,1,0.038,111.462,0.185
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,5phLXp2XdLBwLuftxbGe2T,spotify:track:5phLXp2XdLBwLuftxbGe2T,,On an Evening in Roma (Sott'er Celo de Roma),11,Michael Bublé,On an Evening in Roma (Sott'er Celo de Roma),0.684,0.431,162520,0.33399999999999996,2.89e-06,6,0.11900000000000001,-7.645,1,0.0313,137.02100000000002,0.6579999999999999
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,7wwDhqPS3gxRDenfX2GtiT,spotify:track:7wwDhqPS3gxRDenfX2GtiT,https://p.scdn.co/mp3-preview/13d6d3d002ab03002c50d2d6e2123bfd2d255811?cid=63a77ff40e794a12ae216a18befde98c,When I Fall in Love (feat. Chris Botti),54,Renee Olstead,Skylark (Std. Version),0.905,0.39,283093,0.21899999999999997,2.02e-05,1,0.0921,-10.651,1,0.0322,125.471,0.11699999999999999
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,22rek75QknVrI85tEIUF7a,spotify:track:22rek75QknVrI85tEIUF7a,,These Things You Are To Me,35,Jamison Ross,Jamison,0.828,0.645,263106,0.365,0.0009029999999999999,8,0.0954,-12.87,1,0.0339,94.955,0.267
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,1my1nf6O10GIZEZRp2Cxv7,spotify:track:1my1nf6O10GIZEZRp2Cxv7,https://p.scdn.co/mp3-preview/0241c50ad5bf683ca63bc5d72910dbeb9b88ff30?cid=63a77ff40e794a12ae216a18befde98c,Like Someone in Love,46,Elisabeth Melander,Reflections of a Voice,0.888,0.521,265747,0.318,0.00033999999999999997,8,0.111,-12.075,1,0.0401,96.101,0.402
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,27zwk7cQ2s6sM3tiYgGVsF,spotify:track:27zwk7cQ2s6sM3tiYgGVsF,,A Sunday Kind Of Love,11,Ruth Cameron,Roadhouse,0.94,0.537,292973,0.17800000000000002,8.83e-05,0,0.115,-12.222999999999999,0,0.0464,125.649,0.299
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,1vsZD1hVHW7BU4FOIYkO5R,spotify:track:1vsZD1hVHW7BU4FOIYkO5R,,I'm Old Fashioned,47,Sarah McKenzie,Paris In The Rain,0.878,0.645,284133,0.35200000000000004,0.0087,9,0.135,-6.225,0,0.0442,113.986,0.44
jazz,Jazzy Romance,37i9dQZF1DWTbzY5gOVvKd,2ofpYfMA5QKWkyuZmSId8R,spotify:track:2ofpYfMA5QKWkyuZmSId8R,https://p.scdn.co/mp3-preview/8bd9298512f56958e4ea3637693a31cc08d38f2e?cid=63a77ff40e794a12ae216a18befde98c,Bewitched,48,Carol Welsman,For You,0.968,0.484,229365,0.106,2.07e-06,2,0.185,-15.937000000000001,1,0.0427,95.23299999999999,0.316
