category_id,playlist_name,playlist_id,track_id,track_uri,track_preview_url,track_name,track_popularity,artist_name,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
kpop,Bubblegum K-Pop,37i9dQZF1DWTTHy0vndijk,60zxdAqWtdDu0vYsbXViA7,spotify:track:60zxdAqWtdDu0vYsbXViA7,https://p.scdn.co/mp3-preview/8396dd381cd01facaa81952db1d78ea24fc8e7cc?cid=63a77ff40e794a12ae216a18befde98c,FANCY,82,TWICE,FANCY YOU,0.0132,0.6990000000000001,213886,0.866,0.0,5,0.648,-2.138,0,0.0446,132.023,0.795
kpop,Bubblegum K-Pop,37i9dQZF1DWTTHy0vndijk,381g0b6QZxC13SzA2HRMIc,spotify:track:381g0b6QZxC13SzA2HRMIc,https://p.scdn.co/mp3-preview/5f215e6e3f5ebae780b4c160363b5ceae999a71c?cid=63a77ff40e794a12ae216a18befde98c,Power Up,66,Red Velvet,Summer Magic - Summer Mini Album,0.0774,0.732,202040,0.934,0.00745,8,0.306,-4.618,1,0.14400000000000002,159.998,0.898
kpop,Bubblegum K-Pop,37i9dQZF1DWTTHy0vndijk,3BPoSr2pO34Aan6alFfVto,spotify:track:3BPoSr2pO34Aan6alFfVto,https://p.scdn.co/mp3-preview/4d99415aa4edb07f572f2d4cad89ee73612deb6b?cid=63a77ff40e794a12ae216a18befde98c,BBoom BBoom,70,MOMOLAND,GREAT!,0.0149,0.785,208863,0.7440000000000001,0.006659999999999999,3,0.0661,-4.249,0,0.0369,126.01799999999999,0.833
kpop,Bubblegum K-Pop,37i9dQZF1DWTTHy0vndijk,1LShDXXs40R8bQFNBBupI3,spotify:track:1LShDXXs40R8bQFNBBupI3,https://p.scdn.co/mp3-preview/149247c2493cd7286467a06a546eeec3228a5678?cid=63a77ff40e794a12ae216a18befde98c,PICK ME,59,PRODUCE 48,PRODUCE 48 - NEKKOYA (PICK ME),0.0218,0.649,279423,0.862,0.0,6,0.066,-3.903,1,0.0487,128.05100000000002,0.594
kpop,Bubblegum K-Pop,37i9dQZF1DWTTHy0vndijk,6ExdEzXXhZpoNMl5p1BD7z,spotify:track:6ExdEzXXhZpoNMl5p1BD7z,https://p.scdn.co/mp3-preview/54c3e05eb293edfdae793deb68c58971ee709c9b?cid=63a77ff40e794a12ae216a18befde98c,Aya,28,Lovelyz,"Lovelyz 2nd Album Repackage (Now, We)",0.19399999999999998,0.755,214242,0.9079999999999999,0.0,11,0.332,-2.175,1,0.0528,134.98,0.9159999999999999
kpop,Bubblegum K-Pop,37i9dQZF1DWTTHy0vndijk,1S6zXoXhfalX2ETKo337Md,spotify:track:1S6zXoXhfalX2ETKo337Md,,YES or YES,56,TWICE,YES or YES,0.0514,0.7020000000000001,237685,0.9129999999999999,3.71e-06,11,0.166,-2.977,1,0.0374,137.982,0.735
kpop,Bubblegum K-Pop,37i9dQZF1DWTTHy0vndijk,7nKQ5WAcjnG48knyLuo8gO,spotify:track:7nKQ5WAcjnG48knyLuo8gO,https://p.scdn.co/mp3-preview/a4b1bcfad224a04c35da8f124a9a5a92290694a2?cid=63a77ff40e794a12ae216a18befde98c,빨간 맛 Red Flavor,66,Red Velvet,The Red Summer - Summer Mini Album,0.0409,0.7090000000000001,191139,0.917,0.0,9,0.0839,-3.315,1,0.18899999999999997,125.042,0.515
kpop,Bubblegum K-Pop,37i9dQZF1DWTTHy0vndijk,4Is1b37KJY9XVCgzp81FBW,spotify:track:4Is1b37KJY9XVCgzp81FBW,https://p.scdn.co/mp3-preview/ca793241ae542c192fe6abe0ec658cd3ed750f70?cid=63a77ff40e794a12ae216a18befde98c,BAAM,67,MOMOLAND,Fun to The World,0.115,0.725,208475,0.94,0.0043100000000000005,5,0.0864,-2.32,0,0.0435,127.051,0.905
kpop,Bubblegum K-Pop,37i9dQZF1DWTTHy0vndijk,4vFgYhZDcv3ociO2QI5qAd,spotify:track:4vFgYhZDcv3ociO2QI5qAd,https://p.scdn.co/mp3-preview/1c198a9943780a6d4577c93d5c193af18601e2af?cid=63a77ff40e794a12ae216a18befde98c,Miracle,40,fromis_9,To. Heart,0.0498,0.602,222759,0.8959999999999999,0.0,5,0.326,-2.858,0,0.0519,125.916,0.6779999999999999
kpop,Bubblegum K-Pop,37i9dQZF1DWTTHy0vndijk,1e7eOq89QU6vGYCJp9yW2L,spotify:track:1e7eOq89QU6vGYCJp9yW2L,https://p.scdn.co/mp3-preview/8df2e81664881f2a520f032e2a650901d62e160a?cid=63a77ff40e794a12ae216a18befde98c,Sunrise,61,GFRIEND,GFRIEND The 2nd Album 'Time for us',0.428,0.45299999999999996,216488,0.8490000000000001,0.0,6,0.1,-1.337,0,0.125,173.917,0.638
