category_id,playlist_name,playlist_id,track_id,track_uri,track_preview_url,track_name,track_popularity,artist_name,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
metal,Death Metal & Beyond,37i9dQZF1DWT9SRKhOEUYj,6zpgW4U6ALynmhpnyXietF,spotify:track:6zpgW4U6ALynmhpnyXietF,https://p.scdn.co/mp3-preview/7feefd59c15f6716f0dd868ce2c411b80f8deb10?cid=63a77ff40e794a12ae216a18befde98c,Her Frantic Call,21,Lahmia,Her Frantic Call,9.06e-06,0.426,354560,0.993,0.0618,6,0.183,-6.829,1,0.0705,145.009,0.257
metal,Death Metal & Beyond,37i9dQZF1DWT9SRKhOEUYj,6mhMSYegaez49AZRTNKXEg,spotify:track:6mhMSYegaez49AZRTNKXEg,https://p.scdn.co/mp3-preview/048c517f5c31ba6110e1f2e2cb959f561850952d?cid=63a77ff40e794a12ae216a18befde98c,Crack the Sky,54,Amon Amarth,Crack the Sky,0.0015400000000000001,0.511,229440,0.948,0.23600000000000002,10,0.166,-5.024,0,0.0637,123.009,0.341
metal,Death Metal & Beyond,37i9dQZF1DWT9SRKhOEUYj,3cv81FjvRNw2pGV4fnPMXq,spotify:track:3cv81FjvRNw2pGV4fnPMXq,https://p.scdn.co/mp3-preview/a67e43bf75bb284e0633a752fd81ea2b48c7aedf?cid=63a77ff40e794a12ae216a18befde98c,Rid You of Your Flesh,21,LIK,Rid You of Your Flesh,1.87e-06,0.209,220200,0.9890000000000001,0.348,0,0.177,-4.644,1,0.125,104.536,0.113
metal,Death Metal & Beyond,37i9dQZF1DWT9SRKhOEUYj,1RogtS4AhwTB3aIquKSrGF,spotify:track:1RogtS4AhwTB3aIquKSrGF,https://p.scdn.co/mp3-preview/8da157f5eaab480add1a1c688d54bb8af25b78c7?cid=63a77ff40e794a12ae216a18befde98c,Stellar Tidal Disruption,33,Allegaeon,Stellar Tidal Disruption,9.27e-05,0.499,366688,0.9940000000000001,0.42,11,0.0594,-3.22,0,0.19699999999999998,105.008,0.0938
metal,Death Metal & Beyond,37i9dQZF1DWT9SRKhOEUYj,5ve0tZEozbAS96AxsZ0Yp4,spotify:track:5ve0tZEozbAS96AxsZ0Yp4,https://p.scdn.co/mp3-preview/9c5e7150690218a1ec9be5c08a28b99f54247e52?cid=63a77ff40e794a12ae216a18befde98c,Savagery,28,Skinless,Savagery,4.8200000000000006e-05,0.248,266642,0.97,0.882,6,0.0461,-7.6770000000000005,1,0.128,127.0,0.161
metal,Death Metal & Beyond,37i9dQZF1DWT9SRKhOEUYj,21Kfo2u8sNF2AcjHoADZLr,spotify:track:21Kfo2u8sNF2AcjHoADZLr,https://p.scdn.co/mp3-preview/db51eaffc0352af00b5e25a6d99e544c97a3fbd2?cid=63a77ff40e794a12ae216a18befde98c,Release the Soul,25,Malevolent Creation,Release the Soul,1.47e-06,0.193,331080,0.9890000000000001,0.852,6,0.0584,-6.042000000000001,1,0.203,169.86900000000003,0.159
metal,Death Metal & Beyond,37i9dQZF1DWT9SRKhOEUYj,1RLOZzuIv3i8g8SarCmEW2,spotify:track:1RLOZzuIv3i8g8SarCmEW2,https://p.scdn.co/mp3-preview/53647bdce563b96ec94f3a1afd636b3caaaff40c?cid=63a77ff40e794a12ae216a18befde98c,Fafner's Gold,57,Amon Amarth,Berserker,0.00409,0.406,300560,0.95,0.0631,8,0.11599999999999999,-6.337000000000001,1,0.0861,179.84099999999998,0.21
metal,Death Metal & Beyond,37i9dQZF1DWT9SRKhOEUYj,0szqphBzVgSvCWZR88LW85,spotify:track:0szqphBzVgSvCWZR88LW85,https://p.scdn.co/mp3-preview/3d03a7349b768461091f144e1f59512b38aaa22f?cid=63a77ff40e794a12ae216a18befde98c,Dawn of the Planet of the Ashes,23,The Monolith Deathcult,Dawn of the Planet of the Ashes,4.3700000000000005e-05,0.20800000000000002,347320,0.941,0.41600000000000004,1,0.596,-10.43,0,0.0893,159.84799999999998,0.196
metal,Death Metal & Beyond,37i9dQZF1DWT9SRKhOEUYj,52pgEwXDEXHHR3KgtDGgi6,spotify:track:52pgEwXDEXHHR3KgtDGgi6,https://p.scdn.co/mp3-preview/643ba430d65f20d114187d642f5a99cfa1a02f74?cid=63a77ff40e794a12ae216a18befde98c,Chainsaw Lullaby,33,Bloodbath,Chainsaw Lullaby,2.77e-06,0.354,199587,0.919,0.945,0,0.375,-4.378,1,0.063,130.045,0.382
metal,Death Metal & Beyond,37i9dQZF1DWT9SRKhOEUYj,3j2hQkHbjf3DyEIYjDtNVU,spotify:track:3j2hQkHbjf3DyEIYjDtNVU,https://p.scdn.co/mp3-preview/90de5d1e8a55d8ebe42a563b128cfa95c85102dd?cid=63a77ff40e794a12ae216a18befde98c,Invocation Obscure,18,Obscenity,Invocation Obscure,3.06e-05,0.16699999999999998,276707,0.983,0.893,8,0.221,-2.114,1,0.15,160.844,0.121
