category_id,playlist_name,playlist_id,track_id,track_uri,track_preview_url,track_name,track_popularity,artist_name,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,4y3OI86AEP6PQoDE6olYhO,spotify:track:4y3OI86AEP6PQoDE6olYhO,,Sucker,95,Jonas Brothers,Sucker,0.0427,0.8420000000000001,181040,0.7340000000000001,0.0,1,0.106,-5.065,0,0.0588,137.958,0.9520000000000001
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,6lAqwGwFzQ44SrODqr0NmQ,spotify:track:6lAqwGwFzQ44SrODqr0NmQ,,Amigo,56,Chef'Special,Amigo,0.00834,0.5589999999999999,180133,0.922,0.0,6,0.35600000000000004,-4.5969999999999995,1,0.0504,145.0,0.638
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,5PYQUBXc7NYeI1obMKSJK0,spotify:track:5PYQUBXc7NYeI1obMKSJK0,,Never Really Over,74,Katy Perry,Never Really Over,0.2,0.765,223523,0.883,0.0,8,0.303,-4.736000000000001,1,0.0688,99.98700000000001,0.36
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,4szQkW1CDHqbRZGltXJdd3,spotify:track:4szQkW1CDHqbRZGltXJdd3,,Soldi,85,Mahmood,Gioventù Bruciata,0.0361,0.7290000000000001,195133,0.589,0.0,3,0.305,-9.871,0,0.0483,95.065,0.349
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,6TdqzsGkQOgwiVLfGb859p,spotify:track:6TdqzsGkQOgwiVLfGb859p,,Don't Let Me Be,46,"Cassius,Owlle",Don't Let Me Be,0.0128,0.7759999999999999,223853,0.74,1.22e-06,4,0.0725,-4.599,0,0.0326,120.0,0.976
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,3M9Apu4OZfylLTFKvgEtKa,spotify:track:3M9Apu4OZfylLTFKvgEtKa,,Ritual,68,"Tiësto,Jonas Blue,Rita Ora",Ritual,0.157,0.647,198996,0.726,0.0,3,0.0844,-4.388999999999999,0,0.0552,114.99600000000001,0.767
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,6LsAAHotRLMOHfCsSfYCsz,spotify:track:6LsAAHotRLMOHfCsSfYCsz,,If I Can't Have You,95,Shawn Mendes,If I Can't Have You,0.524,0.6920000000000001,190800,0.809,0.0,2,0.147,-4.198,1,0.0602,123.911,0.8640000000000001
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,7sxA24QDCYRSEUQqEAsaKR,spotify:track:7sxA24QDCYRSEUQqEAsaKR,,Diva (with Swae Lee & Tove Lo),70,"Aazar,Swae Lee,Tove Lo",Diva (with Swae Lee & Tove Lo),0.0674,0.6940000000000001,165600,0.7170000000000001,0.0,5,0.14300000000000002,-5.468,0,0.0467,100.06299999999999,0.306
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,02itaCXOdC54J0ISjqqFAp,spotify:track:02itaCXOdC54J0ISjqqFAp,,All Around The World (La La La),75,"R3HAB,A Touch Of Class",All Around The World (La La La),0.479,0.733,147840,0.8590000000000001,0.0645,9,0.105,-5.03,0,0.033,124.948,0.52
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,4tNXntkAzQ5A2dfYRYGIIQ,spotify:track:4tNXntkAzQ5A2dfYRYGIIQ,,Easier,85,5 Seconds of Summer,Easier,0.496,0.648,157493,0.433,0.0,2,0.0996,-5.5329999999999995,0,0.147,87.99700000000001,0.614
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,3QpkbrYXtlU3LRJu3sTK6V,spotify:track:3QpkbrYXtlU3LRJu3sTK6V,,Joy,77,Bastille,Joy,0.222,0.5589999999999999,192523,0.915,0.0,9,0.113,-4.811,1,0.132,117.914,0.361
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,0mjAU3yKR1QnXnHtjGJqTM,spotify:track:0mjAU3yKR1QnXnHtjGJqTM,,Rescue Me,85,OneRepublic,Rescue Me,0.156,0.759,158900,0.605,0.0,7,0.6940000000000001,-7.737,1,0.0433,121.04899999999999,0.64
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,4NSW0Km5ZG60L8FthUebPJ,spotify:track:4NSW0Km5ZG60L8FthUebPJ,,What I Like About You (feat. Theresa Rex),86,"Jonas Blue,Theresa Rex",What I Like About You (feat. Theresa Rex),0.289,0.46,220396,0.8,6.16e-06,1,0.121,-3.5839999999999996,1,0.05,102.46,0.5529999999999999
party,Weekend Vibes,1ZV5KQP9n81oexu6dOST7q,6TxyH9fi1yV4QMVw4cV4Nv,spotify:track:6TxyH9fi1yV4QMVw4cV4Nv,,Know You Better,8,FÄIS,Know You Better,0.142,0.8540000000000001,178144,0.586,2.77e-06,6,0.071,-5.162999999999999,1,0.1,97.97399999999999,0.779
