category_id,playlist_name,playlist_id,track_id,track_uri,track_preview_url,track_name,track_popularity,artist_name,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
sessions,The Complete Spotify Singles,37i9dQZF1DWTUm9HjVUKnL,4Zjy63iyu5vYQk8AwDyxmI,spotify:track:4Zjy63iyu5vYQk8AwDyxmI,,Out Of Love - Recorded at Spotify Studios NYC,57,Alessia Cara,Spotify Singles,0.784,0.467,232707,0.228,0.0,4,0.0868,-10.862,0,0.0393,118.02600000000001,0.275
sessions,The Complete Spotify Singles,37i9dQZF1DWTUm9HjVUKnL,2JtSnwYNKOphDrshYL8n4p,spotify:track:2JtSnwYNKOphDrshYL8n4p,,I'm Like A Bird - Recorded at Spotify Studios NYC,67,Alessia Cara,Spotify Singles,0.23800000000000002,0.524,219960,0.639,0.0,10,0.0598,-7.18,1,0.10300000000000001,87.99799999999999,0.5820000000000001
sessions,The Complete Spotify Singles,37i9dQZF1DWTUm9HjVUKnL,400bxfCPbRlojar8imqNIF,spotify:track:400bxfCPbRlojar8imqNIF,https://p.scdn.co/mp3-preview/e3a17562240102899c1121934d5a2107e65a4074?cid=63a77ff40e794a12ae216a18befde98c,Vil Du - Recorded At Spotify Studios Stockholm,60,NODE,Spotify Singles,0.0755,0.593,165168,0.44799999999999995,0.0,6,0.09300000000000001,-10.388,0,0.0945,145.07299999999998,0.467
sessions,The Complete Spotify Singles,37i9dQZF1DWTUm9HjVUKnL,6eXTECbiawTve7VP1vEDcs,spotify:track:6eXTECbiawTve7VP1vEDcs,https://p.scdn.co/mp3-preview/2056cf6ba50ccfb5711093670181fff23ac788ec?cid=63a77ff40e794a12ae216a18befde98c,Walking Away - Recorded At Spotify Studios Stockholm,46,NODE,Spotify Singles,0.0349,0.623,201552,0.5760000000000001,0.0,6,0.0606,-9.892000000000001,0,0.0413,86.001,0.727
sessions,The Complete Spotify Singles,37i9dQZF1DWTUm9HjVUKnL,22Q710MZe6lV8NGyA0DsLS,spotify:track:22Q710MZe6lV8NGyA0DsLS,,Adult Swim - Recorded At Spotify Studios NYC,47,Jon Bellion,Spotify Singles,0.272,0.674,431671,0.647,7.57e-06,5,0.17300000000000001,-9.692,0,0.36200000000000004,93.751,0.568
sessions,The Complete Spotify Singles,37i9dQZF1DWTUm9HjVUKnL,6DvsjPkNcB4QoezDPtxsAB,spotify:track:6DvsjPkNcB4QoezDPtxsAB,,Heart Is Full - Recorded At Spotify Studios NYC,57,Jon Bellion,Spotify Singles,0.6940000000000001,0.6,218089,0.35,0.0,5,0.115,-8.974,0,0.0565,88.08,0.53
sessions,The Complete Spotify Singles,37i9dQZF1DWTUm9HjVUKnL,29g4GrixF3dLKhiBiyDXS5,spotify:track:29g4GrixF3dLKhiBiyDXS5,https://p.scdn.co/mp3-preview/b4bf67a6b8f534a710cace9e450135b35596fc79?cid=63a77ff40e794a12ae216a18befde98c,Loading Zones - Recorded at Spotify Studios NYC,46,Kurt Vile,Spotify Singles,0.46,0.513,164978,0.43799999999999994,1.74e-05,4,0.12,-11.436,0,0.0304,113.346,0.521
sessions,The Complete Spotify Singles,37i9dQZF1DWTUm9HjVUKnL,6M6YuShdXjMl7z3qLt46Zx,spotify:track:6M6YuShdXjMl7z3qLt46Zx,https://p.scdn.co/mp3-preview/d2f7e7a018f431509aa89761f04f5a95da75e753?cid=63a77ff40e794a12ae216a18befde98c,No Expectations - Recorded at Spotify Studios NYC,51,Kurt Vile,Spotify Singles,0.242,0.6509999999999999,252819,0.315,0.000281,9,0.171,-13.395999999999999,1,0.026000000000000002,91.65100000000001,0.193
sessions,The Complete Spotify Singles,37i9dQZF1DWTUm9HjVUKnL,04RaThB20KTtI8wwXASw3L,spotify:track:04RaThB20KTtI8wwXASw3L,https://p.scdn.co/mp3-preview/9c952c82c5c615bc3898cc48074858d090173328?cid=63a77ff40e794a12ae216a18befde98c,Only Want You - Recorded at Spotify Studios NYC,59,Rita Ora,Spotify Singles,0.775,0.473,142177,0.359,0.0,10,0.0997,-6.126,0,0.0537,82.37,0.733
sessions,The Complete Spotify Singles,37i9dQZF1DWTUm9HjVUKnL,0e3ujCTfBtvX8HdQrEUBd9,spotify:track:0e3ujCTfBtvX8HdQrEUBd9,https://p.scdn.co/mp3-preview/d839b355e044e89dabbc149628b1eddb8e3835f4?cid=63a77ff40e794a12ae216a18befde98c,Big Yellow Taxi - Recorded at Spotify Studios NYC,56,Rita Ora,Spotify Singles,0.821,0.535,149063,0.282,0.0,3,0.0968,-8.318999999999999,1,0.21100000000000002,166.078,0.863
