category_id,playlist_name,playlist_id,track_id,track_uri,track_preview_url,track_name,track_popularity,artist_name,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
travel,Indie Roadtrip,37i9dQZF1DWSQScAbo5nGF,4CY2KTkH9kh1Nw4wDL9xR5,spotify:track:4CY2KTkH9kh1Nw4wDL9xR5,,Do It Like You Do,46,KAWALA,D.I.L.Y.D.,0.24100000000000002,0.653,199275,0.893,0.000778,8,0.159,-7.654,0,0.0562,123.994,0.696
travel,Indie Roadtrip,37i9dQZF1DWSQScAbo5nGF,5pVbLYTdihSKd8Kylfhwa7,spotify:track:5pVbLYTdihSKd8Kylfhwa7,,There's A Reason Why (I Never Returned Your Calls),62,Blossoms,Cool Like You (Deluxe),0.0166,0.493,222489,0.882,2.97e-06,11,0.188,-5.37,1,0.046,123.985,0.685
travel,Indie Roadtrip,37i9dQZF1DWSQScAbo5nGF,6HJcuxVgYjxcYDnPG0ystc,spotify:track:6HJcuxVgYjxcYDnPG0ystc,,Hunger,59,Florence + The Machine,Hunger,0.53,0.7290000000000001,214667,0.675,0.0,2,0.0985,-5.62,0,0.0415,116.016,0.332
travel,Indie Roadtrip,37i9dQZF1DWSQScAbo5nGF,4iDjOjnCQesGTNUCsPgMLh,spotify:track:4iDjOjnCQesGTNUCsPgMLh,https://p.scdn.co/mp3-preview/a9745d33258f6e9af9f764292337843c13c08e57?cid=63a77ff40e794a12ae216a18befde98c,Not Nineteen Forever - Re:Wired,41,Courteeners,St. Jude Re:Wired,0.7879999999999999,0.503,242786,0.39399999999999996,0.00195,9,0.0963,-9.623,1,0.0288,114.025,0.271
travel,Indie Roadtrip,37i9dQZF1DWSQScAbo5nGF,657eXEUmkrKFiZ5IUqO4Y0,spotify:track:657eXEUmkrKFiZ5IUqO4Y0,,running on empty,50,isaac gracie,isaac gracie (extended edition),0.0522,0.48700000000000004,186973,0.794,0.0,5,0.174,-5.131,1,0.0381,134.305,0.525
travel,Indie Roadtrip,37i9dQZF1DWSQScAbo5nGF,5mLTKuS2yHKBgxvm4Jn27a,spotify:track:5mLTKuS2yHKBgxvm4Jn27a,https://p.scdn.co/mp3-preview/46c82859319f3c6f836366c91a29a64d02724abe?cid=63a77ff40e794a12ae216a18befde98c,Calm,54,Vistas,Calm,0.0109,0.518,208761,0.835,0.000192,0,0.098,-4.1419999999999995,1,0.0389,156.343,0.838
travel,Indie Roadtrip,37i9dQZF1DWSQScAbo5nGF,22OYLngvFWsKsAbJp8TO3H,spotify:track:22OYLngvFWsKsAbJp8TO3H,,Sometimes,20,Gerry Cinnamon,Erratic Cinematic,0.0197,0.639,196600,0.6990000000000001,0.0,9,0.0726,-6.736000000000001,1,0.0303,150.007,0.96
travel,Indie Roadtrip,37i9dQZF1DWSQScAbo5nGF,4Gw1SXoN1MlAmdM3J1NjmR,spotify:track:4Gw1SXoN1MlAmdM3J1NjmR,https://p.scdn.co/mp3-preview/2a971d278f1eaedc4e08022f471180b05c7ecb9d?cid=63a77ff40e794a12ae216a18befde98c,Found What I've Been Looking For,64,Tom Grennan,Lighting Matches (Deluxe),0.0354,0.623,191933,0.8290000000000001,0.0,3,0.0762,-4.613,0,0.0286,107.06700000000001,0.779
travel,Indie Roadtrip,37i9dQZF1DWSQScAbo5nGF,16nIdWPjwoNTkADzm6nwBb,spotify:track:16nIdWPjwoNTkADzm6nwBb,,I Can't Stand It,59,Blossoms,Cool Like You (Deluxe),0.00778,0.557,177656,0.836,0.0,9,0.0624,-5.479,1,0.0735,150.028,0.915
travel,Indie Roadtrip,37i9dQZF1DWSQScAbo5nGF,0kaSpCetLShpy5h46lzVob,spotify:track:0kaSpCetLShpy5h46lzVob,,show me love,52,isaac gracie,isaac gracie (extended edition),0.00785,0.511,197133,0.721,8.85e-05,6,0.271,-6.0,1,0.0303,81.525,0.32899999999999996
