category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
afro,Best Of Flavour,Flavour,Afro Party Anthems!,1noPA8QfOmSEurS2PekBsp,Nwa Baby (Ashawo Remix),spotify:track:1noPA8QfOmSEurS2PekBsp,262347,50,0.121,0.767,0.973,0.9590000000000001,100.625,0.373,1,1,0.113,0.07400000000000001,0.0743
afro,Gongo Aso,9ice,Afro Party Anthems!,5JEw4FrNlWmHxgBkw0jbEj,Gongo Aso,spotify:track:5JEw4FrNlWmHxgBkw0jbEj,224307,42,0.245,0.8240000000000001,0.965,0.902,110.03,9.84e-05,4,1,0.0983,-2.742,0.0409
afro,"Soco (feat. Wizkid, Ceeza Milli, Spotless & Terri)","Starboy,WizKid,Ceeza Milli,Spotless,Terri",Afro Party Anthems!,1KpBtWSI9dlv0RjtzvF1BD,"Soco (feat. Wizkid, Ceeza Milli, Spotless & Terri)",spotify:track:1KpBtWSI9dlv0RjtzvF1BD,255608,68,0.594,0.841,0.644,0.8809999999999999,108.00299999999999,0.00402,9,0,0.142,-3.284,0.083
afro,Iskaba,"Wande Coal,DJ Tunez",Afro Party Anthems!,1qNz5rynw3I9LU8uQRETsO,Iskaba,spotify:track:1qNz5rynw3I9LU8uQRETsO,224680,61,0.0794,0.8140000000000001,0.764,0.899,125.02600000000001,0.0174,0,0,0.0696,-7.944,0.053
afro,Turn It Up,X Project,Afro Party Anthems!,5fpoDuxvBBNy69mgzIMMrI,Lori Le,spotify:track:5fpoDuxvBBNy69mgzIMMrI,243017,35,0.00907,0.8009999999999999,0.8190000000000001,0.893,140.009,1.32e-05,11,0,0.0652,-4.66,0.107
afro,"Nigeria Gold, Vol. 7",Yemi Alade,Afro Party Anthems!,7dr9gDHQ4rsLLUWy0pzVpR,Johnny,spotify:track:7dr9gDHQ4rsLLUWy0pzVpR,234720,3,0.11,0.7809999999999999,0.868,0.787,125.14299999999999,2.6899999999999997e-05,8,1,0.0522,-2.775,0.27699999999999997
afro,Gqom Is the Future,"Distruction Boyz,Benny Maverick,Dladla Mshunqisi",Afro Party Anthems!,0cI6D4xalZBLOMRs4Huuag,Omunye,spotify:track:0cI6D4xalZBLOMRs4Huuag,320000,49,0.00644,0.9390000000000001,0.873,0.614,126.042,0.17,11,0,0.0892,-5.263999999999999,0.0605
afro,This Is Me,Niniola,Afro Party Anthems!,0y7JsPpdF6D75aHOZK998j,Maradona,spotify:track:0y7JsPpdF6D75aHOZK998j,191192,48,0.0411,0.9129999999999999,0.642,0.797,117.943,0.0451,0,1,0.106,-6.541,0.0584
afro,Highlife Time Vol. 2,Prince Nico Mbarga & Rocafil Jazz International,Afro Party Anthems!,4n2UrVNTtPaKHt9h6SQwr6,Sweet Mother,spotify:track:4n2UrVNTtPaKHt9h6SQwr6,594520,37,0.604,0.713,0.9009999999999999,0.894,125.65,0.00409,5,1,0.26,-6.805,0.0648
afro,E Dide [Get Up],King Sunny Ade,Afro Party Anthems!,5yoFAQnNB3MzKRMYwvUxYF,Dance Dance Dance,spotify:track:5yoFAQnNB3MzKRMYwvUxYF,238200,34,0.41200000000000003,0.897,0.512,0.903,123.861,0.0666,7,1,0.0872,-12.913,0.12300000000000001
