category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
blues,I'm Glad Trouble Don't Last Always,Luke Winslow-King,Blues & Roots Rock,3b9xTm2eiaCRTGqUEWuzxc,I'm Glad Trouble Don't Last Always,spotify:track:3b9xTm2eiaCRTGqUEWuzxc,257587,51,0.000545,0.579,0.522,0.28600000000000003,81.969,0.00811,2,1,0.0914,-7.124,0.0232
blues,Thousand Mile Night - Single,Jonah Tolchin,Blues & Roots Rock,5yeM63cXgGvSN2VrcHbv6x,Thousand Mile Night,spotify:track:5yeM63cXgGvSN2VrcHbv6x,235173,51,0.228,0.584,0.35,0.498,140.65200000000002,0.0719,2,1,0.0944,-13.942,0.0471
blues,Troublemaker,Devon Gilfillian,Blues & Roots Rock,1XDLcR3ykWZx7p0UmMoLKp,Troublemaker,spotify:track:1XDLcR3ykWZx7p0UmMoLKp,212016,55,0.00155,0.555,0.927,0.848,156.031,0.0288,0,0,0.209,-4.167,0.0708
blues,Fire,Fruition,Blues & Roots Rock,3u74mqUGokRUze14qa3gY2,Fire,spotify:track:3u74mqUGokRUze14qa3gY2,216085,47,0.12,0.47200000000000003,0.813,0.684,134.922,0.000109,9,0,0.382,-5.919,0.0399
blues,No Good,"KALEO,Vinyl on HBO",Blues & Roots Rock,5Xx8krVxg1pRy6CXieB7FS,No Good,spotify:track:5Xx8krVxg1pRy6CXieB7FS,234240,67,0.0234,0.37799999999999995,0.925,0.584,108.525,0.00062,9,1,0.18,-3.781,0.185
blues,Dying Star,The Suitcase Junket,Blues & Roots Rock,4z0wfXLJT9YMplnRBzs2Rv,On Our Own,spotify:track:4z0wfXLJT9YMplnRBzs2Rv,161320,6,0.35100000000000003,0.509,0.504,0.327,104.755,0.15,1,1,0.31,-6.789,0.0267
blues,Ashkelon,Rayland Baxter,Blues & Roots Rock,3lwBgpUnYL2pnPGRlWEkd9,Bad Things,spotify:track:3lwBgpUnYL2pnPGRlWEkd9,313868,57,0.38299999999999995,0.318,0.586,0.21100000000000002,80.806,0.0,2,0,0.145,-7.606,0.0375
blues,Tyler Childers | OurVinyl Sessions,Tyler Childers,Blues & Roots Rock,55KHk8PhJC3HIpT3mA2smL,White House Road - OurVinyl Sessions,spotify:track:55KHk8PhJC3HIpT3mA2smL,268000,7,0.479,0.406,0.41,0.368,79.93,0.0,0,1,0.0875,-8.65,0.0396
blues,Keep It Close,Bones Owens,Blues & Roots Rock,6Mxb9ZguHzhND7GiTkWJiu,Keep It Close,spotify:track:6Mxb9ZguHzhND7GiTkWJiu,220819,12,0.0394,0.41,0.684,0.636,80.137,0.00112,11,1,0.13699999999999998,-5.391,0.032
blues,Bottle Rocket,The Weeks,Blues & Roots Rock,7wypArbDkWBJOnBWhwYR4I,Bottle Rocket,spotify:track:7wypArbDkWBJOnBWhwYR4I,268467,44,0.0286,0.679,0.634,0.642,92.046,0.0,9,1,0.0605,-3.305,0.0522
blues,It Came to Me,The Barr Brothers,Blues & Roots Rock,1wSTaoEcGPZy9osC25kn0m,It Came to Me,spotify:track:1wSTaoEcGPZy9osC25kn0m,261987,45,0.285,0.516,0.9309999999999999,0.578,117.09700000000001,0.013000000000000001,10,1,0.33299999999999996,-6.291,0.0388
blues,The Very Last Day,Parker Millsap,Blues & Roots Rock,2Yf3wwS48rkAoBRXNJ34kz,Hades Pleads,spotify:track:2Yf3wwS48rkAoBRXNJ34kz,156107,50,0.0245,0.568,0.632,0.711,164.82299999999998,0.000246,9,1,0.401,-6.957999999999999,0.161
blues,Big Bad Luv,John Moreland,Blues & Roots Rock,7Blrv4fr8DwRcytz8qrvtW,Sallisaw Blue,spotify:track:7Blrv4fr8DwRcytz8qrvtW,237373,49,0.11199999999999999,0.395,0.866,0.836,150.77,9.85e-06,7,1,0.11199999999999999,-7.047000000000001,0.0691
blues,I Know,Shovels & Rope,Blues & Roots Rock,0HeNDXMTdBDS9eWQkhENJ2,I Know,spotify:track:0HeNDXMTdBDS9eWQkhENJ2,218778,51,0.115,0.545,0.9079999999999999,0.391,120.155,0.0,0,1,0.0877,-6.547999999999999,0.0512
blues,Uh Huh,Jade Bird,Blues & Roots Rock,6UQkKezR70jMXymMJgRcOz,Uh Huh,spotify:track:6UQkKezR70jMXymMJgRcOz,142444,53,0.0188,0.584,0.81,0.57,119.859,0.0,11,1,0.313,-3.092,0.0406
blues,Indestructible,Welshly Arms,Blues & Roots Rock,3vCj0QDwcJBJoCteRG1kfh,Indestructible,spotify:track:3vCj0QDwcJBJoCteRG1kfh,225001,12,0.0409,0.672,0.596,0.789,175.924,1.46e-06,2,0,0.0762,-6.3229999999999995,0.0352
blues,LUCKY PENNY,JD McPherson,Blues & Roots Rock,4qHSciBVrNNpUlI8TT9CHQ,LUCKY PENNY,spotify:track:4qHSciBVrNNpUlI8TT9CHQ,214267,57,0.0664,0.698,0.736,0.8220000000000001,127.979,2.1600000000000003e-05,2,1,0.11900000000000001,-5.525,0.0481
