,category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
0,chill,The Jester,Yorick van Norden,Indie Blend,4ZIo7OVsaud56REpcTKpnr,Love's Taking Over,spotify:track:4ZIo7OVsaud56REpcTKpnr,234745,19,0.134,0.34600000000000003,0.8009999999999999,0.882,201.827,0.0142,8,1,0.208,-4.972,0.0365
1,chill,Brothers of Destruction,The Lemon Twigs,Indie Blend,6MyH5oWoWAH1Ky8QN9AuzN,Why Didn't You Say That?,spotify:track:6MyH5oWoWAH1Ky8QN9AuzN,198493,33,0.237,0.6459999999999999,0.733,0.685,111.436,0.000314,10,1,0.344,-3.017,0.0312
2,chill,How Can You Know / No One Knows,Douglas Firs,Indie Blend,3CGjkI6kX6QsduZXZ5kpMJ,How Can You Know,spotify:track:3CGjkI6kX6QsduZXZ5kpMJ,265700,5,0.445,0.562,0.3720000000000001,0.276,63.142,0.195,0,1,0.101,-8.765,0.0262
3,chill,b'lieve i'm goin down...,Kurt Vile,Indie Blend,3l9eg9RtisizG12a1D6nZl,Pretty Pimpin,spotify:track:3l9eg9RtisizG12a1D6nZl,298760,67,0.0928,0.5660000000000001,0.664,0.764,91.117,0.305,8,1,0.0903,-9.081,0.0281
4,chill,Free,Simon Keats,Indie Blend,6IzwsalQ7ViUIPXQlaMfOP,Free,spotify:track:6IzwsalQ7ViUIPXQlaMfOP,200202,13,0.7809999999999999,0.679,0.239,0.327,97.982,0.253,2,1,0.108,-14.524,0.0279
5,chill,Dusk,Ultimate Painting,Indie Blend,6IeZM7e4xgOZtpinah0e4K,"Monday Morning, Somewhere Central",spotify:track:6IeZM7e4xgOZtpinah0e4K,173476,40,0.428,0.7809999999999999,0.393,0.557,113.773,0.0,7,1,0.11,-10.203,0.0429
6,chill,Lost For A Day,Robin Kester,Indie Blend,73nmLZM1tCaf89wuk6VboV,Lost For A Day,spotify:track:73nmLZM1tCaf89wuk6VboV,188608,5,0.244,0.415,0.536,0.124,107.007,0.007659999999999998,8,0,0.28300000000000003,-10.453,0.0298
7,chill,The Open Road,Bent Van Looy,Indie Blend,5KBO9GW9B1g21BVgHyOcmL,The Open Road,spotify:track:5KBO9GW9B1g21BVgHyOcmL,299741,25,0.416,0.5379999999999999,0.765,0.888,173.03799999999995,0.8059999999999999,0,1,0.122,-9.107,0.0323
8,chill,Road To Rouen,Supergrass,Indie Blend,5lzLhFRsmQ7oOgbMOnbMmb,St. Petersburg,spotify:track:5lzLhFRsmQ7oOgbMOnbMmb,189547,45,0.404,0.483,0.602,0.462,125.113,0.527,6,0,0.105,-8.571,0.0289
9,chill,Sweet Melodies,Tim Knol,Indie Blend,2TrfabYUWjPYZH72upIV8B,Sweet Melodies,spotify:track:2TrfabYUWjPYZH72upIV8B,202347,12,0.134,0.603,0.835,0.8170000000000001,117.13,0.0403,5,1,0.0785,-6.296,0.0295
10,chill,Morning Phase,Beck,Indie Blend,2uWwCU5X1TjJiiN6BbUaB8,Blue Moon,spotify:track:2uWwCU5X1TjJiiN6BbUaB8,242347,4,0.179,0.684,0.6579999999999999,0.496,119.939,0.00853,0,1,0.149,-6.72,0.0255
11,chill,In The Morning I’ll Be Better,Tennis,Indie Blend,3KZzmW3VxB0MgQ8DpC92RY,In The Morning I’ll Be Better,spotify:track:3KZzmW3VxB0MgQ8DpC92RY,213173,20,0.632,0.343,0.607,0.599,155.579,0.00808,0,1,0.0824,-5.048,0.0357
12,chill,Little Uneasy,Fazerdaze,Indie Blend,4yYEpawGBFf51LHZ3qwv0C,Little Uneasy,spotify:track:4yYEpawGBFf51LHZ3qwv0C,217124,0,0.0006580000000000001,0.667,0.703,0.48,120.001,0.28600000000000003,5,1,0.102,-8.237,0.0294
13,chill,Milkshakes Funnelcakes,AWKWARD i,Indie Blend,29qSrR4BD0ilalfOTueKGa,Milkshakes Funnelcakes,spotify:track:29qSrR4BD0ilalfOTueKGa,241133,4,0.556,0.539,0.547,0.328,139.384,0.004229999999999999,1,1,0.0992,-6.901,0.0294
14,chill,MOOON's Brew,MOOON,Indie Blend,2Q7WFFIcpxAq1dORojDY2t,Too Cool for Skool,spotify:track:2Q7WFFIcpxAq1dORojDY2t,292707,17,0.0223,0.438,0.583,0.265,115.582,0.00123,6,1,0.0843,-5.948,0.0289
15,chill,Oh My Love,Corniglia,Indie Blend,5z43E6XDg2J83mCMKsFJeG,Oh My Love,spotify:track:5z43E6XDg2J83mCMKsFJeG,197734,2,0.65,0.364,0.408,0.306,64.91199999999999,0.34,9,0,0.112,-7.994,0.0303
16,chill,Crooked Rain Crooked Rain,Pavement,Indie Blend,7BOw93TggSWAsHjZOiJojz,Range Life,spotify:track:7BOw93TggSWAsHjZOiJojz,294760,51,0.0389,0.556,0.726,0.721,112.803,1.86e-05,9,1,0.12,-9.408,0.0291
