,category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
0,classical,Sibelius: Snofrid / Cantata for the Coronation of Nicholas Ii / Rakastava,"Jean Sibelius,Lahti Symphony Orchestra,Osmo Vänskä",Jean Sibelius - Composer Weekly #005,35CTcDae67kOWOZQOOD2cF,"Andante Festivo, JS 34b, (revised version for strings and timpani)",spotify:track:35CTcDae67kOWOZQOOD2cF,338333,37,0.512,0.0908,0.201,0.0365,72.012,0.948,7,1,0.17,-17.868,0.0438
1,classical,Sibelius: The Tempest - The Bard - Tapiola,"Jean Sibelius,Lahti Symphony Orchestra,Okko Kamu",Jean Sibelius - Composer Weekly #005,4Q1jUe4aEXZ4SM6U2qwQCu,"The Tempest: Suite No. 2, Op. 109: III. Dance of the Nymphs",spotify:track:4Q1jUe4aEXZ4SM6U2qwQCu,122853,23,0.925,0.23,0.00634,0.0393,130.868,0.00518,0,1,0.119,-36.744,0.0425
2,classical,Sibelius: Complete Works for Mixed Choir,"Jean Sibelius,Estonian Philharmonic Chamber Choir,Heikki Seppanen",Jean Sibelius - Composer Weekly #005,1X1h5ujJhh9kystDHXPAkF,"6 Songs, Op. 18: No. 3, Venematka (The Journey by Boat)",spotify:track:1X1h5ujJhh9kystDHXPAkF,109520,21,0.995,0.319,0.073,0.506,94.415,0.000203,1,0,0.311,-22.436,0.0349
3,classical,The Sound of Sibelius,"Jean Sibelius,Lahti Symphony Orchestra,Osmo Vänskä",Jean Sibelius - Composer Weekly #005,3hHWhvw2hjwfngWcFjIzqr,"Finlandia, Op. 26",spotify:track:3hHWhvw2hjwfngWcFjIzqr,507973,38,0.933,0.181,0.188,0.041,74.637,0.887,8,1,0.0989,-19.208,0.0392
4,classical,"Sibelius: Complete Youth Production for Violin and Piano, Vol. 2","Jean Sibelius,Jaakko Kuusisto,Folke Gräsbeck",Jean Sibelius - Composer Weekly #005,259mbNWy2VQkFyjVsFbBBJ,"Suite in E Major, JS 188: II. Allegro molto",spotify:track:259mbNWy2VQkFyjVsFbBBJ,94440,20,0.966,0.333,0.149,0.0718,157.688,0.5760000000000001,9,0,0.198,-16.905,0.0477
5,classical,Sibelius: The Essential Orchestral Favourites,"Jean Sibelius,Helsingin Kaupunginorkesteri,Leif Segerstam",Jean Sibelius - Composer Weekly #005,4unfLdcaDvlDlRGQU9HqQ0,"Lemminkainen Suite, Op. 22: II. The Swan of Tuonela",spotify:track:4unfLdcaDvlDlRGQU9HqQ0,595093,21,0.816,0.0609,0.0237,0.0314,52.637,0.6779999999999999,9,0,0.0666,-31.826,0.0431
6,classical,Emerson String Quartet - The String Quartet Revealed,"Jean Sibelius,Emerson String Quartet",Jean Sibelius - Composer Weekly #005,0e6p3FyqrZpFiXCSIoG0zA,"String Quartet In D Minor, Op.56 ""Voces Intimae"": 5. Allegro",spotify:track:0e6p3FyqrZpFiXCSIoG0zA,318720,0,0.936,0.467,0.193,0.3720000000000001,116.298,0.921,5,1,0.0988,-23.299,0.041
7,classical,Boston Symphony Orchestra - Wagner and Sibelius,"Jean Sibelius,Boston Symphony Orchestra,Andris Nelsons",Jean Sibelius - Composer Weekly #005,133xymZ5YIarYNrsR1masb,"Symphony No. 2 in D, Op. 43: I. Allegretto",spotify:track:133xymZ5YIarYNrsR1masb,605293,20,0.957,0.229,0.1,0.0434,105.251,0.908,2,1,0.105,-23.158,0.0404
8,classical,"Sibelius, Khachaturian: Violin Concertos","Jean Sibelius,Sergey Khachatryan",Jean Sibelius - Composer Weekly #005,5JEJjKeiuFQl9gqy04ujGD,"Violin Concerto in D minor, Op. 47: Finale: Allegro ma non tanto",spotify:track:5JEJjKeiuFQl9gqy04ujGD,468253,0,0.778,0.353,0.16,0.211,110.043,0.07400000000000001,2,1,0.121,-24.025,0.0447
9,classical,Sibelius: Symphony No. 2 - Karelia Suite,"Jean Sibelius,New Zealand Symphony Orchestra,Pietari Inkinen",Jean Sibelius - Composer Weekly #005,5DILEbcC5yhAynnuSXM0oG,"Karelia Suite, Op. 11: III. Alla marcia: Moderato",spotify:track:5DILEbcC5yhAynnuSXM0oG,295120,23,0.945,0.458,0.2,0.101,78.058,0.88,9,1,0.151,-18.134,0.0378
