category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
country,Beautiful Crazy,Luke Combs,Chillin' on a Dirt Road,4Qx06Fzsepmdz2NGSWfZck,Beautiful Crazy,spotify:track:4Qx06Fzsepmdz2NGSWfZck,193200,21,0.6759999999999999,0.552,0.402,0.382,103.31299999999999,0.0,11,1,0.0928,-7.431,0.0262
country,Tequila,Dan + Shay,Chillin' on a Dirt Road,7Il2yWQmsqKgSkLQvHTPUI,Tequila,spotify:track:7Il2yWQmsqKgSkLQvHTPUI,195987,80,0.0292,0.474,0.594,0.503,86.131,0.0,11,1,0.133,-5.756,0.0289
country,Mitchell Tenpenny - EP,Mitchell Tenpenny,Chillin' on a Dirt Road,3N2AIfVOq6NiTcWHIP4Oco,Drunk Me,spotify:track:3N2AIfVOq6NiTcWHIP4Oco,213024,72,0.201,0.386,0.799,0.391,86.333,0.0,2,1,0.10300000000000001,-3.7889999999999997,0.0555
country,Florida Georgia Line,Florida Georgia Line,Chillin' on a Dirt Road,4kKgn11J60MHCrfS4AfbIm,Talk You Out Of It,spotify:track:4kKgn11J60MHCrfS4AfbIm,202920,23,0.596,0.652,0.7120000000000001,0.5529999999999999,120.06299999999999,0.0,4,1,0.0814,-4.588,0.0388
country,Eyes On You,Chase Rice,Chillin' on a Dirt Road,2u7Nm46dAujcAi5Rw79CJL,Eyes On You,spotify:track:2u7Nm46dAujcAi5Rw79CJL,182493,15,0.32299999999999995,0.606,0.652,0.47600000000000003,97.155,0.0,9,1,0.201,-6.982,0.0281
country,Jimmie Allen,Jimmie Allen,Chillin' on a Dirt Road,2ZYbPXhx4OCmdTsMThbSEW,Best Shot,spotify:track:2ZYbPXhx4OCmdTsMThbSEW,195053,29,0.75,0.629,0.46399999999999997,0.523,156.05100000000002,0.0,4,1,0.0853,-8.72,0.0334
country,Seasons Change,Scotty McCreery,Chillin' on a Dirt Road,34DFpyq5NJJ79GnGbbJH3p,This Is It,spotify:track:34DFpyq5NJJ79GnGbbJH3p,230973,76,0.254,0.557,0.511,0.602,156.042,0.0,8,1,0.099,-6.787999999999999,0.0291
country,Yours,Russell Dickerson,Chillin' on a Dirt Road,2oPCR02nduYVpj7CTfsA0d,Blue Tacoma,spotify:track:2oPCR02nduYVpj7CTfsA0d,212067,75,0.0183,0.455,0.897,0.728,160.139,0.0,9,1,0.174,-4.879,0.0403
country,Florida Georgia Line,Florida Georgia Line,Chillin' on a Dirt Road,4P92FrvmYQSAfOpp4cpFEi,Simple,spotify:track:4P92FrvmYQSAfOpp4cpFEi,185200,23,0.0848,0.375,0.889,0.8809999999999999,199.669,0.0,3,1,0.136,-3.7039999999999997,0.0991
country,If I Know Me,Morgan Wallen,Chillin' on a Dirt Road,3hcuw44nHQY18cmidrDadf,Whiskey Glasses,spotify:track:3hcuw44nHQY18cmidrDadf,234347,33,0.364,0.615,0.68,0.7020000000000001,149.99200000000002,1.75e-06,6,1,0.115,-4.582,0.0286
country,Good Girl,Dustin Lynch,Chillin' on a Dirt Road,5HnXcJJbNXQQ7tRlQ9VN1v,Good Girl,spotify:track:5HnXcJJbNXQQ7tRlQ9VN1v,189533,74,0.16,0.711,0.696,0.6940000000000001,80.512,0.0,7,1,0.17,-5.05,0.0871
country,Kane Brown (Deluxe Edition),Kane Brown,Chillin' on a Dirt Road,1HXy5I3HTWq8OvxCn0z7G7,Heaven,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,179507,80,0.263,0.677,0.556,0.521,80.009,0.0,9,1,0.105,-6.544,0.0306
country,Hallelujah Nights,LANCO,Chillin' on a Dirt Road,77a5Eu7lC3tG0Sukt2O91U,Born to Love You,spotify:track:77a5Eu7lC3tG0Sukt2O91U,230013,72,0.13,0.659,0.902,0.809,124.985,9.449999999999999e-05,7,1,0.0574,-6.192,0.0296
country,You Make It Easy,Jason Aldean,Chillin' on a Dirt Road,2ZxTjs4EdJl4Y9YByIiNoo,You Make It Easy,spotify:track:2ZxTjs4EdJl4Y9YByIiNoo,196800,74,0.14300000000000002,0.375,0.574,0.406,132.025,0.0,7,1,0.11,-5.305,0.0315
country,Home State,Jordan Davis,Chillin' on a Dirt Road,3dCZm5HrG0jIXAHfNkg2H0,Take It From Me,spotify:track:3dCZm5HrG0jIXAHfNkg2H0,174255,74,0.0267,0.5920000000000001,0.8909999999999999,0.674,99.98299999999999,0.0,10,1,0.35200000000000004,-3.1439999999999997,0.0512
country,This One's for You,Luke Combs,Chillin' on a Dirt Road,4gB7HrYHbJVJ5RFOjxmoq4,One Number Away,spotify:track:4gB7HrYHbJVJ5RFOjxmoq4,221800,78,0.00585,0.544,0.7809999999999999,0.527,144.075,0.0,6,0,0.191,-6.16,0.0311
country,Life Changes,Thomas Rhett,Chillin' on a Dirt Road,0OWZFobGSIW9GrSlQ9C5pc,Marry Me,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,205453,77,0.113,0.588,0.408,0.484,85.008,0.0,3,1,0.13,-8.662,0.0237
country,SLOWHEART,Kip Moore,Chillin' on a Dirt Road,6viHvc13l9A6Ua6xugpeX6,Last Shot,spotify:track:6viHvc13l9A6Ua6xugpeX6,228480,69,0.0020399999999999997,0.48700000000000004,0.8590000000000001,0.377,148.037,0.0,4,1,0.322,-4.4030000000000005,0.0488
country,The Difference,Tyler Rich,Chillin' on a Dirt Road,3hiInJVk1CpxELmEJiU0uP,The Difference,spotify:track:3hiInJVk1CpxELmEJiU0uP,187867,18,0.12,0.5379999999999999,0.764,0.6990000000000001,169.919,1.41e-06,9,1,0.111,-5.235,0.0556
country,Home State,Jordan Davis,Chillin' on a Dirt Road,4LiMQ6G9n84rDUBs9wtwz6,Singles You Up,spotify:track:4LiMQ6G9n84rDUBs9wtwz6,182667,74,0.0491,0.491,0.907,0.631,199.94299999999998,0.0,7,1,0.242,-3.594,0.0481
country,This One's for You,Luke Combs,Chillin' on a Dirt Road,1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,spotify:track:1mMLMZYXkMueg65jRRWG1l,240760,78,0.013000000000000001,0.551,0.8009999999999999,0.625,128.02700000000002,6.03e-06,6,1,0.265,-5.069,0.0303
country,Lose It,Kane Brown,Chillin' on a Dirt Road,6GBndDk0OEpDkmKoSBJyyK,Lose It,spotify:track:6GBndDk0OEpDkmKoSBJyyK,178733,74,0.0026100000000000003,0.5489999999999999,0.8690000000000001,0.433,91.988,1.77e-06,4,0,0.29,-4.905,0.0289
country,Happy Endings,Old Dominion,Chillin' on a Dirt Road,2A69wys3S9uiPSmn6UZWJn,Written in the Sand,spotify:track:2A69wys3S9uiPSmn6UZWJn,184080,75,0.593,0.725,0.43700000000000006,0.759,83.985,0.0,6,1,0.0842,-9.602,0.0575
country,Take Back Home Girl (Feat. Tori Kelly),"Chris Lane,Tori Kelly",Chillin' on a Dirt Road,2gVBXeTjwL0ZEh9gjsQjk0,Take Back Home Girl (Feat. Tori Kelly),spotify:track:2gVBXeTjwL0ZEh9gjsQjk0,211427,12,0.368,0.494,0.78,0.664,159.708,0.0,11,1,0.0921,-3.825,0.064
country,The Mountain,Dierks Bentley,Chillin' on a Dirt Road,3nBXOlFTADNvG9nkqy2O2W,"Woman, Amen",spotify:track:3nBXOlFTADNvG9nkqy2O2W,179827,69,0.000837,0.484,0.804,0.391,119.838,9.29e-06,5,1,0.17,-5.888999999999999,0.0912
country,California Sunrise,Jon Pardi,Chillin' on a Dirt Road,0bPnT6i9H1p8Vd85GS6Z7I,Night Shift,spotify:track:0bPnT6i9H1p8Vd85GS6Z7I,172253,76,0.113,0.628,0.757,0.727,96.016,0.0,7,1,0.263,-3.5610000000000004,0.0281
country,Come Back Road,Logan Mize,Chillin' on a Dirt Road,6IqUm14MgoKbwt6jdGBikH,Better Off Gone,spotify:track:6IqUm14MgoKbwt6jdGBikH,182084,75,0.11699999999999999,0.672,0.622,0.561,100.016,0.0,5,0,0.113,-7.421,0.17600000000000002
country,Yours,Russell Dickerson,Chillin' on a Dirt Road,4EpLU30bi1KNWkBTfgZkoK,Every Little Thing,spotify:track:4EpLU30bi1KNWkBTfgZkoK,190640,67,0.21600000000000003,0.638,0.8540000000000001,0.8590000000000001,93.869,0.0,1,1,0.0357,-4.664,0.11
