category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
dinner,The Old Gold Times Presents: Dean Martin - The Full Story,Dean Martin,The Perfect Italian Dinner,5qwgAYRiKuI1iTy8OpEMZS,Come Back To Sorrento,spotify:track:5qwgAYRiKuI1iTy8OpEMZS,193533,7,0.932,0.245,0.195,0.161,103.71,3.01e-05,9,0,0.11,-13.378,0.0329
dinner,Icon: Beniamino Gigli,"Eduardo di Capua,Beniamino Gigli,Orchestra Del Teatro Alla Scala, Milano,Dino Olivieri",The Perfect Italian Dinner,4ScX5jXkMn0hmIAFSjfqgC,Di Capua: O sole mio,spotify:track:4ScX5jXkMn0hmIAFSjfqgC,185467,39,0.991,0.314,0.193,0.203,89.103,0.0354,7,1,0.16,-13.549000000000001,0.0366
dinner,Joseph Calleja - The Maltese Tenor,"Giacomo Puccini,Joseph Calleja,L'Orchestre de la Suisse Romande,Marco Armiliato",The Perfect Italian Dinner,0QYuJVKPQneT12jVQZHEC1,"La Bohème / Act 1: ""Che gelida manina""",spotify:track:0QYuJVKPQneT12jVQZHEC1,285893,6,0.9840000000000001,0.207,0.289,0.0829,78.181,0.0445,8,1,0.33299999999999996,-12.027999999999999,0.0438
dinner,Italian Love Songs,Luigi Tenco,The Perfect Italian Dinner,59uvhw88myATQZ8iLXzfG4,"Vedrai, Vedrai",spotify:track:59uvhw88myATQZ8iLXzfG4,146451,35,0.9420000000000001,0.43200000000000005,0.14,0.395,85.713,8.68e-06,0,0,0.142,-11.013,0.0332
dinner,Colpevole,Nicola Arigliano,The Perfect Italian Dinner,5WSgOxD1Q57PK60m3UHdqD,Maramao Perchè Sei Morto,spotify:track:5WSgOxD1Q57PK60m3UHdqD,129267,41,0.857,0.691,0.419,0.611,76.438,3.44e-06,7,1,0.151,-9.466000000000001,0.0656
dinner,Gianni Morandi - I Miti,Gianni Morandi,The Perfect Italian Dinner,1wCTjYovQmig0V7M7eCHmF,Scende la pioggia,spotify:track:1wCTjYovQmig0V7M7eCHmF,149000,4,0.28600000000000003,0.561,0.53,0.77,124.59200000000001,0.0,4,1,0.19699999999999998,-10.454,0.0377
dinner,"Rarity Music Pop, Vol. 300 (Giorgio Gaslini presenta Alberto Rabagliati)",Alberto Rabagliati,The Perfect Italian Dinner,33dcDLgUPZr3jvUuYMxANH,Ma l'amore no,spotify:track:33dcDLgUPZr3jvUuYMxANH,237360,36,0.985,0.44799999999999995,0.222,0.34299999999999997,86.60799999999999,0.006229999999999999,8,1,0.152,-13.19,0.0422
dinner,"Italian Dinner Music, Italian Restaurant Music, Background Music",Italian Restaurant Music of Italy,The Perfect Italian Dinner,69F0mMolEXdQ2ZIyGTa5E5,Italian Tango,spotify:track:69F0mMolEXdQ2ZIyGTa5E5,109413,36,0.993,0.612,0.0606,0.397,98.331,0.92,9,1,0.109,-18.831,0.06
dinner,I Grandi Successi Di Carlo Buti,Carlo Buti,The Perfect Italian Dinner,0MogfNLtVRGrw4CSACXc7o,Primo Amore,spotify:track:0MogfNLtVRGrw4CSACXc7o,222267,36,0.995,0.368,0.0631,0.281,129.945,0.00435,7,0,0.0912,-17.852999999999998,0.0455
dinner,Luciano Pavarotti - The Best,"Giacomo Puccini,Luciano Pavarotti,National Philharmonic Orchestra,Nicola Rescigno",The Perfect Italian Dinner,2S6LqSs4X6HdZzKFcVFfk8,"Tosca / Act 1: ""Recondita armonia"" - Extract",spotify:track:2S6LqSs4X6HdZzKFcVFfk8,179200,4,0.95,0.162,0.239,0.114,171.169,0.0022,5,1,0.153,-15.062000000000001,0.0406
dinner,The Decca Sound - Highlights,"Giacomo Puccini,Luciano Pavarotti,London Philharmonic Orchestra,Zubin Mehta",The Perfect Italian Dinner,3HuXqjbQQJhvgQIRTraSbk,Turandot / Act 1: Non piangere Liù,spotify:track:3HuXqjbQQJhvgQIRTraSbk,138787,3,0.985,0.225,0.275,0.18899999999999997,103.971,1.31e-05,3,0,0.10400000000000001,-14.94,0.0398
dinner,"Rossini: Complete Overtures, Vol. 2","Gioachino Rossini,Prague Sinfonia,Christian Benda",The Perfect Italian Dinner,3QaPlDueCFnbJdPCeK0RbM,Guillaume Tell: Guillaume Tell: Overture,spotify:track:3QaPlDueCFnbJdPCeK0RbM,695107,42,0.8959999999999999,0.278,0.136,0.09300000000000001,103.339,0.6709999999999999,4,1,0.209,-18.548,0.0446
dinner,100 Italian Classics,The Mandolins of Genny Esposito,The Perfect Italian Dinner,39DXBh6CC8UtwMtM6HT0s1,Funiculi Funicula,spotify:track:39DXBh6CC8UtwMtM6HT0s1,152707,33,0.836,0.5770000000000001,0.415,0.616,133.856,0.8270000000000001,0,1,0.22699999999999998,-14.159,0.0295
dinner,"Italian Dinner Music, Italian Restaurant Music, Background Music",Italian Restaurant Music of Italy,The Perfect Italian Dinner,4Yol2IpHZeI4XnEtWDFk1l,Carcassi,spotify:track:4Yol2IpHZeI4XnEtWDFk1l,77120,32,0.914,0.5720000000000001,0.201,0.475,79.844,0.852,0,1,0.0987,-12.862,0.0808
dinner,Lo Mejor de Andrea Bocelli - 'Vivere',"Andrea Bocelli,Marta Sánchez",The Perfect Italian Dinner,3pYhv1uDUNA6pY2SRXFyvP,Vivo Por Ella (Vivo Per Lei) - Italian - Spanish Version With Marta Sanchez,spotify:track:3pYhv1uDUNA6pY2SRXFyvP,263787,0,0.795,0.424,0.43799999999999994,0.315,136.279,0.0,2,1,0.237,-6.122999999999999,0.0295
dinner,"Italian Dinner Music, Italian Restaurant Music, Background Music",Italian Restaurant Music of Italy,The Perfect Italian Dinner,7JYnCvDuWRsa5OaMms6ARL,Italian Favorites,spotify:track:7JYnCvDuWRsa5OaMms6ARL,90453,33,0.977,0.59,0.14800000000000002,0.261,100.62,0.883,0,1,0.111,-10.696,0.0826
dinner,Puccini: Madama Butterfly,"Giacomo Puccini,Hans Helm,Michel Sénéchal,Mirella Freni,Luciano Pavarotti,Robert Kerns,Siegfried Rudolf Frese,Wiener Philharmoniker,Herbert von Karajan",The Perfect Italian Dinner,1ixFklfbJH3jOLgjGEbjIa,Madama Butterfly / Act 1: Tutti zitti!,spotify:track:1ixFklfbJH3jOLgjGEbjIa,192308,32,0.9359999999999999,0.324,0.111,0.135,63.033,0.0148,0,1,0.635,-21.177,0.0453
dinner,100 Italian Classics,Flo Sandon,The Perfect Italian Dinner,25qAQlaco7BOoIRKL1FLvm,Verde's Luna,spotify:track:25qAQlaco7BOoIRKL1FLvm,198440,31,0.922,0.305,0.312,0.304,108.555,0.0,3,0,0.136,-9.552,0.0338
dinner,Ballet Music,"Giuseppe Verdi,Berliner Philharmoniker,Herbert von Karajan",The Perfect Italian Dinner,7sZ8CUCDbpV9JY0hugfnJr,Aida: Ballet,spotify:track:7sZ8CUCDbpV9JY0hugfnJr,262640,36,0.914,0.324,0.262,0.252,151.356,0.865,1,1,0.10300000000000001,-20.19,0.0422
dinner,Respighi: The Fountains of Rome; The Pines of Rome; Ancient Airs and Dances - Suite III / Boccherini: Quintettino / Albinoni: Adagio in G Minor,"Tomaso Albinoni,Wolfgang Meyer,Berliner Philharmoniker,Herbert von Karajan",The Perfect Italian Dinner,3gzBXcpR9ZlHlUBMwAHryU,Adagio For Strings And Organ In G Minor,spotify:track:3gzBXcpR9ZlHlUBMwAHryU,607666,41,0.86,0.0736,0.0775,0.0371,78.928,0.745,0,0,0.16,-23.085,0.0369
dinner,My First Record,"Giacomo Puccini,Mario del Monaco",The Perfect Italian Dinner,5XhfDUFVTS0oQomseWwMsv,Manon Lescaut: Donna Non Vidi Mai,spotify:track:5XhfDUFVTS0oQomseWwMsv,175667,2,0.987,0.209,0.337,0.237,84.038,0.726,10,1,0.083,-9.017999999999999,0.0354
dinner,Marino Marini,Marino Marini,The Perfect Italian Dinner,5j4uMpSyOyEt7XhuiqgbRb,Pezzettini Di Bikini,spotify:track:5j4uMpSyOyEt7XhuiqgbRb,125187,31,0.611,0.804,0.742,0.965,122.9,0.0,2,1,0.0502,-5.516,0.0397
dinner,Le canzoni dei ricordi - non dimenticar…,Maura Mauri,The Perfect Italian Dinner,43zi0lKhaxk9xQbAHLxrmO,"Amado mio (from ""Gilda"")",spotify:track:43zi0lKhaxk9xQbAHLxrmO,180693,30,0.9940000000000001,0.38,0.235,0.595,139.388,0.115,10,0,0.142,-14.345,0.0447
