category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
hiphop,Harverd Dropout,"Lil Pump,Lil Wayne",Hiphop Vandaag,6flur5o18COKeafnjLHRiJ,Be Like Me (feat. Lil Wayne),spotify:track:6flur5o18COKeafnjLHRiJ,240000,81,0.00335,0.948,0.396,0.593,104.006,0.0,5,0,0.192,-8.08,0.17300000000000001
hiphop,Championships,"Meek Mill,Drake",Hiphop Vandaag,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),spotify:track:2IRZnDFmlqMuOrYOLnZZyc,180522,95,0.259,0.889,0.496,0.544,86.00299999999999,0.0,4,0,0.252,-6.365,0.0905
hiphop,Hoodie SZN,"A Boogie Wit da Hoodie,6ix9ine",Hiphop Vandaag,1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),spotify:track:1wJRveJZLSb1rjhnUHQiv6,189487,91,0.0153,0.581,0.662,0.434,93.023,0.0,9,1,0.111,-5.239,0.303
hiphop,Project Dreams,"Marshmello,Roddy Ricch",Hiphop Vandaag,6GSkLS2y4ZnnZsuRAj975K,Project Dreams,spotify:track:6GSkLS2y4ZnnZsuRAj975K,167898,83,0.409,0.78,0.828,0.7859999999999999,160.113,0.0,8,1,0.10400000000000001,-2.235,0.237
hiphop,Pimpin Ain't Eazy,Kodak Black,Hiphop Vandaag,5FxKZ4IajYIRDjAWAboiB4,Pimpin Ain't Eazy,spotify:track:5FxKZ4IajYIRDjAWAboiB4,177000,74,0.311,0.644,0.501,0.17300000000000001,129.828,0.0,0,1,0.106,-8.959,0.49200000000000005
hiphop,Look Back At It,A Boogie Wit da Hoodie,Hiphop Vandaag,3J5YrOvX2A0EA0j4BARQ9o,Look Back At It,spotify:track:3J5YrOvX2A0EA0j4BARQ9o,179449,84,0.40700000000000003,0.7909999999999999,0.5870000000000001,0.536,96.057,0.0,3,0,0.14800000000000002,-5.075,0.0413
hiphop,Death Race For Love,Juice WRLD,Hiphop Vandaag,6eiztdXRkooWsBt2xToMWI,Make Believe,spotify:track:6eiztdXRkooWsBt2xToMWI,142026,74,0.129,0.722,0.848,0.708,84.04,0.0,7,0,0.128,-4.247,0.0601
hiphop,AJ Tracey,AJ Tracey,Hiphop Vandaag,1cMc8Tu8GdDJopwFFc4Msp,Doing It,spotify:track:1cMc8Tu8GdDJopwFFc4Msp,183044,60,0.0598,0.7709999999999999,0.772,0.359,140.05,1.18e-06,2,1,0.0767,-7.104,0.275
hiphop,Drip or Drown 2,"Gunna,Playboi Carti",Hiphop Vandaag,1q9jq5X5vwmewjOa2mHtQ1,Same Yung Nigga (feat. Playboi Carti),spotify:track:1q9jq5X5vwmewjOa2mHtQ1,180935,77,0.183,0.852,0.568,0.504,81.52600000000001,0.0,1,0,0.0993,-9.202,0.344
hiphop,Federal Pressure (feat. Moneybagg Yo),"Kevin Gates,Moneybagg Yo",Hiphop Vandaag,73qvKxjIenqo9i0Z52I7Jc,Federal Pressure (feat. Moneybagg Yo),spotify:track:73qvKxjIenqo9i0Z52I7Jc,171494,66,0.0285,0.715,0.652,0.612,139.945,0.0,10,0,0.106,-7.016,0.27399999999999997
