category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
chill,Red Planet,Bolbbalgan4,Dalkom Cafe,4rPjTIrBYoKxAHmvUWAnzL,Galaxy,spotify:track:4rPjTIrBYoKxAHmvUWAnzL,213853,39,0.6809999999999999,0.606,0.815,0.7070000000000001,166.024,0.0,0,1,0.0919,-2.407,0.132
chill,ZZZ,"Zion.T,SEULGI",Dalkom Cafe,4vh0x47AvwbCywPOlEmfFQ,Hello Tutorial,spotify:track:4vh0x47AvwbCywPOlEmfFQ,202343,61,0.675,0.7390000000000001,0.349,0.496,98.04899999999999,0.0,0,1,0.326,-7.477,0.0604
chill,SoulMate (feat. IU),"Zico,IU",Dalkom Cafe,1pz24zu5H9A0S1a2NKT4F0,SoulMate (feat. IU),spotify:track:1pz24zu5H9A0S1a2NKT4F0,219391,64,0.23399999999999999,0.855,0.58,0.518,96.99799999999999,0.0,5,1,0.0965,-6.9510000000000005,0.141
chill,Your BGM Vol.1,"Eric Nam,CHEEZE",Dalkom Cafe,7Mfb2IwRNP8Qi7Ojtpmi37,Perhaps Love,spotify:track:7Mfb2IwRNP8Qi7Ojtpmi37,239097,61,0.332,0.529,0.555,0.28,83.98200000000001,0.0,3,1,0.129,-4.72,0.0288
chill,Wish & Wind,"HEIZE,Gaeko",Dalkom Cafe,1dA1tlzwcJ3YDYsSul1m06,Jenga (feat. Gaeko),spotify:track:1dA1tlzwcJ3YDYsSul1m06,210158,59,0.26899999999999996,0.711,0.73,0.604,93.015,2.34e-06,1,0,0.109,-4.979,0.0436
chill,one summer,"Yang Da Il,WENDY",Dalkom Cafe,7EAkXA5TvfYOYE9EzE3mtc,one summer,spotify:track:7EAkXA5TvfYOYE9EzE3mtc,239692,54,0.768,0.42200000000000004,0.518,0.563,140.817,0.0,10,0,0.358,-6.108,0.0859
chill,Bye bye my blue,Yerin Baek,Dalkom Cafe,06YoKAJrWxQkEEbjk5nat0,Bye bye my blue,spotify:track:06YoKAJrWxQkEEbjk5nat0,203410,49,0.613,0.511,0.539,0.297,87.70200000000001,3.16e-06,3,1,0.121,-6.726,0.114
chill,Palette,IU,Dalkom Cafe,3y7ByLZ05tluscOTRgEJ9Y,Palette (Feat. G-DRAGON),spotify:track:3y7ByLZ05tluscOTRgEJ9Y,217413,67,0.45799999999999996,0.804,0.68,0.62,102.01299999999999,0.0,0,1,0.102,-3.81,0.2
chill,Sun And Moon,"Sam Kim,Zico",Dalkom Cafe,6pm3SR1vvrV54AOJWsN7y7,It's You,spotify:track:6pm3SR1vvrV54AOJWsN7y7,257632,57,0.237,0.738,0.498,0.809,95.042,0.0,4,1,0.16399999999999998,-6.372999999999999,0.155
chill,Morning Diaries EP 1,"Airman,1ho,Chan",Dalkom Cafe,2MQmvEq9tH7crlSCuIvwKI,Gloomy Star (feat. 1ho & Chan),spotify:track:2MQmvEq9tH7crlSCuIvwKI,187089,44,0.701,0.695,0.5429999999999999,0.358,90.009,0.0,10,1,0.129,-4.5169999999999995,0.03
chill,Sugar Cake (feat. Microdot),"CoCo,Microdot",Dalkom Cafe,6J43QczgdKNrQQtwxv3spo,Sugar Cake (feat. Microdot),spotify:track:6J43QczgdKNrQQtwxv3spo,214203,52,0.109,0.743,0.772,0.768,166.11599999999999,0.0,0,0,0.0622,-3.339,0.0785
chill,FRANK,Yerin Baek,Dalkom Cafe,48kGawOjwMzRqltSVL88es,우주를 건너 Across the universe,spotify:track:48kGawOjwMzRqltSVL88es,247173,49,0.665,0.395,0.563,0.449,185.61599999999999,0.0,5,0,0.0998,-5.477,0.14800000000000002
chill,Paint on Spring,Martin Smith,Dalkom Cafe,6HpDaHOApCbCgu5AyyRv6v,Paint on Spring,spotify:track:6HpDaHOApCbCgu5AyyRv6v,232653,47,0.122,0.634,0.6559999999999999,0.597,98.057,0.0,0,1,0.11800000000000001,-8.414,0.0427
chill,starry night ‘17,"Crucial Star,Han All",Dalkom Cafe,6O4S5bDDOrhnHcVkwyAx1L,study abroad,spotify:track:6O4S5bDDOrhnHcVkwyAx1L,232544,54,0.816,0.77,0.49700000000000005,0.235,114.991,0.0,3,1,0.0763,-6.937,0.0293
chill,Love Rain,YUJU (GFRIEND),Dalkom Cafe,4T5fM8eGg5Pj6PLtIGLeU5,Love Rain,spotify:track:4T5fM8eGg5Pj6PLtIGLeU5,209566,46,0.127,0.469,0.631,0.643,173.68900000000002,0.0,5,0,0.39899999999999997,-5.016,0.0926
chill,Your Dog Loves You (feat. Crush),"Colde,Crush",Dalkom Cafe,2XdyebP7KxClMOse2C5iyA,Your Dog Loves You (feat. Crush),spotify:track:2XdyebP7KxClMOse2C5iyA,270002,56,0.9279999999999999,0.667,0.23399999999999999,0.142,101.929,3.3299999999999996e-05,9,1,0.149,-11.909,0.0306
chill,WINE,SURAN,Dalkom Cafe,3eHkFA3StDR9BU7EVrUFLs,WINE (Feat.Changmo) (Prod. SUGA),spotify:track:3eHkFA3StDR9BU7EVrUFLs,232195,64,0.314,0.62,0.644,0.502,145.87,0.0,4,0,0.105,-2.713,0.0447
chill,Life Is Beauty Full,Moonmoon,Dalkom Cafe,2bICXpyhEG16g9sKHugKjL,비행운 Contrail,spotify:track:2bICXpyhEG16g9sKHugKjL,178824,53,0.8290000000000001,0.843,0.395,0.741,101.979,8.52e-05,7,0,0.257,-6.322,0.0345
chill,쏘쏘 so-so,Baek A Yeon,Dalkom Cafe,6pjTnbKrrOl1pGcAZJ5FMI,쏘쏘 so-so,spotify:track:6pjTnbKrrOl1pGcAZJ5FMI,212642,45,0.81,0.7020000000000001,0.491,0.301,67.217,0.0,6,1,0.125,-4.441,0.0396
chill,First Sight,HEIZE,Dalkom Cafe,3kjyG3jI6a2EzYVa3ZlvFI,First Sight,spotify:track:3kjyG3jI6a2EzYVa3ZlvFI,205524,59,0.157,0.688,0.7240000000000001,0.207,104.97399999999999,2.17e-05,4,0,0.0735,-5.421,0.0401
chill,Morning Diaries EP 1,Airman,Dalkom Cafe,2swePREj3aFglLkOWQJCkn,Take A Nap,spotify:track:2swePREj3aFglLkOWQJCkn,191873,38,0.605,0.8140000000000001,0.442,0.6729999999999999,87.0,0.000192,7,1,0.12,-7.612,0.0291
chill,Love Story,"SURAN,Crush",Dalkom Cafe,5rUZeNNC4R65U6UeElMoss,Love Story,spotify:track:5rUZeNNC4R65U6UeElMoss,220759,50,0.499,0.677,0.622,0.439,90.041,0.0,1,1,0.0907,-6.171,0.0469
chill,물감 Paint,Moonmoon,Dalkom Cafe,1HbRmJsM1oi7zTlKZtMVGS,물감 Paint,spotify:track:1HbRmJsM1oi7zTlKZtMVGS,188196,50,0.856,0.767,0.307,0.777,95.04,0.0,3,1,0.125,-7.296,0.032
chill,Music In The Backpack,"Nineteen,J.Fe,민지",Dalkom Cafe,3S4pAEUwdmvpelnpXzlvWo,위로의 밤,spotify:track:3S4pAEUwdmvpelnpXzlvWo,202560,37,0.642,0.695,0.684,0.218,124.87899999999999,0.0,5,1,0.32,-5.078,0.0498
