category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
kpop,What is Love?,TWICE,Bubblegum K-Pop,5m95gCTAiHshTaajznt5fA,What is Love?,spotify:track:5m95gCTAiHshTaajznt5fA,208238,74,0.0846,0.573,0.91,0.602,169.982,0.0,8,1,0.266,-1.578,0.064
kpop,Summer Magic - Summer Mini Album,Red Velvet,Bubblegum K-Pop,381g0b6QZxC13SzA2HRMIc,Power Up,spotify:track:381g0b6QZxC13SzA2HRMIc,202040,71,0.0774,0.732,0.934,0.898,159.998,0.00745,8,1,0.306,-4.618,0.14400000000000002
kpop,Mix & Match,LOOΠΔ / ODD EYE CIRCLE,Bubblegum K-Pop,6hDCBYBnbr4lfRj5H7bkC4,Girl Front,spotify:track:6hDCBYBnbr4lfRj5H7bkC4,196734,49,0.0442,0.715,0.792,0.674,140.02200000000002,7.03e-06,8,0,0.259,-4.071000000000001,0.155
kpop,PRODUCE 48 - NEKKOYA (PICK ME),PRODUCE 48,Bubblegum K-Pop,1LShDXXs40R8bQFNBBupI3,PICK ME,spotify:track:1LShDXXs40R8bQFNBBupI3,279423,63,0.0218,0.649,0.862,0.594,128.05100000000002,0.0,6,1,0.066,-3.903,0.0487
kpop,APRIL 2nd Single Album 'MAYDAY',APRIL,Bubblegum K-Pop,0fYa0F1mvMWneHfn2zpn5f,MAYDAY,spotify:track:0fYa0F1mvMWneHfn2zpn5f,178647,32,0.221,0.716,0.981,0.672,105.975,0.0,3,1,0.0445,0.39399999999999996,0.0912
kpop,YES or YES,TWICE,Bubblegum K-Pop,1S6zXoXhfalX2ETKo337Md,YES or YES,spotify:track:1S6zXoXhfalX2ETKo337Md,237685,76,0.0514,0.7020000000000001,0.9129999999999999,0.735,137.982,3.71e-06,11,1,0.166,-2.977,0.0374
kpop,What Are You Up To Today?,HELLOVENUS,Bubblegum K-Pop,70PEnzFqWKtR1PgFfaL6w5,What Are You Up To Today?,spotify:track:70PEnzFqWKtR1PgFfaL6w5,202440,25,0.45899999999999996,0.7859999999999999,0.9359999999999999,0.961,146.014,0.0,7,1,0.11199999999999999,-0.855,0.124
kpop,The Red Summer - Summer Mini Album,Red Velvet,Bubblegum K-Pop,7nKQ5WAcjnG48knyLuo8gO,빨간 맛 Red Flavor,spotify:track:7nKQ5WAcjnG48knyLuo8gO,191139,69,0.0409,0.7090000000000001,0.917,0.515,125.042,0.0,9,1,0.0839,-3.315,0.18899999999999997
kpop,YES,Live High,Bubblegum K-Pop,1uOJalZ7iW7BCMm2orWFF4,YES,spotify:track:1uOJalZ7iW7BCMm2orWFF4,206320,29,0.22699999999999998,0.706,0.907,0.625,137.997,0.0,4,1,0.0628,-2.573,0.0851
kpop,APRIL 5th Mini Album 'The Blue',APRIL,Bubblegum K-Pop,6oHLJxwq2vq2jiLgEmdUOv,BEEP,spotify:track:6oHLJxwq2vq2jiLgEmdUOv,215690,24,0.0712,0.802,0.945,0.8220000000000001,129.921,0.0,11,1,0.397,-1.944,0.12
kpop,Summer Nights,TWICE,Bubblegum K-Pop,5ilOXZ0vqTX69rjRubPivH,Dance The Night Away,spotify:track:5ilOXZ0vqTX69rjRubPivH,180809,73,0.106,0.711,0.861,0.78,118.00399999999999,4.4e-05,0,1,0.11199999999999999,-2.905,0.0924
kpop,GREAT!,MOMOLAND,Bubblegum K-Pop,3BPoSr2pO34Aan6alFfVto,BBoom BBoom,spotify:track:3BPoSr2pO34Aan6alFfVto,208863,75,0.0149,0.785,0.7440000000000001,0.833,126.01799999999999,0.006659999999999999,3,0,0.0661,-4.249,0.0369
kpop,THE SECRET,WJSN,Bubblegum K-Pop,3fRutnpPQkVTuDj9zOpoiB,BeBe,spotify:track:3fRutnpPQkVTuDj9zOpoiB,198204,35,0.0292,0.645,0.9159999999999999,0.6679999999999999,159.998,1.22e-05,2,1,0.24100000000000002,-2.674,0.0517
kpop,To. Heart,fromis_9,Bubblegum K-Pop,5IHqT5CMbpc35bh5aomwNK,Pinocchio,spotify:track:5IHqT5CMbpc35bh5aomwNK,200083,41,0.0476,0.76,0.935,0.925,134.02700000000002,2.45e-06,7,1,0.318,-2.176,0.0461
kpop,PRODUCE 48 - 30 Girls 6 Concepts,Memory Fabricators,Bubblegum K-Pop,39vr6WFmhE3juhrcDkQ9fu,To Reach You,spotify:track:39vr6WFmhE3juhrcDkQ9fu,210791,53,0.0182,0.708,0.9279999999999999,0.546,104.995,0.0,11,0,0.213,-0.8340000000000001,0.0499
kpop,TWICEcoaster: LANE1,TWICE,Bubblegum K-Pop,4ACeAntCpOxVeIcivmqG4S,TT,spotify:track:4ACeAntCpOxVeIcivmqG4S,212991,70,0.0525,0.708,0.853,0.39899999999999997,129.946,0.000173,2,1,0.39899999999999997,-4.398,0.0844
kpop,Fun to The World,MOMOLAND,Bubblegum K-Pop,4Is1b37KJY9XVCgzp81FBW,BAAM,spotify:track:4Is1b37KJY9XVCgzp81FBW,208475,72,0.115,0.725,0.94,0.905,127.051,0.0043100000000000005,5,0,0.0864,-2.32,0.0435
kpop,GFRIEND The 1st Album 'LOL',GFRIEND,Bubblegum K-Pop,3f8hlbcbaUvwIZcOkbiFPh,LOL,spotify:track:3f8hlbcbaUvwIZcOkbiFPh,209789,38,0.128,0.728,0.8690000000000001,0.597,113.03,0.0,2,1,0.191,-2.412,0.0729
kpop,SECRET GARDEN,OH MY GIRL,Bubblegum K-Pop,3hNdg4iWnhnjj1kP14sRKC,Sixteen,spotify:track:3hNdg4iWnhnjj1kP14sRKC,201788,38,0.0745,0.524,0.836,0.71,171.82,0.0,4,1,0.25,-2.734,0.0555
kpop,THE SECRET,WJSN,Bubblegum K-Pop,25Xnc2nSr4gCfrIq4An0bb,Prince,spotify:track:25Xnc2nSr4gCfrIq4An0bb,201206,29,0.136,0.732,0.9570000000000001,0.564,127.963,0.0,10,1,0.309,-3.59,0.10800000000000001
kpop,Merry & Happy,TWICE,Bubblegum K-Pop,6WJWTeZExNu0X42hiegRVs,Heart Shaker,spotify:track:6WJWTeZExNu0X42hiegRVs,186896,68,0.0965,0.561,0.945,0.833,164.09400000000002,0.0,8,1,0.17,-0.33,0.064
kpop,From.9,fromis_9,Bubblegum K-Pop,6FoI3qwCRq0el1RYKeVGSx,LOVE BOMB,spotify:track:6FoI3qwCRq0el1RYKeVGSx,199966,63,0.126,0.627,0.932,0.85,154.045,0.0,6,0,0.35100000000000003,-1.891,0.162
kpop,GFRIEND The 1st Album 'LOL',GFRIEND,Bubblegum K-Pop,2Oi0IO8K4BEbhPUdWcjNmv,NAVILLERA,spotify:track:2Oi0IO8K4BEbhPUdWcjNmv,193580,59,0.0438,0.642,0.9570000000000001,0.8009999999999999,125.008,0.0,6,0,0.273,-0.9440000000000001,0.05
kpop,Act.4 Cait Sith,gugudan,Bubblegum K-Pop,2a2u3rXdvwjkZUV4K3jepq,Silly,spotify:track:2a2u3rXdvwjkZUV4K3jepq,240652,30,0.0248,0.787,0.861,0.654,125.012,0.0,8,1,0.13,-2.803,0.0359
kpop,Russian Roulette - The 3rd Mini Album,Red Velvet,Bubblegum K-Pop,5HiSc2ZCGn8L3cH3qSwzBT,러시안 룰렛 Russian Roulette,spotify:track:5HiSc2ZCGn8L3cH3qSwzBT,211244,61,0.055,0.726,0.903,0.958,129.986,0.000225,7,0,0.158,-2.2769999999999997,0.0357
kpop,THE STORY BEGINS,TWICE,Bubblegum K-Pop,41r0BLWVIdo7CaKowcUDgM,OOH-AHH하게 Like OOH-AHH,spotify:track:41r0BLWVIdo7CaKowcUDgM,215091,67,0.24100000000000002,0.72,0.8759999999999999,0.6940000000000001,141.997,0.000101,6,1,0.381,-1.166,0.0776
