,category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
5188,mood,Late Night Lovers (Best Of 2014-2016),London Calling,Smooth Morning,5ASue9VqTEjTrKFscUYOa6,Kawai Desu,spotify:track:5ASue9VqTEjTrKFscUYOa6,270920,39,0.0805,0.71,0.415,0.7609999999999999,98.011,0.86,8,1,0.127,-15.067,0.0347
5189,mood,Birth Of Life,Estelle Blanca,Smooth Morning,35jCRqkBAQbwagEVa42Uzn,Birth Of Life,spotify:track:35jCRqkBAQbwagEVa42Uzn,243158,39,0.5479999999999999,0.422,0.254,0.0391,169.866,0.831,6,0,0.0804,-15.42,0.0299
5190,mood,Songs Our Way,Thyra,Smooth Morning,2ZhxxaJoS2AGZRb5lvRsvz,How Deep Is Your Love,spotify:track:2ZhxxaJoS2AGZRb5lvRsvz,233375,33,0.836,0.595,0.237,0.209,95.204,0.0,5,1,0.0968,-10.021,0.0287
5191,mood,Lost On You,Xavier Luna,Smooth Morning,3AOJertKsxPR71SnoVSqNQ,Lost On You - Bossa Mix,spotify:track:3AOJertKsxPR71SnoVSqNQ,266182,44,0.19,0.607,0.617,0.82,155.991,0.0912,11,0,0.102,-9.432,0.0324
5192,mood,Aifos,Winhill/Losehill,Smooth Morning,2PldymZqtssieF3hecUxp8,Aifos,spotify:track:2PldymZqtssieF3hecUxp8,277835,31,0.99,0.451,0.231,0.18600000000000005,99.033,0.631,6,1,0.108,-13.764,0.0299
5193,mood,Something Just Like this (Bossa Mix),Purple Sparks,Smooth Morning,1oMTC7wvZCf7zeUpodLlQf,Something Just Like This - Bossa Mix,spotify:track:1oMTC7wvZCf7zeUpodLlQf,215593,48,0.374,0.821,0.623,0.933,104.979,0.0391,3,0,0.109,-11.19,0.0376
5194,mood,Dreamers,Silent Waves,Smooth Morning,3FtFrHEbmbX0WHr8g5M9fm,Choose Your Path,spotify:track:3FtFrHEbmbX0WHr8g5M9fm,227931,41,0.628,0.55,0.116,0.0386,139.969,0.921,0,0,0.129,-13.924,0.0352
5195,mood,Cut Me,Hamilton,Smooth Morning,2FfCXEfSZoNFGhpEd6p0EL,Cut Me - Acoustic Version,spotify:track:2FfCXEfSZoNFGhpEd6p0EL,203636,42,0.8959999999999999,0.615,0.204,0.23,131.764,0.0013800000000000002,6,1,0.122,-14.145,0.032
5196,mood,Birth Of Life,Estelle Blanca,Smooth Morning,6EbXO5h9j7RnwSCMIu1IRd,Manifesto,spotify:track:6EbXO5h9j7RnwSCMIu1IRd,289345,33,0.053,0.568,0.35,0.118,149.995,0.92,9,1,0.124,-12.205,0.0572
5197,mood,Yes/No,Ears Of Light,Smooth Morning,1zptSZsj3Bm5cREZjENoKn,Yes/No - Full Mix,spotify:track:1zptSZsj3Bm5cREZjENoKn,213789,40,0.969,0.263,0.14300000000000002,0.0935,94.959,0.892,5,1,0.113,-23.578000000000007,0.0321
5198,mood,Bang My Head,Sweetfire,Smooth Morning,3NaStiuKon0hRiJ1roeU89,Bang My Head - Chill Version,spotify:track:3NaStiuKon0hRiJ1roeU89,298603,37,0.318,0.397,0.312,0.0685,87.96600000000002,0.0006929999999999999,4,0,0.17,-9.073,0.0261
5199,mood,Home,Blue Sevilla,Smooth Morning,4mIoxdiZTofy3RiDHyFbDI,HOME - G.M. vocal mix,spotify:track:4mIoxdiZTofy3RiDHyFbDI,311035,31,0.643,0.51,0.446,0.13,179.951,0.101,0,1,0.107,-8.257,0.0284
5200,mood,Full Moon,"Mansions On The Moon,Codi Caraco",Smooth Morning,5DyHXiD6j3ycBvaKSnY10z,More Than Nothing (feat. Codi Caraco),spotify:track:5DyHXiD6j3ycBvaKSnY10z,226667,33,0.92,0.48,0.308,0.13699999999999998,179.916,0.28800000000000003,4,1,0.103,-13.184,0.0418
5201,mood,Runaway,Sasha Sloan,Smooth Morning,122lxLiuCUAdpaGOk2KSbe,Runaway,spotify:track:122lxLiuCUAdpaGOk2KSbe,219627,46,0.716,0.6779999999999999,0.41,0.21600000000000005,139.998,4.120000000000001e-05,5,1,0.0941,-7.9620000000000015,0.0396
5202,mood,Sway,Danielle Bradbery,Smooth Morning,38LbfrmvIHlWfIR5XLrDlZ,Sway,spotify:track:38LbfrmvIHlWfIR5XLrDlZ,214213,4,0.379,0.6940000000000001,0.728,0.637,96.99,0.0,3,1,0.365,-4.471,0.0271
5203,mood,Morning Phase,Beck,Smooth Morning,3arVrdpOPMgLZOztBr2jM6,Morning,spotify:track:3arVrdpOPMgLZOztBr2jM6,319787,10,0.443,0.55,0.368,0.247,113.58,0.0814,4,1,0.126,-9.899,0.0253
5204,mood,Atmosphere Mood,"The Gulls,A&J",Smooth Morning,4Hs6n1lO6jptr06AVLQ22R,Air,spotify:track:4Hs6n1lO6jptr06AVLQ22R,260400,32,0.418,0.509,0.371,0.132,169.989,0.898,9,0,0.0961,-11.724,0.0272
5205,mood,Immortal,Sofia's Choice,Smooth Morning,0ReI7PN5C8mQ2VCeL7PtgQ,Blue Waves,spotify:track:0ReI7PN5C8mQ2VCeL7PtgQ,188062,35,0.025,0.546,0.778,0.132,160.018,0.877,0,1,0.101,-7.5070000000000014,0.0351
5206,mood,Fight Song,Safari,Smooth Morning,5CyWu4wp8Q8pII8RTo6d2d,Fight Song - Acoustic version,spotify:track:5CyWu4wp8Q8pII8RTo6d2d,242986,51,0.7290000000000001,0.67,0.3,0.284,79.895,0.0,10,1,0.091,-8.725,0.0322
5207,mood,Cosmic Awareness,Out Of Gravity,Smooth Morning,4piid7tPoN2WkIqAxathMC,Cosmic Awareness,spotify:track:4piid7tPoN2WkIqAxathMC,268926,55,0.8290000000000001,0.5660000000000001,0.139,0.295,141.963,0.937,0,0,0.112,-22.174,0.0371
5208,mood,Pretend,Seinabo Sey,Smooth Morning,4I31rrRGFCv9OB5ynrVoM8,Sorry,spotify:track:4I31rrRGFCv9OB5ynrVoM8,212047,6,0.795,0.313,0.266,0.21600000000000005,84.60600000000002,1.75e-06,4,0,0.101,-11.376,0.0307
5209,mood,Rebellion (Lies),Benjamin Francis Leftwich,Smooth Morning,2Ot2pQUmXUfkS8aw5muARd,Rebellion (Lies),spotify:track:2Ot2pQUmXUfkS8aw5muARd,191379,44,0.9,0.58,0.23,0.196,116.895,0.7140000000000001,9,1,0.11,-15.046,0.0308
5210,mood,Cosmic Awareness,Out Of Gravity,Smooth Morning,6pL0dAGBC7JBb9AzLYZYyL,On the Rise,spotify:track:6pL0dAGBC7JBb9AzLYZYyL,279426,38,0.7,0.511,0.113,0.174,132.004,0.901,6,1,0.109,-26.499,0.0329
5211,mood,Cavatina,Tom Stella,Smooth Morning,6yPozp6tXWxJ81aBTcWwin,Cavatina,spotify:track:6yPozp6tXWxJ81aBTcWwin,256698,35,0.7040000000000001,0.639,0.284,0.348,128.001,0.937,4,1,0.103,-12.675999999999998,0.031
5212,mood,Last Bus Home,Enzo,Smooth Morning,403UeCOjakaDLU8e23YeNa,Misty Wind,spotify:track:403UeCOjakaDLU8e23YeNa,246500,51,0.995,0.287,0.0104,0.0856,136.689,0.909,5,0,0.0968,-30.226,0.0455
5213,mood,Cavatina,Tom Stella,Smooth Morning,3EIbP49Tx5HhvbH8nRrEaR,Scene Damour,spotify:track:3EIbP49Tx5HhvbH8nRrEaR,266413,38,0.304,0.667,0.374,0.19,130.025,0.8859999999999999,9,0,0.0905,-13.269,0.0334
5214,mood,By The Seaside (Vol 2),Aqua Club,Smooth Morning,49V82zU6qm1e1B3qZANfIc,So Sweet,spotify:track:49V82zU6qm1e1B3qZANfIc,234977,37,0.16699999999999998,0.547,0.518,0.34,84.00200000000002,0.745,8,1,0.0996,-10.088,0.0277
5215,mood,VERTIGO,Pablo Monte,Smooth Morning,1WNpkU19TejvSj3XmTl3Xf,Pure Love,spotify:track:1WNpkU19TejvSj3XmTl3Xf,249451,40,0.904,0.412,0.0743,0.0614,96.026,0.902,0,1,0.111,-23.065,0.0286
5216,mood,Answers Within,"Shade,Thyra",Smooth Morning,1O8YoA4PObk5t8qLX6wOck,Answers Within - Focus Version,spotify:track:1O8YoA4PObk5t8qLX6wOck,269310,41,0.25,0.636,0.285,0.25,157.938,0.613,11,0,0.118,-14.776,0.0298
5217,mood,Nocturne No 20 (Chill with me mix),The Upstairs,Smooth Morning,2cGPrSLattyj0N1FToPcmz,Nocturne No 20 - Chill With Me Mix,spotify:track:2cGPrSLattyj0N1FToPcmz,270345,44,0.485,0.5670000000000001,0.256,0.0416,101.021,0.8370000000000001,2,1,0.201,-15.748,0.034
5218,mood,By The Seaside (Vol 2),"Savastino Contempi,Marcos",Smooth Morning,2Rh8cdeHwcKZk6wk0BbhhF,Voyage V3,spotify:track:2Rh8cdeHwcKZk6wk0BbhhF,323240,34,0.044,0.762,0.417,0.461,149.95,0.682,7,0,0.258,-12.608,0.0426
5219,mood,YES!,Jason Mraz,Smooth Morning,6eWDAW2zeXjpYa14W7ADId,You Can Rely On Me,spotify:track:6eWDAW2zeXjpYa14W7ADId,222387,42,0.439,0.603,0.544,0.411,147.997,2.84e-06,7,1,0.0819,-9.122,0.0385
5220,mood,See You Again,Hamilton,Smooth Morning,7BgEfiXiYBpwa86KptsTGz,See You Again - Chill Out Version,spotify:track:7BgEfiXiYBpwa86KptsTGz,244460,33,0.465,0.6920000000000001,0.312,0.232,77.98100000000002,0.0,10,1,0.102,-9.643,0.0564
5221,mood,Mirrors (Acoustic),Jason Chen,Smooth Morning,3u0vJQyY0kEAiJ3dLGAqPv,Mirrors - Acoustic,spotify:track:3u0vJQyY0kEAiJ3dLGAqPv,209800,50,0.7490000000000001,0.4920000000000001,0.238,0.628,149.378,0.0,3,1,0.134,-13.623,0.0428
5222,mood,"Here We Are, Out in the Open",A Nighthawk,Smooth Morning,0JJi5okaDVmoDaClE8w3eL,How It Goes,spotify:track:0JJi5okaDVmoDaClE8w3eL,275840,30,0.575,0.584,0.409,0.3720000000000001,78.01100000000002,0.491,5,1,0.14800000000000002,-11.825,0.0267
5223,mood,Bending Time,Justin Zimm,Smooth Morning,1coLgu6wwPzoj9OaDU4Ct0,Bending Time,spotify:track:1coLgu6wwPzoj9OaDU4Ct0,259890,29,0.0777,0.687,0.439,0.39,148.029,0.0981,9,0,0.0818,-12.109000000000002,0.0376
5224,mood,I Feel It Coming,Chris Call,Smooth Morning,2fLGhA1QedApNOydGKiSLP,I Feel It Coming - Acoustic Version,spotify:track:2fLGhA1QedApNOydGKiSLP,217724,49,0.807,0.578,0.285,0.632,75.722,0.0,0,1,0.08199999999999999,-9.166,0.0368
5225,mood,Stitches,Chris Call,Smooth Morning,4CHJIqkY1bvrvfpP3qb2qi,Stitches - Acoustic Version,spotify:track:4CHJIqkY1bvrvfpP3qb2qi,199890,39,0.774,0.633,0.407,0.335,129.666,0.0,3,1,0.16699999999999998,-9.524,0.0398
5226,mood,Every Heartbeat,Anna Ternheim,Smooth Morning,5UJel9OaPJyQudTXOgJ75Y,Every Heartbeat,spotify:track:5UJel9OaPJyQudTXOgJ75Y,233227,3,0.764,0.636,0.295,0.238,151.879,0.784,7,1,0.104,-17.162,0.0292
5227,mood,Note To Self,Paul Rey,Smooth Morning,4eECaktwFUcoBwdhuukv6d,Fool For You,spotify:track:4eECaktwFUcoBwdhuukv6d,196141,68,0.627,0.614,0.263,0.0902,82.934,2.21e-06,9,1,0.124,-11.984000000000002,0.0576
5228,mood,Forever You,Vincente M,Smooth Morning,2DVgR9PGKiM0EaoeDUl3i5,Beauty,spotify:track:2DVgR9PGKiM0EaoeDUl3i5,215538,36,0.996,0.45,0.0196,0.0393,73.346,0.906,8,1,0.106,-25.22,0.0414
5229,mood,Aquilo,Aquilo,Smooth Morning,3LSY9s9h6RmHRTXOtRA5oK,You There,spotify:track:3LSY9s9h6RmHRTXOtRA5oK,253927,56,0.97,0.314,0.207,0.0524,76.529,0.0046,0,1,0.0823,-14.707,0.0314
5230,mood,All Night,Chris Call,Smooth Morning,30zjeQzhKg7AFjP0V4Fy1e,All Night - Acoustic Version,spotify:track:30zjeQzhKg7AFjP0V4Fy1e,202500,48,0.862,0.684,0.219,0.237,119.992,0.0,6,1,0.127,-12.751,0.0331
5231,mood,Make It Work,Brennan Villines,Smooth Morning,6Bjq10d3F4Vcm2czZT6UJX,Make It Work,spotify:track:6Bjq10d3F4Vcm2czZT6UJX,239546,45,0.4320000000000001,0.502,0.5539999999999999,0.14800000000000002,75.012,0.0,0,1,0.114,-4.785,0.0316
5232,mood,Dreamers,Silent Waves,Smooth Morning,4OZUN3K1yPmbc4Y5DiEMoD,Hope You Will Come Home,spotify:track:4OZUN3K1yPmbc4Y5DiEMoD,240924,37,0.0936,0.4,0.215,0.111,169.826,0.866,0,0,0.116,-14.309,0.0273
5233,mood,What You Do,James Gillespie,Smooth Morning,6SjUDhQsGP1Ynz4aYGxckR,What You Do,spotify:track:6SjUDhQsGP1Ynz4aYGxckR,215253,58,0.516,0.568,0.481,0.126,149.923,0.000321,0,0,0.156,-9.861,0.047
5234,mood,Slow Dancing - EP,Betty Who,Smooth Morning,2sN9YkyLJxN9fzao9ouGiq,Silas,spotify:track:2sN9YkyLJxN9fzao9ouGiq,288787,34,0.799,0.219,0.175,0.0972,76.068,0.000825,2,1,0.0911,-13.309,0.032
5235,mood,Savant,ViVii,Smooth Morning,6XUhq3SwAa2Pchfp4NpV1b,Savant,spotify:track:6XUhq3SwAa2Pchfp4NpV1b,318000,38,0.635,0.48,0.77,0.456,145.974,0.425,11,0,0.0913,-7.43,0.0449
5236,mood,Jarryd James EP,Jarryd James,Smooth Morning,0IMQFfmMikvJge5bweNVxe,Do You Remember,spotify:track:0IMQFfmMikvJge5bweNVxe,234427,8,0.2,0.65,0.333,0.349,72.0,0.000148,1,0,0.125,-9.949,0.0548
