category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
pop,"thank u, next",Ariana Grande,Girls Only,2hloaUoRonYssMuqLCBLTX,bloodline,spotify:track:2hloaUoRonYssMuqLCBLTX,216893,91,0.0815,0.758,0.665,0.643,151.976,0.000157,2,0,0.21600000000000005,-5.188,0.0774
pop,HIT-SIG,"Tabitha,Latifah",Girls Only,5wo3Opxvcc5SsszgmwV9Lh,Come My Way,spotify:track:5wo3Opxvcc5SsszgmwV9Lh,155702,57,0.265,0.701,0.713,0.555,104.965,0.0,0,0,0.16899999999999998,-6.207999999999998,0.287
pop,4,Beyoncé,Girls Only,1uXbwHHfgsXcUKfSZw5ZJ0,Run the World (Girls),spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0,236093,77,0.00496,0.733,0.899,0.76,127.086,4.72e-05,0,1,0.3720000000000001,-4.237,0.14300000000000002
pop,NAKAMURA,Aya Nakamura,Girls Only,7sKDftgGirHWTVFMtJoDoh,Djadja,spotify:track:7sKDftgGirHWTVFMtJoDoh,171133,77,0.0612,0.8290000000000001,0.7959999999999999,0.551,97.976,0.0,5,1,0.111,-5.428,0.11
pop,"thank u, next",Ariana Grande,Girls Only,3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,207320,91,0.229,0.7170000000000001,0.653,0.412,106.966,0.0,1,1,0.101,-5.634,0.0658
pop,hopeless fountain kingdom (Deluxe),Halsey,Girls Only,44n97yHySt0Z9rqPaXgjCK,Sorry,spotify:track:44n97yHySt0Z9rqPaXgjCK,220541,78,0.913,0.513,0.25,0.35100000000000003,74.10300000000002,0.0,5,0,0.117,-9.376,0.0367
pop,Dua Lipa (Deluxe),Dua Lipa,Girls Only,2ekn2ttSfGqwhhate0LSR0,New Rules,spotify:track:2ekn2ttSfGqwhhate0LSR0,209320,86,0.0026100000000000003,0.762,0.7,0.608,116.073,1.56e-05,9,0,0.153,-6.021,0.0694
pop,Bellyache,Billie Eilish,Girls Only,51NFxnQvaosfDDutk0tams,bellyache,spotify:track:51NFxnQvaosfDDutk0tams,179172,87,0.46,0.695,0.573,0.408,99.939,0.0734,4,0,0.482,-8.597000000000001,0.106
pop,Know-It-All (Deluxe),Alessia Cara,Girls Only,42ydLwx4i5V49RXHOozJZq,Scars To Your Beautiful,spotify:track:42ydLwx4i5V49RXHOozJZq,230227,79,0.0285,0.573,0.7390000000000001,0.451,97.085,0.0,0,1,0.111,-5.74,0.129
pop,1989 (Deluxe),Taylor Swift,Girls Only,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,spotify:track:0cqRj7pUJDkTCEsJkx8snD,219200,78,0.059,0.649,0.795,0.915,160.061,0.0,7,1,0.132,-5.3370000000000015,0.163
