category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
punk,Kinks (Deluxe Edition),The Kinks,The Road to Punk Rock,3okPiJwW5nCLpug12sCL4p,All Day and All of the Night,spotify:track:3okPiJwW5nCLpug12sCL4p,142227,17,0.247,0.563,0.915,0.71,136.345,8.46e-05,7,1,0.0613,-5.062,0.08
punk,Back In The USA (US Release),MC5,The Road to Punk Rock,50w6PJJmcNzmqlQwts40x1,Looking At You,spotify:track:50w6PJJmcNzmqlQwts40x1,181307,43,0.226,0.451,0.802,0.89,92.21600000000001,1.85e-06,2,1,0.374,-5.568,0.048
punk,The Wailers - Out of Our Tree,The Wailers,The Road to Punk Rock,6oU7sWzgcAXQuSHj0mZHKV,Out of Our Tree,spotify:track:6oU7sWzgcAXQuSHj0mZHKV,213333,37,0.366,0.562,0.789,0.512,144.412,0.882,8,0,0.22899999999999998,-11.809000000000001,0.0363
punk,Maintaining My Cool,The Sonics,The Road to Punk Rock,77DvhwGhnmfrXWwiJzeIMC,Psycho,spotify:track:77DvhwGhnmfrXWwiJzeIMC,140867,44,0.6709999999999999,0.5670000000000001,0.643,0.7170000000000001,140.543,0.0,0,1,0.588,-11.354000000000001,0.0367
punk,The Complete Moving Sidewalks,The Moving Sidewalks,The Road to Punk Rock,0BlgrTepmp7SvbMBSmYy6X,99th Floor,spotify:track:0BlgrTepmp7SvbMBSmYy6X,135627,0,0.048,0.457,0.909,0.8490000000000001,146.7,4e-06,7,1,0.0487,-2.438,0.0423
punk,Hot Cargo,The Rugbys,The Road to Punk Rock,0ykxLvBK8dKITVgz8jlST6,"You, I",spotify:track:0ykxLvBK8dKITVgz8jlST6,176853,1,0.455,0.535,0.586,0.804,161.786,0.0005769999999999999,7,1,0.157,-11.214,0.0891
punk,Garage Rock Hits,The Misunderstood,The Road to Punk Rock,5k219dajlxoykILBXTelGD,Children Of The Sun,spotify:track:5k219dajlxoykILBXTelGD,173147,32,0.0015400000000000001,0.293,0.818,0.318,139.035,0.0166,6,0,0.289,-6.895,0.075
punk,Hits Back,The Clash,The Road to Punk Rock,3v8PlUFGQQDBIk1J86waCo,Should I Stay or Should I Go - Remastered,spotify:track:3v8PlUFGQQDBIk1J86waCo,188240,69,0.0838,0.742,0.8440000000000001,0.85,113.37100000000001,0.0,2,1,0.418,-6.441,0.111
punk,Off The Bone,The Cramps,The Road to Punk Rock,0ElRzK07sc9eszyk1ea9Ab,Human Fly,spotify:track:0ElRzK07sc9eszyk1ea9Ab,136427,53,0.0389,0.531,0.8490000000000001,0.305,119.516,0.00763,9,1,0.18600000000000003,-10.754000000000001,0.111
punk,I Had Too Much To Dream (Last Night),The Electric Prunes,The Road to Punk Rock,5qD3pTJqLmu2jH7gbXYQIO,Try Me On For Size,spotify:track:5qD3pTJqLmu2jH7gbXYQIO,141224,34,0.6629999999999999,0.591,0.7709999999999999,0.853,135.30700000000002,0.00161,7,1,0.35100000000000003,-10.622,0.0334
punk,Rockin' Ramrods - Best,Rockin' Ramrods,The Road to Punk Rock,1FIMA2TNS2poopXXrpL5hh,She Lied,spotify:track:1FIMA2TNS2poopXXrpL5hh,127414,32,0.00613,0.212,0.765,0.7070000000000001,153.716,0.10800000000000001,11,1,0.0719,-9.329,0.0551
punk,Every Day Is Saturday,The Dictators,The Road to Punk Rock,3vFk6NHuQUphZWGT898pEO,Master Race Rock,spotify:track:3vFk6NHuQUphZWGT898pEO,251040,1,0.196,0.299,0.9440000000000001,0.256,79.245,0.41,0,1,0.544,-4.976,0.128
punk,OMFG! That’s Punk,Dead Kennedys,The Road to Punk Rock,0uzyN8QWbPGpOQLAXh27El,Holiday In Cambodia,spotify:track:0uzyN8QWbPGpOQLAXh27El,224867,4,0.00344,0.133,0.927,0.5,197.708,0.00044,7,1,0.0915,-5.371,0.0741
punk,100 '60s Garage Rock Hits,Dirty Wurds,The Road to Punk Rock,300zlZ31yfEPmo4AW1IARf,Why,spotify:track:300zlZ31yfEPmo4AW1IARf,141947,0,0.0138,0.331,0.823,0.8390000000000001,128.561,0.0828,9,1,0.0839,-7.428,0.0411
punk,The Velvet Underground / Rock Legends,The Velvet Underground,The Road to Punk Rock,3EN2eZgSBLW2f5YRLryKyK,White Light/White Heat,spotify:track:3EN2eZgSBLW2f5YRLryKyK,165720,1,0.644,0.521,0.6459999999999999,0.625,127.79299999999999,0.465,8,1,0.517,-10.974,0.0439
punk,The Seeds,The Seeds,The Road to Punk Rock,4flhEzNprMkUR0NxsKdOgw,Evil Hoodoo,spotify:track:4flhEzNprMkUR0NxsKdOgw,319971,36,0.0389,0.231,0.909,0.457,154.10299999999998,0.000291,4,0,0.0575,-13.122,0.0761
punk,New York Dolls,New York Dolls,The Road to Punk Rock,2iZHbEXfRYmvZ3op4WgkTW,Trash,spotify:track:2iZHbEXfRYmvZ3op4WgkTW,188307,1,0.00114,0.478,0.698,0.85,112.98899999999999,0.0,7,1,0.191,-9.255,0.0321
punk,The Best of Link Wray,Link Wray,The Road to Punk Rock,6JWHh27jYOnwFXMe8LpQlF,Hidden Charms,spotify:track:6JWHh27jYOnwFXMe8LpQlF,161253,28,0.695,0.436,0.9490000000000001,0.7340000000000001,168.00599999999997,0.122,7,1,0.5720000000000001,-6.206,0.0421
