category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
reggae,Hurt Me (Reggae Remix),"Tarrus Riley,Winston Francis",One Love,44NbXELlfdkdtZESEZYC4u,Hurt Me - Reggae Remix,spotify:track:44NbXELlfdkdtZESEZYC4u,239627,54,0.313,0.7929999999999999,0.609,0.902,125.87700000000001,0.0,11,1,0.0749,-7.207000000000001,0.0458
reggae,Legend (The Definitive Remasters),Bob Marley & The Wailers,One Love,7FILn9Akg2468HPNsRZCkq,Waiting In Vain,spotify:track:7FILn9Akg2468HPNsRZCkq,256493,16,0.025,0.838,0.45299999999999996,0.815,78.837,2.42e-05,8,1,0.11599999999999999,-11.536,0.31
reggae,Stony Hill,Damian Marley,One Love,2pS9wwKRtA3Kb07WzbeiWw,Living It Up,spotify:track:2pS9wwKRtA3Kb07WzbeiWw,240293,6,0.0661,0.745,0.68,0.813,97.251,0.0,11,1,0.07,-6.707999999999999,0.124
reggae,16 Vibes,Ini Kamoze,One Love,0hr9CoeDSUMmQQ7ZgTLRzh,WORLD-A-REGGAE Music,spotify:track:0hr9CoeDSUMmQQ7ZgTLRzh,230040,40,0.007359999999999999,0.879,0.322,0.34299999999999997,73.696,0.0008539999999999999,6,0,0.066,-16.194000000000003,0.106
reggae,You Haven't Called,UB40,One Love,1aO05xpHSZ7w9I0o7IcVr6,You Haven't Called,spotify:track:1aO05xpHSZ7w9I0o7IcVr6,367200,51,0.0612,0.785,0.599,0.9520000000000001,145.976,0.0673,6,1,0.141,-7.06,0.0423
reggae,Blackheart Man,Bunny Wailer,One Love,1haHZa75ytryLGUOtHiGl5,Dream Land,spotify:track:1haHZa75ytryLGUOtHiGl5,165893,59,0.35200000000000004,0.7859999999999999,0.485,0.96,72.842,0.0046700000000000005,1,1,0.0424,-13.012,0.321
reggae,Super Best,Horace Andy,One Love,5xMGVCPC8fptCrhBGqeFxa,Sky Larking,spotify:track:5xMGVCPC8fptCrhBGqeFxa,181394,58,0.36700000000000005,0.818,0.475,0.7240000000000001,78.49600000000001,9.14e-06,9,0,0.0524,-11.088,0.17
reggae,Everlasting,Raging Fyah,One Love,31Qgsts9pDVcocBJRS7lVl,Dash Wata,spotify:track:31Qgsts9pDVcocBJRS7lVl,233920,50,0.0276,0.8440000000000001,0.5660000000000001,0.82,77.031,2.65e-06,0,1,0.0706,-5.56,0.146
reggae,Uprising,Bob Marley & The Wailers,One Love,7GQumyB48MXYwHpqVJj8f3,Pimper's Paradise,spotify:track:7GQumyB48MXYwHpqVJj8f3,207773,7,0.00557,0.9390000000000001,0.65,0.968,134.727,0.0,9,0,0.0429,-8.282,0.0615
reggae,Moonlight Lover,"UB40,Gilly G",One Love,5T2qhqbiVPOpHtM11YsBkt,Moonlight Lover,spotify:track:5T2qhqbiVPOpHtM11YsBkt,268373,53,0.0708,0.782,0.696,0.705,94.027,2.46e-06,0,1,0.318,-8.262,0.12
reggae,Bunny Wailer Sings The Wailers,Bunny Wailer,One Love,0OKMUpT5jHO3g5MePDoDXr,Mellow Mood,spotify:track:0OKMUpT5jHO3g5MePDoDXr,231733,48,0.0367,0.742,0.568,0.6779999999999999,80.946,0.0715,0,1,0.0511,-12.667,0.156
reggae,Living Dread,Alborosie,One Love,1desgoyWi5qgAHbtC0VRQJ,Living Dread,spotify:track:1desgoyWi5qgAHbtC0VRQJ,227004,54,0.042,0.792,0.835,0.8109999999999999,135.981,0.0,5,1,0.0653,-4.842,0.0477
reggae,Always Be Around,Jesse Royal,One Love,0KRgNraCaToDAaa58znJgS,Always Be Around,spotify:track:0KRgNraCaToDAaa58znJgS,243427,39,0.0484,0.733,0.7140000000000001,0.738,135.05200000000002,0.0,10,0,0.344,-6.76,0.0457
reggae,Survival,Bob Marley & The Wailers,One Love,0lzOFW7ELjXom0Jua03stq,One Drop,spotify:track:0lzOFW7ELjXom0Jua03stq,231773,7,0.113,0.9009999999999999,0.47200000000000003,0.828,121.242,1e-05,0,1,0.152,-7.365,0.231
reggae,Morning Is Coming (with Shaggy),"Sting,Shaggy",One Love,1vUBGvWcEiEFGeg94zl1Co,Morning Is Coming (with Shaggy),spotify:track:1vUBGvWcEiEFGeg94zl1Co,191322,8,0.195,0.7609999999999999,0.6679999999999999,0.938,79.959,0.0,7,1,0.0612,-7.807,0.265
reggae,Coming from Afar,"Matisyahu,Mavado",One Love,3XDAF8W3lnKfjwFITAsjCj,Coming from Afar,spotify:track:3XDAF8W3lnKfjwFITAsjCj,241500,51,0.0821,0.633,0.878,0.722,134.30700000000002,0.0,0,0,0.244,-3.134,0.261
