category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
rnb,When I Get Home,Solange,Buzzin' RnB,6IAgarq2wDeYzpsY2Kx0Hw,Almeda,spotify:track:6IAgarq2wDeYzpsY2Kx0Hw,236120,77,0.0227,0.8270000000000001,0.5529999999999999,0.0631,110.015,1.52e-05,1,1,0.17600000000000002,-5.296,0.032
rnb,Talk,"Khalid,Disclosure",Buzzin' RnB,0rTV5WefWd1J3OwIheTzxM,Talk,spotify:track:0rTV5WefWd1J3OwIheTzxM,197487,94,0.0501,0.9,0.4,0.33799999999999997,136.001,0.0,0,1,0.0876,-8.443,0.124
rnb,Undecided,Chris Brown,Buzzin' RnB,7uiBocndm12aKbsdnQ3Scx,Undecided,spotify:track:7uiBocndm12aKbsdnQ3Scx,187298,86,0.172,0.441,0.527,0.589,96.37,0.0,3,1,0.233,-5.318,0.0966
rnb,Rap Or Go To The League,"2 Chainz,Ariana Grande",Buzzin' RnB,1R6VwZ8TuHRzxZUxe88n4I,Rule The World (feat. Ariana Grande),spotify:track:1R6VwZ8TuHRzxZUxe88n4I,245893,80,0.158,0.5920000000000001,0.584,0.447,88.073,2.63e-06,8,0,0.132,-6.232,0.0893
rnb,NOTHIN LIKE U / CHANCES,"KAYTRANADA,Ty Dolla $ign",Buzzin' RnB,08M1S4uwtmPM0jIO1qNyhx,NOTHIN LIKE U (feat. Ty Dolla $ign),spotify:track:08M1S4uwtmPM0jIO1qNyhx,194987,59,0.0589,0.787,0.805,0.769,104.86200000000001,1.61e-06,9,1,0.192,-6.294,0.409
rnb,My Bad,Khalid,Buzzin' RnB,1DUSuNhF8P5vUGNPpQiZa5,My Bad,spotify:track:1DUSuNhF8P5vUGNPpQiZa5,166101,78,0.5429999999999999,0.645,0.568,0.391,84.999,0.266,5,0,0.257,-9.127,0.0823
rnb,Church (feat. EARTHGANG),"Samm Henshaw,EARTHGANG",Buzzin' RnB,6SzbbQUOx85hxpqsesoMfx,Church (feat. EARTHGANG),spotify:track:6SzbbQUOx85hxpqsesoMfx,228118,66,0.0177,0.652,0.746,0.894,165.861,0.00044,8,1,0.0734,-4.62,0.107
rnb,When I Get Home,Solange,Buzzin' RnB,6GCIYIWUBSLontW6divqsw,Stay Flo,spotify:track:6GCIYIWUBSLontW6divqsw,175707,75,0.397,0.823,0.5579999999999999,0.674,155.974,2.0300000000000002e-05,9,1,0.0821,-7.119,0.0278
rnb,Glow,Warhola,Buzzin' RnB,1bRfJUSS8TTlKm6Nf4vbZ2,Glow,spotify:track:1bRfJUSS8TTlKm6Nf4vbZ2,220104,44,0.0128,0.716,0.66,0.7879999999999999,123.99799999999999,0.0,9,1,0.122,-7.164,0.0336
rnb,Summer Pack,Childish Gambino,Buzzin' RnB,4j3GWI86JvSaF0BLdmgcfF,Summertime Magic,spotify:track:4j3GWI86JvSaF0BLdmgcfF,213600,74,0.0129,0.76,0.579,0.125,100.01,0.00351,0,1,0.106,-7.374,0.0569
rnb,Lost in the Fire (feat. The Weeknd),"Gesaffelstein,The Weeknd",Buzzin' RnB,7wFybC8jBH3zE139OpCtpG,Lost in the Fire (feat. The Weeknd),spotify:track:7wFybC8jBH3zE139OpCtpG,202093,88,0.0863,0.6629999999999999,0.675,0.17600000000000002,101.00399999999999,0.00133,2,1,0.11699999999999999,-12.159,0.0359
rnb,Better,Khalid,Buzzin' RnB,4SDeLyW1YUKuUn3xEU0MFD,Better,spotify:track:4SDeLyW1YUKuUn3xEU0MFD,229413,69,0.086,0.6829999999999999,0.562,0.149,98.027,0.27899999999999997,0,0,0.12,-10.315,0.0605
rnb,Could've Been (Remix) (feat. Tone Stith),"H.E.R.,Tone Stith",Buzzin' RnB,6rxuWN8wr681a5vlQBv5bv,Could've Been (Remix) (feat. Tone Stith),spotify:track:6rxuWN8wr681a5vlQBv5bv,251357,54,0.598,0.569,0.35600000000000004,0.504,103.709,2.91e-06,1,0,0.204,-11.213,0.212
rnb,MALAMENTE (Cap.1: Augurio),ROSALÍA,Buzzin' RnB,5zOAudPQIs5U8zP6LQGHmH,MALAMENTE - Cap.1: Augurio,spotify:track:5zOAudPQIs5U8zP6LQGHmH,149450,71,0.565,0.895,0.483,0.52,98.057,0.0137,5,0,0.0737,-4.709,0.0881
rnb,If You Ever (feat. 6LACK),"Nao,6LACK",Buzzin' RnB,5PkZ0mhNgfuz7SqiuruKlh,If You Ever (feat. 6LACK),spotify:track:5PkZ0mhNgfuz7SqiuruKlh,221736,65,0.0895,0.488,0.62,0.37799999999999995,111.99600000000001,3.0299999999999998e-05,0,0,0.122,-7.399,0.12300000000000001
rnb,Blast Off (feat. Pharrell Williams),"Gesaffelstein,Pharrell Williams",Buzzin' RnB,095nyFKlTwa9JIp9cVrHOF,Blast Off (feat. Pharrell Williams),spotify:track:095nyFKlTwa9JIp9cVrHOF,215973,71,0.19699999999999998,0.627,0.505,0.146,100.005,0.0149,6,1,0.0583,-12.659,0.0549
rnb,Ella Mai,Ella Mai,Buzzin' RnB,6CTWathupIiDs7U4InHnDA,Trip,spotify:track:6CTWathupIiDs7U4InHnDA,213993,84,0.225,0.47700000000000004,0.61,0.358,79.882,0.0,11,0,0.107,-5.627999999999999,0.14400000000000002
rnb,Preach,John Legend,Buzzin' RnB,2AaF78iCWISMWYog5RnSi5,Preach,spotify:track:2AaF78iCWISMWYog5RnSi5,236880,75,0.0681,0.508,0.7290000000000001,0.41200000000000003,91.906,0.0,11,0,0.1,-5.712000000000001,0.0443
rnb,HARDEST PART,Luke Christopher,Buzzin' RnB,52im8vRo5cqVJcmUWwwjmX,HARDEST PART,spotify:track:52im8vRo5cqVJcmUWwwjmX,216579,46,0.209,0.6970000000000001,0.295,0.526,77.977,0.0,6,1,0.111,-11.405999999999999,0.0673
rnb,I Used To Know Her: The Prelude,H.E.R.,Buzzin' RnB,3LtnXdDD9VFBtHy5kmGILx,As I Am,spotify:track:3LtnXdDD9VFBtHy5kmGILx,240360,69,0.0895,0.547,0.564,0.179,81.155,1.02e-06,2,0,0.152,-8.101,0.29100000000000004
rnb,Never Go Back,Dennis Lloyd,Buzzin' RnB,2QrXzOqLCVDRZHkToA0tSR,Never Go Back,spotify:track:2QrXzOqLCVDRZHkToA0tSR,175424,82,0.0135,0.42100000000000004,0.653,0.733,78.6,0.0,9,0,0.114,-4.85,0.39799999999999996
rnb,Ctrl,SZA,Buzzin' RnB,2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,spotify:track:2fXwCWkh6YG5zU1IyvQrbs,231253,74,0.13,0.684,0.6829999999999999,0.406,112.85600000000001,0.0,6,1,0.156,-7.3660000000000005,0.177
