category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
romance,Power Over Me,Dermot Kennedy,Swagger,7iM7Zkf3uFQWE4IbjwYoN0,Power Over Me,spotify:track:7iM7Zkf3uFQWE4IbjwYoN0,206960,48,0.0519,0.42,0.843,0.491,173.827,0.0,9,0,0.106,-4.231,0.121
romance,River,Bishop Briggs,Swagger,606HVBE1aPA81oGg5JMa4M,River,spotify:track:606HVBE1aPA81oGg5JMa4M,220865,15,0.301,0.728,0.49,0.55,62.513999999999996,2.8e-06,2,0,0.0707,-6.535,0.0481
romance,The Dull Drums - EP,Barns Courtney,Swagger,1aJtyIMev4kW8IMUxOjn1Y,Glitter & Gold,spotify:track:1aJtyIMev4kW8IMUxOjn1Y,176147,67,0.344,0.489,0.637,0.345,170.157,0.0,1,1,0.17600000000000002,-5.013999999999999,0.0402
romance,Way Down We Go,Kaleo,Swagger,7aUuoq4oMfLxaLa5GVUDHi,Way Down We Go,spotify:track:7aUuoq4oMfLxaLa5GVUDHi,219560,69,0.612,0.59,0.578,0.264,81.663,0.000162,10,0,0.0837,-5.797999999999999,0.0528
romance,Brothers,The Black Keys,Swagger,0grFc6klR3hxoHLcgCYsF4,Howlin' For You,spotify:track:0grFc6klR3hxoHLcgCYsF4,191800,70,0.027999999999999997,0.705,0.735,0.44799999999999995,132.627,0.0783,11,1,0.11199999999999999,-6.646,0.0931
romance,Pretend,Seinabo Sey,Swagger,0wqurhSsCxrhRBWC434Sjg,Hard Time,spotify:track:0wqurhSsCxrhRBWC434Sjg,209341,13,0.0245,0.528,0.6609999999999999,0.297,192.09,0.000332,0,0,0.359,-6.794,0.047
romance,Freak,King Charles,Swagger,4bpQw1KcBa97RYucJaHvNz,Freak,spotify:track:4bpQw1KcBa97RYucJaHvNz,219978,49,0.073,0.63,0.45,0.528,170.047,0.0273,2,0,0.11699999999999999,-6.593,0.051
romance,Sugar Cane Sessions,Kail Baxley,Swagger,2tu4dVYXtD9D0hUMEHidp9,Boy Got It Bad (Live with the Charleston City Choir),spotify:track:2tu4dVYXtD9D0hUMEHidp9,172056,55,0.92,0.695,0.48100000000000004,0.24,79.977,0.0,4,0,0.212,-9.587,0.0895
romance,Beat the Devil's Tattoo,Black Rebel Motorcycle Club,Swagger,466LASOuTbWDkrwZ3Ylxvv,Beat The Devil's Tattoo,spotify:track:466LASOuTbWDkrwZ3Ylxvv,225760,13,0.42,0.521,0.9209999999999999,0.7070000000000001,96.51,0.0207,4,1,0.175,-2.7439999999999998,0.0382
romance,Horns,Bryce Fox,Swagger,4XaButfzRGK9aK8NN28Ie0,Horns,spotify:track:4XaButfzRGK9aK8NN28Ie0,217626,66,0.081,0.49,0.753,0.325,156.241,2.74e-06,6,1,0.268,-5.41,0.239
romance,You Worry Me,Nathaniel Rateliff & The Night Sweats,Swagger,0gqxf8wrEkewjmZB7OT4mL,You Worry Me,spotify:track:0gqxf8wrEkewjmZB7OT4mL,214160,22,0.121,0.665,0.639,0.642,100.08200000000001,0.327,2,1,0.0952,-7.747000000000001,0.0276
romance,"Wasteland, Baby!",Hozier,Swagger,1djzKW3eYLyzjjHXazEWWh,Movement,spotify:track:1djzKW3eYLyzjjHXazEWWh,237800,67,0.16,0.381,0.502,0.147,144.3,6.979999999999999e-05,1,0,0.0842,-5.505,0.0368
romance,Hawk,"Isobel Campbell,Mark Lanegan",Swagger,75bNIPy58AL7MYYp8cnj4A,Snake Song,spotify:track:75bNIPy58AL7MYYp8cnj4A,168067,50,0.546,0.58,0.519,0.0384,97.314,0.867,1,1,0.0959,-12.857999999999999,0.0372
romance,Paper Crown,The Ballroom Thieves,Swagger,19CIjQnMXx2VptcuTv1CNS,Fistfight,spotify:track:19CIjQnMXx2VptcuTv1CNS,224547,57,0.266,0.698,0.5579999999999999,0.611,113.171,0.0,2,0,0.154,-7.087999999999999,0.0412
romance,Fire,Barns Courtney,Swagger,3twEx52dboO1CqWu5x1i2h,Fire,spotify:track:3twEx52dboO1CqWu5x1i2h,197523,53,0.242,0.552,0.625,0.425,108.36200000000001,0.000558,10,0,0.0751,-6.053,0.0296
romance,Myths & Legends,The Score,Swagger,0OToXGn66H9YBHxOJgZsR5,Legend,spotify:track:0OToXGn66H9YBHxOJgZsR5,189120,11,0.0146,0.607,0.7390000000000001,0.47200000000000003,82.001,6.99e-05,2,1,0.0694,-3.2119999999999997,0.0277
romance,Indestructible,Welshly Arms,Swagger,3vCj0QDwcJBJoCteRG1kfh,Indestructible,spotify:track:3vCj0QDwcJBJoCteRG1kfh,225001,12,0.0409,0.672,0.596,0.789,175.924,1.46e-06,2,0,0.0762,-6.3229999999999995,0.0352
romance,The Way I Do,Bishop Briggs,Swagger,60DjyiAXyLzZpDjdOWFQEc,The Way I Do,spotify:track:60DjyiAXyLzZpDjdOWFQEc,243613,10,0.0592,0.325,0.607,0.132,162.421,1.18e-05,4,0,0.215,-4.824,0.0787
romance,No Good,"KALEO,Vinyl on HBO",Swagger,5Xx8krVxg1pRy6CXieB7FS,No Good,spotify:track:5Xx8krVxg1pRy6CXieB7FS,234240,67,0.0234,0.37799999999999995,0.925,0.584,108.525,0.00062,9,1,0.18,-3.781,0.185
romance,From Eden EP,Hozier,Swagger,1UWhx0pFZccP4jdCIZsj7U,Arsonist's Lullabye,spotify:track:1UWhx0pFZccP4jdCIZsj7U,266547,62,0.6729999999999999,0.46299999999999997,0.373,0.184,64.831,0.0745,6,0,0.11800000000000001,-10.665999999999999,0.0362
romance,Wicked Ones,Dorothy,Swagger,6gYdBoY62Za89ripQXMDXZ,Wicked Ones,spotify:track:6gYdBoY62Za89ripQXMDXZ,172516,51,0.0353,0.5870000000000001,0.635,0.591,96.51899999999999,0.0,5,1,0.331,-5.47,0.0377
romance,Cage The Elephant,Cage The Elephant,Swagger,3kb72STxc2959ZqsTwu52i,Ain't No Rest for the Wicked,spotify:track:3kb72STxc2959ZqsTwu52i,175493,27,0.0438,0.634,0.8490000000000001,0.919,156.004,0.0,0,1,0.363,-7.075,0.105
romance,Benton County Relic,Cedric Burnside,Swagger,7oMfprCkncaMYeT88o9FVR,We Made It,spotify:track:7oMfprCkncaMYeT88o9FVR,214613,52,0.0223,0.7240000000000001,0.746,0.8190000000000001,107.20299999999999,0.0346,2,1,0.292,-7.785,0.0292
