,category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
0,roots,Dunden Bugune Fikret Kizilok,Fikret Kızılok,Türk Halk Müziği,3rKuoT46kdqrHAAbJypeFh,Yeter Ki,spotify:track:3rKuoT46kdqrHAAbJypeFh,205933,0,0.8390000000000001,0.475,0.268,0.532,110.384,0.00141,7,1,0.12,-16.598,0.038
1,roots,Türküler Bizi Anlatır,"Türküler Bizi Anlatır,İzzet Altınmeşe,Belkıs Akkale,Nuray Hafiftas,Selahattin Alpay,Süreyya Davulcuoğlu,Bedri Ayseli",Türk Halk Müziği,63xX8cqgIjmtsRT466VggC,Türküler Bizi Anlatır,spotify:track:63xX8cqgIjmtsRT466VggC,271065,12,0.498,0.599,0.8540000000000001,0.7709999999999999,86.008,0.0,7,1,0.315,-4.401,0.0532
2,roots,Memories Of Istanbul,Udi Hrant,Türk Halk Müziği,7sS6ocXeFyXQhmb2zA77By,Taksim One,spotify:track:7sS6ocXeFyXQhmb2zA77By,260807,12,0.878,0.457,0.57,0.921,100.611,0.938,3,0,0.112,-7.467,0.0702
3,roots,Damlalar 3,Gülay,Türk Halk Müziği,7KjlEcTJaTyOlHdOHv0Seh,Şifa İstemem,spotify:track:7KjlEcTJaTyOlHdOHv0Seh,246827,0,0.688,0.407,0.406,0.455,179.859,0.0,1,0,0.123,-9.519,0.0305
4,roots,Armenian Composers of Instanbul Vol. II,Lalezar Ensemble,Türk Halk Müziği,2YfRdQOenCRvtK3SYTPZtT,"Sevdâlıyım ezelden, geçmedim bu emelden - Udi Hrant Kenkulian, Hicaz, çifte sofyan",spotify:track:2YfRdQOenCRvtK3SYTPZtT,123107,7,0.847,0.518,0.252,0.7240000000000001,120.601,0.0809,1,0,0.233,-17.774,0.0399
5,roots,Kerkük Türküleri,Mehmet Özbek,Türk Halk Müziği,0YD5LoN9AFYHoT343caO36,Sen Bir Yana Bir Yana,spotify:track:0YD5LoN9AFYHoT343caO36,196493,0,0.691,0.584,0.274,0.634,150.178,0.0,2,0,0.155,-12.227,0.0439
6,roots,Emirdağ Türküleri,Melda Duygulu,Türk Halk Müziği,6pTc2vQXgcpHkHDw2DWCnG,Sako Giyer Karadan,spotify:track:6pTc2vQXgcpHkHDw2DWCnG,200526,12,0.856,0.412,0.435,0.83,90.023,2.1e-05,5,1,0.0855,-8.132,0.0514
7,roots,Emirdağ Türküleri,Melda Duygulu,Türk Halk Müziği,6pTc2vQXgcpHkHDw2DWCnG,Sako Giyer Karadan,spotify:track:6pTc2vQXgcpHkHDw2DWCnG,200526,12,0.856,0.412,0.435,0.83,90.023,2.1e-05,5,1,0.0855,-8.132,0.0514
8,roots,Emirdağ Türküleri,Melda Duygulu,Türk Halk Müziği,6pTc2vQXgcpHkHDw2DWCnG,Sako Giyer Karadan,spotify:track:6pTc2vQXgcpHkHDw2DWCnG,200526,12,0.856,0.412,0.435,0.83,90.023,2.1e-05,5,1,0.0855,-8.132,0.0514
9,roots,Emirdağ Türküleri,Melda Duygulu,Türk Halk Müziği,6pTc2vQXgcpHkHDw2DWCnG,Sako Giyer Karadan,spotify:track:6pTc2vQXgcpHkHDw2DWCnG,200526,12,0.856,0.412,0.435,0.83,90.023,2.1e-05,5,1,0.0855,-8.132,0.0514
10,roots,Zeni,Karmate,Türk Halk Müziği,1BydhzUTX519p7f45TG4ju,Mezira (Gelin Çıkartma),spotify:track:1BydhzUTX519p7f45TG4ju,310403,13,0.826,0.342,0.331,0.488,144.243,9.77e-06,7,0,0.108,-10.449000000000002,0.0403
11,roots,Bir: Turkish Musical Traditions,Fuat Ali Aydin & Cenk Guary,Türk Halk Müziği,35qRlk8iHOjrgRJT9C8fBF,Mazomenos,spotify:track:35qRlk8iHOjrgRJT9C8fBF,136133,10,0.215,0.471,0.5589999999999999,0.87,104.79,0.541,2,0,0.0659,-13.608,0.0322
12,roots,"Homegrown Istanbul, Vol. 2","Norrda,Sabahat Akkiraz",Türk Halk Müziği,223nVJ9yxIhfQup1uVqyD8,Mavilim,spotify:track:223nVJ9yxIhfQup1uVqyD8,326573,16,0.0421,0.428,0.482,0.308,89.979,0.199,10,0,0.112,-11.802,0.103
13,roots,Bu Toprağın Sesleri 2,Zeynep Başkan,Türk Halk Müziği,3xn4AiummWO6BOyQglXtkx,Kibar Kız,spotify:track:3xn4AiummWO6BOyQglXtkx,167182,23,0.612,0.65,0.721,0.963,94.296,0.0,4,0,0.105,-5.863,0.0523
14,roots,Asker Türküleri,Kubilay Dökmetaş,Türk Halk Müziği,2WR0UbD3wPlnbUmit2FEOa,Karlı Dağlar Karanlığın Bastı mı,spotify:track:2WR0UbD3wPlnbUmit2FEOa,325566,12,0.993,0.353,0.117,0.269,110.729,0.409,8,0,0.13,-13.425,0.0398
15,roots,Gülcan Kaya (Collection Théâtre de la Ville),Gülcan Kaya,Türk Halk Müziği,5nCmdCKhDxVwsAT6m3fMD2,Haydar haydar,spotify:track:5nCmdCKhDxVwsAT6m3fMD2,363733,0,0.721,0.379,0.514,0.301,120.948,0.399,0,1,0.659,-14.380999999999998,0.0514
16,roots,Kulak Misafiri,Brenna MacCrimmon,Türk Halk Müziği,1HwwN6NDdLXWh5w8O4Y0lp,Evlerine Varagele Usandim,spotify:track:1HwwN6NDdLXWh5w8O4Y0lp,256560,35,0.705,0.434,0.395,0.5760000000000001,88.035,0.00472,0,1,0.0667,-9.991,0.0486
17,roots,Seçmeler 1,Hasret Gültekin,Türk Halk Müziği,2ZNHv3DDPVVdvkfILUXYHg,Derman Sendedir,spotify:track:2ZNHv3DDPVVdvkfILUXYHg,183066,0,0.763,0.616,0.5770000000000001,0.742,156.543,0.128,9,1,0.131,-11.834,0.0386
18,roots,İnsan Olmaya Geldim,Arif Sağ,Türk Halk Müziği,7KgAREeb8T191I0RwZbboG,Bugün Bize Pir Geldi,spotify:track:7KgAREeb8T191I0RwZbboG,291453,0,0.7340000000000001,0.5379999999999999,0.377,0.476,117.896,0.00164,8,1,0.0671,-11.25,0.0343
19,roots,Gecekondu,Baba Zula,Türk Halk Müziği,6OQOspoWEQqsM3QAexUqlZ,Abdulcanbaz,spotify:track:6OQOspoWEQqsM3QAexUqlZ,317187,23,0.0657,0.755,0.72,0.424,90.07,0.742,7,1,0.113,-7.669,0.116
20,roots,Destanlaşan Türküler,Orhan Hakalmaz,Türk Halk Müziği,3RIUUcQz0OEOPTDFn3739D,İki Keklik,spotify:track:3RIUUcQz0OEOPTDFn3739D,290493,0,0.784,0.456,0.516,0.321,96.073,1.46e-06,6,0,0.116,-3.649,0.0282
21,roots,Fatih Kısaparmak'tan Hit'ler,Fatih Kısaparmak,Türk Halk Müziği,3bg2VwEEBuXnFt7JVYMf49,Kilim,spotify:track:3bg2VwEEBuXnFt7JVYMf49,243827,21,0.831,0.609,0.485,0.551,137.44,0.00348,6,0,0.294,-11.028,0.0551
22,roots,Turap,Sabahat Akkiraz,Türk Halk Müziği,6lmdDqDo3wV5yJpNOkvoWN,Geç Kaldın,spotify:track:6lmdDqDo3wV5yJpNOkvoWN,236600,0,0.813,0.531,0.39,0.468,143.88299999999995,8.16e-06,6,0,0.109,-4.175,0.0392
23,roots,Kavimler Kapısı Anadolu,Musa Eroğlu,Türk Halk Müziği,2GBxxmzQsmFXLufDjRk9Ui,Telli Turnam,spotify:track:2GBxxmzQsmFXLufDjRk9Ui,234467,37,0.848,0.536,0.5429999999999999,0.28600000000000003,123.926,0.000178,6,0,0.0967,-4.955,0.0283
24,roots,Damlalar,Gülay Sezer,Türk Halk Müziği,1kFX4WLlhrBxtVR7wANn8U,Ellerini Çekip Benden,spotify:track:1kFX4WLlhrBxtVR7wANn8U,323940,27,0.8690000000000001,0.399,0.345,0.478,98.317,9.2e-05,5,0,0.293,-10.65,0.0371
25,roots,Hoşgeldin,Hüseyin Turan,Türk Halk Müziği,1CePlq0oL2ZE9rxw53lRPS,Söyleyemedim,spotify:track:1CePlq0oL2ZE9rxw53lRPS,291307,7,0.7,0.57,0.406,0.232,148.118,0.000462,2,0,0.0885,-11.941,0.0454
26,roots,Gurbet Yollarında,Erdal Erzincan,Türk Halk Müziği,6f2JLFY3uKnEhGJbUkN3rU,Nem Kaldı,spotify:track:6f2JLFY3uKnEhGJbUkN3rU,243133,0,0.79,0.623,0.341,0.322,108.79,0.000258,0,0,0.168,-12.181,0.0278
27,roots,Gelin,Cengiz Özkan,Türk Halk Müziği,0KIprIFSUguRxBdBXztBca,Bahçalarda Mor Meni,spotify:track:0KIprIFSUguRxBdBXztBca,332044,34,0.901,0.456,0.241,0.309,116.73,2.8300000000000007e-05,1,1,0.0898,-11.211,0.0389
28,roots,Sitemdir,Yavuz Bingöl,Türk Halk Müziği,05PiQFGM9bLkODhe2bF8Ss,Kara Tren,spotify:track:05PiQFGM9bLkODhe2bF8Ss,298907,39,0.8079999999999999,0.605,0.429,0.5870000000000001,114.978,0.0,6,1,0.0872,-10.807,0.0351
29,roots,Ay Karanlık,Sukriye Tutkun,Türk Halk Müziği,5vcbd0HETIdKkQ2vZOWcYk,Nerdesin,spotify:track:5vcbd0HETIdKkQ2vZOWcYk,286333,0,0.708,0.627,0.634,0.337,117.944,1.26e-06,1,1,0.112,-6.466,0.0428
30,roots,"Seyduna Türküleri, Vol. 2 (Şahrud)",Yasemin Göksu,Türk Halk Müziği,3xCqw8GO2H0O15KkcwSO66,Aldı Gitti,spotify:track:3xCqw8GO2H0O15KkcwSO66,257973,25,0.8909999999999999,0.598,0.264,0.285,120.809,0.0,11,0,0.0994,-5.113,0.0382
