category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
sleep,Minimalia,Binary One,Sleep Tight,14MR12RkIvXHeqgaJI0ngI,Two,spotify:track:14MR12RkIvXHeqgaJI0ngI,188732,69,0.9329999999999999,0.166,0.0826,0.036000000000000004,110.304,0.882,0,1,0.11900000000000001,-25.741,0.0359
sleep,Shaman Dreams,Primer Dia,Sleep Tight,3O9i7hYrsLU99msJcjPOCL,Shaman Dreams,spotify:track:3O9i7hYrsLU99msJcjPOCL,186500,69,0.8190000000000001,0.161,0.0792,0.0316,139.613,0.7490000000000001,8,1,0.0971,-28.714000000000002,0.0398
sleep,Endymion,Réka Ioescu,Sleep Tight,3Se2ifaSm69Np4OtyaNNKa,Endymion,spotify:track:3Se2ifaSm69Np4OtyaNNKa,152231,69,0.996,0.391,0.0024100000000000002,0.38799999999999996,67.191,0.9490000000000001,7,1,0.134,-30.569000000000003,0.079
sleep,Moonrise,Ebb & Flod,Sleep Tight,30VnmNoXmeNMlDR6MxLP5U,Threads,spotify:track:30VnmNoXmeNMlDR6MxLP5U,192793,51,0.79,0.12,0.0436,0.0361,72.339,0.889,4,1,0.11199999999999999,-22.044,0.0383
sleep,The Sleeper,Claes Nilsson,Sleep Tight,6tLFPu4tSmS5LccfUNtbN6,Beyond Barricades,spotify:track:6tLFPu4tSmS5LccfUNtbN6,168857,67,0.966,0.115,0.0197,0.0651,78.449,0.9279999999999999,4,0,0.195,-25.263,0.0375
sleep,Fall Of A Raindrop,Calm Shores,Sleep Tight,30KfnySSSZJAhOWl7bwMsX,Beyond Dreams,spotify:track:30KfnySSSZJAhOWl7bwMsX,290933,33,0.9840000000000001,0.18899999999999997,0.0828,0.0775,127.501,0.94,9,1,0.0916,-24.935,0.0364
sleep,Re-Creating,Michel LeBond,Sleep Tight,448vZRidoOl0wUKibsp0vI,Spiritual Touch,spotify:track:448vZRidoOl0wUKibsp0vI,257649,65,0.9890000000000001,0.107,0.0888,0.18100000000000002,91.065,0.953,10,1,0.377,-25.47,0.0346
sleep,The Healing Process,Koh Lantana,Sleep Tight,23puVz6Rhiq8Wax9KxnZtW,The Healing Process,spotify:track:23puVz6Rhiq8Wax9KxnZtW,161442,67,0.9259999999999999,0.24100000000000002,0.0553,0.0643,135.859,0.93,3,1,0.10800000000000001,-23.605,0.0336
sleep,Drift Off,Steven Goldmund,Sleep Tight,53sNuDhuyhtVTPNXbk4dEN,Mind-Drift,spotify:track:53sNuDhuyhtVTPNXbk4dEN,240000,75,0.9840000000000001,0.14400000000000002,0.0151,0.0385,140.096,0.982,8,1,0.102,-32.452,0.0397
sleep,Pondering Life,Emblemic X,Sleep Tight,7BM5WFlytFqJ8j0FewyhA7,Pondering Life,spotify:track:7BM5WFlytFqJ8j0FewyhA7,156251,68,0.9440000000000001,0.151,0.0232,0.0322,136.67600000000002,0.9129999999999999,7,0,0.0985,-29.538,0.0446
sleep,Tear of the Moon,Coyote Oldman,Sleep Tight,5O5ADm6Aj2z5EvuT4JdT0l,Lunar Symphony,spotify:track:5O5ADm6Aj2z5EvuT4JdT0l,390560,65,0.9940000000000001,0.127,0.0135,0.0387,88.008,0.938,11,0,0.11,-33.101,0.0442
sleep,Magica,Dream Runner,Sleep Tight,75D9esOK7ASfcREQAvbtql,Magica,spotify:track:75D9esOK7ASfcREQAvbtql,177214,73,0.9440000000000001,0.0951,0.0872,0.0389,87.65299999999999,0.96,7,1,0.0905,-24.168000000000003,0.0371
sleep,Montauk,Martin Lindgaarden,Sleep Tight,0eQZinXiAeZ75SRcJwuweI,Montauk,spotify:track:0eQZinXiAeZ75SRcJwuweI,178974,70,0.99,0.37799999999999995,0.0369,0.12,71.997,0.8959999999999999,3,0,0.10099999999999999,-25.859,0.0369
sleep,It Ends with Us,Steve Mokwebe,Sleep Tight,6RMjZgsE9IcQZqubTzLtDs,It Ends with Us,spotify:track:6RMjZgsE9IcQZqubTzLtDs,130192,69,0.986,0.326,0.00891,0.299,69.79,0.934,0,1,0.111,-24.103,0.0518
sleep,Embers,Robert Gafforelli,Sleep Tight,2EFybRUvBLs57cf9iXQW3G,Whispers,spotify:track:2EFybRUvBLs57cf9iXQW3G,240275,63,0.995,0.52,0.021,0.16,70.318,0.9470000000000001,0,1,0.11900000000000001,-24.049,0.0791
sleep,Don't Be a Stranger,Ed Shields,Sleep Tight,2sphNyvn8Ei2Y2zbyZeTdz,Don't Be a Stranger,spotify:track:2sphNyvn8Ei2Y2zbyZeTdz,228109,47,0.9059999999999999,0.24100000000000002,0.0712,0.0748,73.612,0.9059999999999999,4,0,0.109,-20.578000000000003,0.0407
sleep,Roma Atmosphere,Roma Atmosphere,Sleep Tight,5qGa6klw09gmP6cdKnK65C,Santa Maria,spotify:track:5qGa6klw09gmP6cdKnK65C,246154,55,0.54,0.115,0.0293,0.0388,74.82300000000001,0.8140000000000001,2,1,0.0912,-31.941999999999997,0.043
sleep,Time Travel,Antologie,Sleep Tight,1aa3A3F6b5FZFtXAhtrybK,Time Travel,spotify:track:1aa3A3F6b5FZFtXAhtrybK,184642,74,0.696,0.12,0.0585,0.0397,78.66199999999999,0.9390000000000001,3,1,0.11,-27.623,0.0383
sleep,Shaman Dreams,Primer Dia,Sleep Tight,5OR4eaaENBzYsij6ZZGem6,Daenerys,spotify:track:5OR4eaaENBzYsij6ZZGem6,185000,70,0.74,0.109,0.107,0.0391,173.97,0.878,2,0,0.10099999999999999,-25.358,0.0353
sleep,Reasons For Being,Deep Watch,Sleep Tight,5tY0sWgi6v0UEibwYjfWlL,Reasons For Being,spotify:track:5tY0sWgi6v0UEibwYjfWlL,176391,71,0.98,0.141,0.0282,0.0658,145.22,0.9059999999999999,7,0,0.10400000000000001,-30.003,0.0454
sleep,Roma Atmosphere,Roma Atmosphere,Sleep Tight,5N69GHuuvue74rYozPlBJ2,Villa Borghese,spotify:track:5N69GHuuvue74rYozPlBJ2,221538,54,0.941,0.19899999999999998,0.124,0.0364,78.45100000000001,0.97,7,1,0.0941,-22.35,0.0383
sleep,Immerse,Rand Aldo,Sleep Tight,3KKfFCcEjSp4sKqhHjUUGJ,Morning Lagoon,spotify:track:3KKfFCcEjSp4sKqhHjUUGJ,234280,34,0.858,0.17600000000000002,0.0724,0.0397,132.939,0.914,10,1,0.111,-25.658,0.0394
sleep,Mandala,Ivy Rue,Sleep Tight,2p1PsXzDyK5vpFQueMlOmD,Mandala,spotify:track:2p1PsXzDyK5vpFQueMlOmD,234243,66,0.993,0.517,0.0454,0.172,70.609,0.956,2,0,0.0793,-23.763,0.0675
sleep,"Sleep Music: Lullabies to Help You Relax, Sleep, Meditate and Heal With Relaxing Piano Music, Nature Sounds and Natural Noise",Deep Sleep,Sleep Tight,0tW204RLJbX8oocTStcA7U,Inner Journey,spotify:track:0tW204RLJbX8oocTStcA7U,153993,63,0.9570000000000001,0.152,0.0166,0.0398,72.237,0.927,7,1,0.131,-31.221999999999998,0.0484
sleep,The Edge of Love,Dawn Huntley,Sleep Tight,5awyHvXpb5txqlRuqUiHAl,The Edge of Love,spotify:track:5awyHvXpb5txqlRuqUiHAl,122892,61,0.9940000000000001,0.40399999999999997,0.0138,0.35,77.62100000000001,0.945,10,1,0.114,-27.566999999999997,0.0482
sleep,Hibernation,Hushed,Sleep Tight,1mYTROYR85RaiaVEtQztis,Hibernation,spotify:track:1mYTROYR85RaiaVEtQztis,216678,48,0.9279999999999999,0.266,0.0205,0.107,69.839,0.907,3,1,0.113,-29.372,0.0358
sleep,Your Self,Intentional Vibes,Sleep Tight,2szCNnrbZt1qZ87lgcL1il,Deeper and Deeper,spotify:track:2szCNnrbZt1qZ87lgcL1il,228597,67,0.991,0.177,0.0045899999999999995,0.179,127.15799999999999,0.7929999999999999,8,1,0.10800000000000001,-34.674,0.0437
sleep,Lost Secrets,Floating Lights,Sleep Tight,0xXb8rsGM77cixpWrOz3ES,Lost Secrets,spotify:track:0xXb8rsGM77cixpWrOz3ES,304286,51,0.75,0.27899999999999997,0.0307,0.0373,125.833,0.812,8,1,0.345,-31.136,0.0394
