category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
soul,Bad Habit,Brennan Villines,Soul 'n' the City,0PV9YuhKtJNfO5jPXTcLfM,Bad Habit,spotify:track:0PV9YuhKtJNfO5jPXTcLfM,280476,40,0.207,0.684,0.7909999999999999,0.647,80.012,1.92e-06,11,0,0.375,-3.9989999999999997,0.214
soul,Drunk,Thundercat,Soul 'n' the City,7CH99b2i1TXS5P8UUyWtnM,Them Changes,spotify:track:7CH99b2i1TXS5P8UUyWtnM,188385,57,0.5429999999999999,0.785,0.546,0.7190000000000001,81.67699999999999,0.000551,8,1,0.0929,-8.644,0.0644
soul,DARKNESS AND LIGHT,"John Legend,Chance the Rapper",Soul 'n' the City,67Nf4Nsr2Nm5CFfJgqwDb0,Penthouse Floor,spotify:track:67Nf4Nsr2Nm5CFfJgqwDb0,283787,59,0.451,0.6709999999999999,0.742,0.767,89.835,4.38e-06,10,0,0.10099999999999999,-4.768,0.368
soul,Jaded,Aaron Taylor,Soul 'n' the City,5aNlOL1rGNTnIuxxbA0GqA,Jaded,spotify:track:5aNlOL1rGNTnIuxxbA0GqA,232687,3,0.33799999999999997,0.778,0.574,0.519,79.994,0.0023899999999999998,0,1,0.526,-4.846,0.0656
soul,Building a Beginning,Jamie Lidell,Soul 'n' the City,3duzfyCdauY9OQGPObRybg,How Did I Live Before Your Love,spotify:track:3duzfyCdauY9OQGPObRybg,202680,49,0.0912,0.652,0.56,0.7190000000000001,160.018,0.0,10,0,0.231,-7.189,0.205
soul,You,Nicole Bus,Soul 'n' the City,5wUBONclIQRIFrsPzW5TiY,You,spotify:track:5wUBONclIQRIFrsPzW5TiY,206493,59,0.0613,0.319,0.768,0.36700000000000005,176.44799999999998,0.0,11,0,0.0904,-4.708,0.0722
soul,Black Crow,Louis Baker,Soul 'n' the City,1Rc7oOYZ9Kstuu2z7t9TSB,Black Crow,spotify:track:1Rc7oOYZ9Kstuu2z7t9TSB,213429,46,0.0306,0.9520000000000001,0.715,0.9840000000000001,104.39299999999999,0.0023,7,0,0.298,-4.65,0.0367
soul,Only You,Amber-Simone,Soul 'n' the City,22sYHhyWc1I5oy3tui0nHz,Only You,spotify:track:22sYHhyWc1I5oy3tui0nHz,221807,47,0.5710000000000001,0.669,0.684,0.542,102.991,3.39e-06,1,1,0.106,-4.251,0.0942
soul,High Life,"Detroit Swindle,Tom Misch",Soul 'n' the City,2jx9VNmPInE1d2m2T9eotT,"Yes, No, Maybe feat. Tom Misch",spotify:track:2jx9VNmPInE1d2m2T9eotT,332425,53,0.0286,0.816,0.8079999999999999,0.532,110.007,0.58,5,0,0.12300000000000001,-8.777999999999999,0.0848
soul,Reason in Disguise,"Ezra Collective,Jorja Smith",Soul 'n' the City,6F1D4x7Ifrwt5t5MleYFp3,Reason in Disguise,spotify:track:6F1D4x7Ifrwt5t5MleYFp3,222281,57,0.19399999999999998,0.708,0.42700000000000005,0.619,90.24,0.00602,11,1,0.0918,-9.511000000000001,0.24100000000000002
soul,A Storm On A Summers Day,"Full Crate,Gaidaa",Soul 'n' the City,2scANFae26sIF97RtQFb7h,A Storm On A Summers Day,spotify:track:2scANFae26sIF97RtQFb7h,178356,54,0.7020000000000001,0.7120000000000001,0.295,0.134,115.073,0.0003,0,1,0.172,-14.508,0.23600000000000002
soul,Voyager,Moonchild,Soul 'n' the City,0JYaCnwwLv7dSAGEzJLxkd,Cure,spotify:track:0JYaCnwwLv7dSAGEzJLxkd,246147,56,0.37200000000000005,0.5379999999999999,0.29600000000000004,0.172,85.38,0.00445,1,1,0.361,-13.273,0.0637
soul,blackSUMMERS'night (2016),Maxwell,Soul 'n' the City,515Sz5OLZs4ySr234CP2js,Lake By the Ocean,spotify:track:515Sz5OLZs4ySr234CP2js,238987,49,0.462,0.601,0.66,0.36,76.029,0.0,4,0,0.35100000000000003,-4.776,0.0897
soul,Get into the Party Life,LION BABE,Soul 'n' the City,5Cp7mTA2Piq65qWi8h71Q5,Get into the Party Life,spotify:track:5Cp7mTA2Piq65qWi8h71Q5,178480,62,0.0037700000000000003,0.7340000000000001,0.732,0.515,140.02100000000002,0.209,5,0,0.106,-6.053999999999999,0.0295
soul,G I R L,Pharrell Williams,Soul 'n' the City,1DylszI7qE7CB0yNugUxV6,Gust of Wind,spotify:track:1DylszI7qE7CB0yNugUxV6,285627,55,0.10099999999999999,0.7509999999999999,0.732,0.675,100.02,4.46e-05,5,0,0.11900000000000001,-7.6160000000000005,0.0517
soul,Horizon,Jeangu Macrooy,Soul 'n' the City,7doNBgIda1Q3IAAfdnkESY,Good Thing,spotify:track:7doNBgIda1Q3IAAfdnkESY,212530,45,0.38,0.785,0.5720000000000001,0.672,76.986,0.0,6,0,0.087,-8.818999999999999,0.0418
soul,Hive Mind,The Internet,Soul 'n' the City,5IIq5uEYpUZoSjTEjqn7q1,La Di Da,spotify:track:5IIq5uEYpUZoSjTEjqn7q1,207013,58,0.259,0.685,0.745,0.8340000000000001,103.119,3.11e-05,1,1,0.107,-6.659,0.11699999999999999
soul,Collected,Massive Attack,Soul 'n' the City,10CiC7n8xCJJpbNcBpHsXc,Unfinished Sympathy,spotify:track:10CiC7n8xCJJpbNcBpHsXc,312293,56,0.0142,0.588,0.889,0.698,114.399,0.133,7,1,0.514,-5.608,0.0314
